"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS16795",156424,199544,152608,16423,12986,10471,144494,6199,4352,20527,18186,22491,186898,65820,47913,13157,16021,16000,11195,286831,23644,16888,17792,18741
"gene-CDR20291_RS16800",13615,18649,16920,7148,8142,5220,9847,33515,25071,4986,4709,7650,15870,74416,91613,6601,7386,5713,29463,15622,39383,6110,4789,9572
"gene-CDR20291_RS16805",34641,45774,40765,4718,6659,4166,47161,64561,79159,5754,5506,5381,51662,41753,40878,4090,6988,5230,8495,48148,97526,6218,5912,6372
"gene-CDR20291_RS16810",3781,5763,6966,461,485,262,4997,6331,6876,470,419,474,4699,6749,3720,301,452,355,677,3697,10876,509,504,538
"gene-CDR20291_RS16815",52,60,16,15,20,16,137,465,573,22,29,16,169,51,124,29,13,9,67,67,189,22,32,27
"gene-CDR20291_RS01980",569,780,602,118,163,146,677,953,1538,127,245,166,1397,857,843,148,197,121,277,872,717,183,460,180
"gene-CDR20291_RS16820",5591,7444,5756,1183,1234,900,6629,2368,2959,939,1001,1179,6738,6804,8766,970,1644,684,1012,6831,5569,1000,873,1091
"gene-CDR20291_RS16825",68,131,92,27,20,29,89,250,422,17,16,18,161,72,179,23,22,21,89,126,187,36,35,32
"gene-CDR20291_RS16830",6118,7885,5741,751,1422,679,6253,17473,23429,1239,1190,1504,7334,3068,5715,916,1232,865,4871,11279,10065,947,1292,1302
"gene-CDR20291_RS16835",14371,17614,12572,1696,1035,1648,13915,3625,5413,1814,1969,2290,17203,9562,9289,1397,2176,938,763,16711,11140,1422,1795,1211
"gene-CDR20291_RS16840",893,1204,985,116,185,156,1159,1187,1543,105,134,94,1389,989,1389,115,159,62,696,801,1223,89,146,95
"gene-CDR20291_RS16845",8178,9932,7994,1186,1075,1326,11355,11378,16008,1080,733,931,9895,5044,7478,947,1281,821,1986,12875,13135,1177,971,1250
"gene-CDR20291_RS16850",55,104,49,19,10,30,90,146,109,11,38,20,108,99,199,24,22,15,6,172,184,14,23,15
