"gene_id","DMSO_01","DMSO_02","DMSO_03","Enoxolone_01","Enoxolone_02","Enoxolone_03"
"CDR20291_0267",5742,6311,9107,9870,21278,15527
"CDR20291_0268",2005,1793,2810,2886,6186,4609
"CDR20291_0269",1992,2472,3486,3092,7607,5833
"CDR20291_0270",1033,839,1471,1176,2729,2214
"CDR20291_0271",587,495,943,758,1833,1269
"CDR20291_0272",3918,3853,5301,6151,12282,9243
"CDR20291_0273",3755,2885,4059,6155,10031,6812
"CDR20291_0274",4814,2399,3641,6861,8681,5631
"CDR20291_0275",4656,2063,2981,7247,6531,4857
"CDR20291_0276",6658,2896,4455,7437,9157,4744
"CDR20291_0277",38589,13486,26721,60832,51536,37666
"CDR20291_0278",4180,1983,3635,4208,4096,3264
"CDR20291_0279",2700,1388,2481,2814,3133,2488
"CDR20291_0280",1085,780,1391,1209,1727,1250
"CDR20291_0281",769,602,1137,549,1126,705
"CDR20291_0282",1205,813,1437,922,1449,985
"CDR20291_0283",5900,1301,2841,5424,3071,2029
"CDR20291_0284",40,43,126,17,150,46
"CDR20291_0285",1832,2023,3479,1417,3982,2455
"CDR20291_0286",4004,1873,3727,3770,3777,2999
"CDR20291_0287",18,24,13,17,51,25
"CDR20291_0288",23,22,37,20,46,25
"CDR20291_0289",12,7,23,14,26,27
"CDR20291_0290",28,37,35,20,66,66
"CDR20291_0291",24,40,59,37,153,90
"CDR20291_0292",43,51,84,44,132,93
"CDR20291_0293",331,134,214,249,197,207
"CDR20291_0294",107,98,139,75,168,125
"CDR20291_0295",377,262,455,319,504,361
"CDR20291_0296",85,157,260,86,332,243
"CDR20291_0297",77,78,144,56,159,81
"CDR20291_0298",8907,4174,7544,12046,10591,8166
"CDR20291_0299",2643,1262,2598,2682,2600,2204
"CDR20291_0300",253,211,424,242,568,408
"CDR20291_0301",12810,4926,8388,12994,10716,8046
"CDR20291_0302",209,285,584,287,1085,884
"CDR20291_0303",492,438,708,552,1320,964
"CDR20291_0304",212,206,383,219,688,435
"CDR20291_0305",67,98,154,69,243,132
"CDR20291_0306",94,114,200,1459,1256,189
"CDR20291_0307",111,170,264,147,356,247
"CDR20291_0308",243,221,335,202,481,251
"CDR20291_0309",418,329,554,488,798,514
"CDR20291_0310",1306,665,1235,1474,1557,1333
"CDR20291_0311",2698,1648,3896,1732,3473,2019
"CDR20291_0312",11406,4406,8330,10547,7868,6640
"CDR20291_0313",6917,2433,5122,4328,5114,3166
"CDR20291_0314",10248,4645,8516,7673,8831,5642
"CDR20291_0315",7603,3433,6915,4576,6373,3680
"CDR20291_0316",999,705,1257,778,1364,845
"CDR20291_0317",1759,992,2303,1200,2233,2118
"CDR20291_0318",10719,12154,25473,9692,33475,26497
"CDR20291_0319",1774,732,1878,1055,1713,902
"CDR20291_0320",66,92,127,73,208,151
"CDR20291_0321",1000,1470,2707,1113,3532,2699
"CDR20291_0322",493,859,1615,568,2225,1401
"CDR20291_0323",1090,2193,4086,1542,5268,4630
"CDR20291_0324",889,1626,3064,751,3310,2407
"CDR20291_0325",1271,1545,2671,1378,2971,2495
"CDR20291_0326",346,319,571,375,690,527
"CDR20291_0327",3272,1806,3195,3063,3639,2830
"CDR20291_0328",2160,1867,3472,2139,3801,3387
"CDR20291_0329",21178,19251,50424,20994,40036,43659
"CDR20291_0330",11224,7042,18245,10676,13566,14968
"CDR20291_0331",2902,1840,6802,1988,5434,3704
"CDR20291_0332",12139,11897,35894,11397,25280,28533
"CDR20291_0333",14573,11396,19989,11836,20887,17897
"CDR20291_0334",5667,6048,11193,5908,13074,10158
"CDR20291_0335",3038,3067,5613,3375,6316,5397
"CDR20291_0336",29344,10698,22270,28740,22904,17116
"CDR20291_0337",622,511,1238,483,875,1060
"CDR20291_0338",49021,25749,47196,47613,61593,44927
"CDR20291_0339",219,279,396,248,542,338
"CDR20291_0340",74,38,153,8,196,37
"CDR20291_0341",1061,467,749,800,735,528
"CDR20291_0342",1001,568,1029,790,1064,740
"CDR20291_0343",1503,529,1193,860,961,574
"CDR20291_0344",1290,379,830,749,713,372
"CDR20291_0345",3432,4008,7304,1895,5592,4111
"CDR20291_0346",694,629,1110,527,1032,685
"CDR20291_0347",5077,6304,12212,3828,7442,7367
"CDR20291_0348",1415,794,1573,1215,1594,1213
"CDR20291_0349",1722,763,1403,2048,1891,1474
"CDR20291_0350",36191,11465,24997,30335,20361,16619
"CDR20291_0351",2046,939,1836,2149,2179,1864
"CDR20291_0352",2657,1051,2046,1899,2142,1428
"CDR20291_0353",28140,10466,20274,20851,18755,12866
"CDR20291_0354",36743,11377,22954,29162,18922,15792
"CDR20291_0355",23144,15285,29342,15955,21643,14473
"CDR20291_0356",1393,657,1373,1248,1348,1259
"CDR20291_0357",891,507,1032,1100,1405,1245
"CDR20291_0358",475,248,779,452,1073,465
"CDR20291_0359",558,724,1335,646,1777,1320
"CDR20291_0360",226,413,671,299,900,654
"CDR20291_0361",302,213,406,252,474,346
"CDR20291_0362",397,325,581,412,676,475
"CDR20291_0363",12708,6701,11368,7436,9394,6415
"CDR20291_0364",1307,1021,1848,1066,2040,1250
"CDR20291_0365",40462,58592,105588,44093,122577,100513
"CDR20291_0366",124835,115793,201335,140726,244182,224130
"CDR20291_0367",43195,58428,98110,51513,124424,116643
"CDR20291_0368",58639,88314,153188,61933,198932,169470
"CDR20291_0369",51070,87576,149681,55062,189161,165786
"CDR20291_0370",61608,135617,234668,75168,300591,280564
"CDR20291_0371",92245,122285,208425,110892,253880,243114
"CDR20291_0372",220579,175311,297288,247544,380959,300678
"CDR20291_0373",15968,7761,14654,16002,16684,13398
"CDR20291_0374",46555,44828,83051,61502,124015,81226
"CDR20291_0375",2184,1345,2296,1953,1852,1737
"CDR20291_0376",36756,12783,24579,40485,27178,20816
"CDR20291_0377",0,0,0,0,0,0
"CDR20291_0378",6183,5988,10340,6732,13091,9388
"CDR20291_0379",1087,996,1913,1187,1918,1888
"CDR20291_0380",911,403,757,716,547,475
"CDR20291_0381",5781,2157,3971,3967,3993,2684
"CDR20291_0382",1891,1019,1854,1396,1699,1169
"CDR20291_0383",1395,1109,2254,1309,1595,1469
"CDR20291_0384",1274,600,1290,1169,1100,985
"CDR20291_0385",88,61,106,97,145,123
"CDR20291_0386",24,24,29,13,39,27
"CDR20291_0387",73,84,116,59,168,138
"CDR20291_0388",8,13,19,7,21,13
"CDR20291_0389",109,128,161,111,238,177
"CDR20291_0390",37,47,69,54,105,71
"CDR20291_0391",41,53,94,38,115,64
"CDR20291_0392",219,198,309,213,416,269
"CDR20291_0393",297,90,164,327,219,146
"CDR20291_0394",12737,7107,14890,7698,8552,6601
"CDR20291_0395",1119,636,1116,1046,1192,970
"CDR20291_0396",2718,2299,4311,2144,4479,3423
"CDR20291_0397",197,301,461,147,575,340
"CDR20291_0398",22,5,27,1,29,13
"CDR20291_0399",679,209,396,484,388,293
"CDR20291_0400",283,241,392,323,535,423
"CDR20291_0401",1311,1185,2048,1138,2199,1579
"CDR20291_0402",6979,3243,6246,5360,6518,4635
"CDR20291_0403",1855,1690,3078,1806,3211,2380
"CDR20291_0404",1804,1206,2359,1217,2368,1551
"CDR20291_0405",13383,6550,12451,10901,11162,8480
"CDR20291_0406",246,69,144,231,213,124
"CDR20291_0407",6495,1710,3808,2769,3141,1700
"CDR20291_0408",18286,4838,9873,11113,9133,5318
"CDR20291_0409",118,64,107,137,155,127
"CDR20291_0410",111,104,151,116,306,151
"CDR20291_0411",539,330,570,513,867,564
"CDR20291_0412",2161,1701,3177,1989,3667,2784
"CDR20291_0413",1967,1080,1980,1432,2004,1373
"CDR20291_0414",1462,777,1602,1131,1341,1281
"CDR20291_0415",967,575,1256,704,1237,899
"CDR20291_0416",768,768,1522,678,1569,1298
"CDR20291_0417",140,184,321,80,287,148
"CDR20291_0418",905,974,1813,290,1009,476
"CDR20291_0419",10540,8217,16349,6636,12464,8613
"CDR20291_0420",141,156,302,165,423,359
"CDR20291_0421",221,372,637,237,759,736
"CDR20291_0422",242,384,706,310,878,748
"CDR20291_0423",789,1125,2070,937,2354,2034
"CDR20291_0424",2610,2914,5555,2267,5775,4501
"CDR20291_0425",260,201,339,168,425,246
"CDR20291_0426",16,33,59,24,68,45
"CDR20291_0427",98,95,149,48,250,112
"CDR20291_0428",152,223,313,119,351,239
"CDR20291_0429",226,191,319,198,420,294
"CDR20291_0430",1400,1571,2478,1673,4610,3354
"CDR20291_0431",338,265,517,377,684,433
"CDR20291_0432",14933,5537,9802,6314,6058,3451
"CDR20291_0433",73,106,104,73,203,110
"CDR20291_0434",250,177,252,325,476,314
"CDR20291_0435",251,228,346,307,624,431
"CDR20291_0436",193,369,534,343,1069,682
"CDR20291_0437",455,427,680,576,1218,857
"CDR20291_0438",744,482,1008,661,768,679
"CDR20291_0439",1080,469,990,950,914,745
"CDR20291_0440",58578,32187,56420,58959,67470,66839
"CDR20291_0441",5833,4085,7045,4028,6384,4732
"CDR20291_0442",6230,4193,7874,4455,8121,5470
"CDR20291_0443",3020,1371,2639,2782,2933,2234
"CDR20291_0444",671,502,1249,659,1243,870
"CDR20291_0445",34044,36447,58617,45546,107039,83465
"CDR20291_0446",6677,4862,9664,7184,13694,10490
"CDR20291_0447",1742,1769,3657,3040,5302,4959
"CDR20291_0448",8872,4649,9310,7370,9814,7605
"CDR20291_0449",4934,2951,5500,5155,6619,5582
"CDR20291_0450",1409,2621,3814,1067,4667,2723
"CDR20291_0451",1713,3127,4518,1311,5327,3710
"CDR20291_0452",145,70,141,87,230,103
"CDR20291_0453",2128,2947,4072,2011,6907,4044
"CDR20291_0454",410,431,804,301,1252,636
"CDR20291_0455",996,1017,1350,681,2109,1098
"CDR20291_0456",721,280,504,649,500,374
"CDR20291_0457",1014,603,1067,735,676,571
"CDR20291_0458",617,703,1197,618,1473,1124
"CDR20291_0459",705,773,1342,732,1639,1315
"CDR20291_0460",933,834,1381,892,1757,1515
"CDR20291_0461",1492,975,1694,1253,1873,1587
"CDR20291_0462",7247,3579,6335,5999,6668,5113
"CDR20291_0463",5130,3695,6881,4426,7393,6081
"CDR20291_0464",5167,3451,6504,3896,6388,5073
"CDR20291_0465",717,456,916,323,868,371
"CDR20291_0466",1742,915,1745,1086,1702,1413
"CDR20291_0467",1405,1100,1965,1199,2028,1665
"CDR20291_0468",379,283,564,295,625,431
"CDR20291_0469",3032,4241,7460,4366,10509,9059
"CDR20291_0470",93114,73210,130306,63242,104524,67675
"CDR20291_0471",27971,9396,18333,14985,15880,9124
"CDR20291_0472",1814,927,2088,1780,1727,1887
"CDR20291_0473",14227,8577,15656,12345,16243,11869
"CDR20291_0474",14117,4573,9064,8207,6313,4604
"CDR20291_0475",163,159,282,171,310,230
"CDR20291_0476",553,400,1116,458,642,774
"CDR20291_0477",92,64,141,90,151,97
"CDR20291_0478",1570,844,1599,2062,2109,1832
"CDR20291_0479",2101,1105,1984,2646,2842,2452
"CDR20291_0480",797,700,1251,1004,1811,1432
"CDR20291_0481",2588,1716,3285,2601,3935,3296
"CDR20291_0482",2270,2171,4034,2746,5765,4682
"CDR20291_0483",10046,7092,13738,7756,11996,9653
"CDR20291_0484",38929,20598,38631,27313,31632,23759
"CDR20291_0485",12585,5724,11788,12224,8777,7462
"CDR20291_0486",12559,6301,11853,11024,10572,8521
"CDR20291_0487",3875,2461,4717,2706,3036,2648
"CDR20291_0488",627,544,1161,543,1147,1046
"CDR20291_0489",3230,2328,4947,3048,4697,4373
"CDR20291_0490",12726,5806,10708,12411,9524,7266
"CDR20291_0491",11847,7638,13401,11229,14305,11039
"CDR20291_0492",3119,3384,6463,4153,7207,6721
"CDR20291_0493",2654,1650,2928,3079,4263,3428
"CDR20291_0494",3448,2154,3972,3775,4895,3858
"CDR20291_0495",385,245,474,426,610,428
"CDR20291_0496",446,214,485,276,545,319
"CDR20291_0497",4174,1933,3641,3598,3666,2926
"CDR20291_0498",55977,29047,52140,61141,58536,47923
"CDR20291_0499",13020,6259,12941,8085,9538,7453
"CDR20291_0500",0,0,0,0,0,0
"CDR20291_0501",2886,1783,3502,1905,3795,2311
"CDR20291_0502",2625,2240,4029,2345,5105,3775
"CDR20291_0503",2220,969,2814,859,2069,1019
"CDR20291_0504",1916,1711,3261,1592,3398,2462
"CDR20291_0505",2339,1717,3223,1671,2949,1870
"CDR20291_0506",4924,2171,4102,2455,3162,1732
"CDR20291_0507",14830,17567,32660,10480,21355,19445
"CDR20291_0508",155,342,629,249,1208,906
"CDR20291_0509",1619,3315,6056,2562,10668,8128
"CDR20291_0510",215,81,212,163,306,139
"CDR20291_0511",1395,364,812,1752,1205,1058
"CDR20291_0512",820,331,869,893,842,733
"CDR20291_0513",21678,7993,11300,17161,11035,7665
"CDR20291_0514",0,0,0,0,0,0
"CDR20291_0515",4452,3142,5445,4338,6628,6061
"CDR20291_0516",1007,744,1213,1298,1945,1348
"CDR20291_0517",587,208,408,971,801,435
"CDR20291_0518",429,246,429,267,450,286
"CDR20291_0519",6239,5542,9252,6439,11165,9185
"CDR20291_0520",1787,2606,4058,2160,5347,3968
"CDR20291_0521",2234,1774,5292,2065,2437,4617
"CDR20291_0522",1640,1283,3482,1494,1827,3100
"CDR20291_0523",3526,2553,7821,3138,4325,5775
"CDR20291_0524",3482,906,1843,3555,1943,1514
"CDR20291_0525",5443,1757,3519,3579,3347,1922
"CDR20291_0526",8854,2856,5634,6363,5129,3323
