"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"",2.5,5,5,5.5,5.5,3,3,9.5,3.5,2,1,3
"CD630_01800",51.5,51,55,43.5,97.5,38,39,84.5,35.5,37,34,22
"CD630_01810",522,338,436,532,658,349,260,332,315,350,285,256
"CD630_01830",6268,3589,5940,8407,7499,4765,2854,2562,1884,2524,1887,1860
"CD630_01840",1370,773.5,1416.5,1909,1303,1045,182,188,124.5,138,85,111
"CD630_01850",626,425.5,677.5,875,783,553.5,116,121,82.5,107,74,69
"CD630_01860",841,866,948,1309,1327,793.5,205,188,160,188,143,158
"CD630_01870",1250,1524,1304,1872,2248,1220,300,328,294,270,222,261
"CD630_01880",406,315,326,432.5,581.5,290.5,595,516,826,701.5,701,610
"CD630_01890",806,635,727,1118.5,1257.5,676.5,159,238,249,200.5,220,220
"CD630_01900",329,348,225,231,528,312,132,159,179,127,107,144
"CD630_01910",1292.5,1031.5,925.5,1346,1407,849,1151.5,1167,1354.5,1137,1500,1380
"CD630_01920",4030.5,3283.5,2860.5,4357,4783,2729,3527.5,3703,4100.5,3976,4984,4627
"CD630_01930",411,334.5,261.5,371,565,273,2188.5,1313.5,1404,1303.5,1913,1430.5
"CD630_01940",31505,22777.5,19592.5,26324,39859,20661,244673.5,210478.5,242182,234027.5,264933,225862.5
"CD630_01950",159,139,125,169,255,144,3654,2500,3132,2840,3843,2852
"",1196,834.5,889.5,1352,1491.5,926,11714,10014.5,12981.5,12331.5,12973.5,11422.5
"",751,701.5,576.5,888,1020.5,553,7747,7093.5,9463.5,9149.5,8665.5,7820.5
"CD630_01980",24737,22505,21595,27613,36946,19886,15717,16375,17663,16798,16490,15646
"CD630_01990",1276,1314,1149,1528,2217,1106,2043,1721,2165,2025,2419,2106
"CD630_02000",66,40.5,32,80.5,84.5,50.5,5.5,12,12.5,16.5,4.5,6
"CD630_02010",99,101.5,95,170.5,157.5,92.5,28.5,34,39.5,35.5,21.5,35
"CD630_02020",556,255,368,734,638,411,241,256,319,311,310,279
"CD630_02030",546,449,436,1416,1189,605,33,45,44,62,53,46
"CD630_02040",2306,1580,1898,2835,2997,1706,780,880,924,955,724,764
"CD630_02050",45,35,37,55.5,50,22,43,37,42,55,42,51
"CD630_02060",6,7,10,4.5,7,2,4,7.5,6,5,4.5,7
"CD630_02070",28,33,23,39,76,30,54,49.5,67,46,61.5,50
"CD630_02080",22,14,16,17,28,17,17,17,37,28,26,32
"CD630_02090",22,38,20,33,41,26,71,59,71,86,52,82
"CD630_02100",403,347,400,617,533,354,737,755,844,904,979,831
"CD630_02110",2348.5,2420,2249.5,3334.5,4000.5,2100,796.5,751.5,799,1170,951.5,922.5
"CD630_02120",10496.5,10855,9737.5,15238.5,17989.5,9442,2842.5,3596.5,3793,5656,3817.5,3853.5
"CD630_02130",109,90,124,167.5,147,106.5,20.5,33.5,40.5,41,36.5,55
"CD630_02140",88,80,92,115.5,116,78.5,13.5,17.5,20.5,23,10.5,19
"CD630_02150",152,168,164,201,266,161.5,269.5,381.5,350.5,206.5,316,293.5
"CD630_02160",505,491,483,613,749,444.5,889.5,1240.5,1195.5,763.5,1010,1007.5
"CD630_02170",39,17,30,45,64,33,30,29,45,22,28,32
"CD630_02180",691,500.5,534,936.5,875.5,528.5,347,347,393.5,393.5,375,305
"CD630_02190",816,663.5,582,951.5,1189.5,587,401.5,449.5,548,506.5,436.5,434.5
