"gene_id","Wt_SM_Rep1","Wt_SM_Rep2","RA_SM_Rep1","RA_SM_Rep2","Wt_S_Rep1","Wt_S_Rep2","RA_S_Rep1","RA_S_Rep2","Wt_S_NOV_Rep1","Wt_SM_NOV_Rep1","RA_S_NOV_Rep1","RA_SM_NOV_Rep1","Wt_S_NOV_Rep2","Wt_SM_NOV_Rep2","RA_S_NOV_Rep2","RA_SM_NOV_Rep2"
"spr1880",10934,10142,6269,7057,25178,15693,16862,11346,47760,29123,48980,36704,59910,31712,35434,32838
"spr1881",20317,20258,13512,14740,49860,31296,39174,23684,119749,76195,125050,94156,147600,78507,83339,81527
"spr1882",30498,28436,17816,20146,55219,34143,65030,49123,144291,115392,147569,136417,193320,110663,101536,106493
"spr1883",62,59,47,58,108,47,66,55,308,282,371,363,345,239,286,303
"spr1884",654,577,443,497,1284,504,977,647,5175,3180,5723,4573,4804,3275,4056,3234
"spr1885",24433,24731,18652,20440,36499,19672,33771,21988,135735,106557,144063,141991,149083,108667,94274,105716
"spr1886",17,17,4,9,38,32,41,28,32,15,39,16,31,12,16,10
"spr1887",16220,15812,11159,11452,27863,15652,26270,18895,81537,66422,90507,87172,102222,64567,58454,63338
"spr1888",11157,10649,7748,9396,45250,22993,42536,29555,73525,37518,77640,49337,84485,37245,50503,37038
"spr1889",1575,1516,595,692,7605,3998,4537,3483,7581,5389,8484,5630,9543,4479,4960,4210
"spr1890",13209,12774,8239,9546,49504,23549,36421,25766,58659,32963,61441,40217,87971,34592,45641,33358
"spr1891",160,179,125,147,520,225,278,175,113,94,125,175,104,103,60,138
"spr1892",8590,8076,6149,7051,27955,12450,20546,13507,38106,18067,40658,24691,47319,19918,30784,19753
"spr1893",13348,12817,9076,10197,48651,22801,31032,21628,55652,27777,63935,37524,69831,28717,42469,28349
"spr1894",22289,22067,15856,18379,72174,31793,44461,29079,103690,45433,110158,62587,104471,48407,71213,47598
"spr1895",616,632,435,595,1614,414,1108,684,4869,2734,5138,3575,4623,3239,3566,2880
"spr1896",355,348,293,343,823,196,441,324,2720,1508,2894,2031,2225,1797,1738,1783
