"gene_id","rofA_1","rofA_2","rofA_3","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2","WT_3"
"H7X56_06660",13495,14768,10535,14214,14989,8945,16961,23530,9268
"H7X56_06665",223,160,152,184,93,120,83,256,133
"H7X56_06670",554,289,460,490,379,487,398,329,387
"H7X56_06675",6355,5102,5927,5266,5190,4889,5394,6895,5502
"H7X56_06680",38023,33248,30848,31321,38569,20238,24288,45098,29428
"H7X56_06685",4475,3918,4492,4540,3664,4235,5183,6751,3808
"H7X56_06690",23052,20912,22011,19140,20799,21882,26260,26078,19724
"H7X56_06695",3586,2496,3053,3081,2862,2991,4219,3724,2704
"H7X56_06700",4240,3142,3558,3419,3616,3263,4427,4621,3309
"H7X56_06705",1399,951,1417,1384,1104,1253,1747,1395,1070
"H7X56_06710",63832,54791,56729,57852,58558,55529,61541,76732,51462
"H7X56_06715",22508,17164,20066,18940,18275,18843,21298,23361,17394
"H7X56_06720",18115,13345,15496,15831,13795,14830,15657,18733,12966
"H7X56_06725",10794,8040,8743,9061,8776,8928,9087,11823,8025
"H7X56_06730",9603,5282,6295,9008,5839,7059,5753,8065,5536
"H7X56_06735",5239,3724,4796,4665,3654,4494,4999,5321,4435
"H7X56_06740",9518,7260,10438,8418,7103,10457,8616,8225,9662
"H7X56_06745",59494,49971,58044,50420,52361,52228,73381,63381,51770
"H7X56_06750",2900,2028,2311,2676,2072,2390,2907,3071,1955
"H7X56_06755",2081,2002,1869,1708,1998,1694,1871,2851,1513
"H7X56_06760",1253,1303,1197,1138,1312,1089,1638,1582,1032
"H7X56_06765",1493,1358,1232,1287,1294,1120,1480,1556,1070
"H7X56_06770",1443,1297,1269,1153,1580,1154,1438,1860,1148
"H7X56_06775",1882,1847,1902,1868,1902,1797,2229,3028,1827
"H7X56_06780",4374,3598,4090,3955,3804,3832,4768,5007,3883
"H7X56_06785",38116,27558,31374,33572,29106,30926,34543,37537,27158
"H7X56_06790",17737,11732,14401,16971,12064,14702,15406,16334,12120
"H7X56_06795",129333,125672,121013,142464,131907,116527,141808,198809,113457
"H7X56_06800",3847,2342,4292,4067,3059,4891,3377,3752,3907
"H7X56_06805",556,469,916,671,514,706,797,740,765
"H7X56_06810",10155,7579,9577,10281,8344,9242,10265,11475,8057
"H7X56_06815",59380,50208,49213,52793,53625,46692,60655,70423,44011
"H7X56_06820",46295,41584,42185,38137,43866,40346,51034,54593,38024
"H7X56_06825",12678,11330,12268,11070,11341,11161,14212,16678,10278
"H7X56_06830",20414,17589,18615,16956,18957,18003,19572,22529,16292
"H7X56_06835",29084,22282,27441,22314,25915,25388,33498,28886,24146
"H7X56_06840",9593,8180,9168,8694,8164,8429,10430,10603,8392
"H7X56_06845",921,514,834,781,628,890,719,849,694
"H7X56_06850",19224,15873,16708,15807,16794,13053,14096,19708,15214
"H7X56_06855",21914,16796,19640,17640,19620,15821,15764,19126,17711
"H7X56_06860",28338,24819,30553,25924,26299,26840,31863,34768,24939
"H7X56_06865",15757,14176,16947,14761,16856,16024,16938,18186,15009
"H7X56_06870",24293,20547,25593,21176,23419,23374,26023,26820,22045
"H7X56_06875",1678,1283,1990,1498,1491,1844,1496,1653,1478
"H7X56_06880",8151,6133,9162,7440,6415,9165,7173,8451,7707
"H7X56_06885",893,744,943,841,712,852,932,1042,811
"H7X56_06890",5673,5182,5471,4734,5481,4972,6353,5522,4601
"H7X56_06895",2573,2046,2435,2396,1979,2083,2725,2669,2035
