"gene_id","SK36_Mono_7","SK36_Mono_8","SK36_Mono_9","SK36_CoSK36_16","SK36_CoSK36_17","SK36_CoSK36_18","SK36_Quad_22","SK36_Quad_23","SK36_Quad_24"
"SSA_RS04740",71,138,254,172,215,131,101,26,38
"SSA_RS04745",1753,1402,2311,4594,4696,2881,1257,791,803
"SSA_RS04750",1037,899,1390,2890,3140,1757,533,408,348
"SSA_RS04755",2412,2135,2620,5882,4848,3587,823,1088,887
"SSA_RS04760",602,1009,1731,2111,1586,1341,498,316,394
"SSA_RS04765",471,371,561,1271,1393,774,374,193,227
"SSA_RS04770",749,1677,3127,2465,1602,1660,680,535,436
"SSA_RS04775",655,957,1586,1793,1134,1359,415,364,320
"SSA_RS04780",3606,2441,4001,11151,10881,7416,2564,2019,1636
"SSA_RS04785",255,545,1281,757,692,537,181,185,124
"SSA_RS04790",369,239,367,852,763,657,176,168,154
"SSA_RS04795",3984,4170,3080,11021,7561,7707,3009,2659,2813
"SSA_RS04800",338,663,950,1065,831,706,310,177,225
"SSA_RS04805",1208,649,1045,2816,3575,1795,604,473,439
"SSA_RS04810",868,228,189,2302,2107,1584,581,342,365
"SSA_RS04815",562,489,500,1701,1377,1094,466,255,300
"SSA_RS04820",212,245,482,541,517,416,214,102,112
"SSA_RS04825",56,100,177,203,193,146,78,50,43
"SSA_RS04830",5,54,75,54,46,30,27,10,23
"SSA_RS04835",42,87,187,157,121,105,101,69,87
"SSA_RS04840",18,40,40,43,33,54,16,8,10
"SSA_RS04845",409,1094,2176,1518,1452,1333,1024,636,528
"SSA_RS04850",219,134,176,515,488,325,272,224,149
"SSA_RS04855",530,304,377,1006,937,579,239,158,140
"SSA_RS04860",240,230,513,567,424,335,124,147,83
"SSA_RS04865",198,197,326,610,465,446,181,164,125
"SSA_RS04870",1,8,16,6,9,8,3,2,2
"SSA_RS04875",221,81,136,412,455,275,91,64,56
"SSA_RS04880",742,1705,2653,2252,1300,1712,430,537,403
"SSA_RS04885",323,528,1079,566,466,444,139,186,129
"SSA_RS04890",119,76,125,317,369,235,206,135,97
"SSA_RS04895",54,139,263,243,180,153,230,176,115
"SSA_RS04900",72,52,47,172,207,103,152,123,98
"SSA_RS04905",400,180,378,827,979,535,154,125,76
"SSA_RS04910",210,131,169,590,506,368,219,180,170
"SSA_RS04915",1511,1871,3153,4344,3775,2901,1207,759,723
"SSA_RS04920",3954,17349,41396,8801,5542,9922,3957,3621,3108
