"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_1744",1901,1885,1467,1538,1483,1105,1119,1070,1538,1828
"SP_1745",2263,1805,1536,1498,1230,841,1136,956,2049,2104
"SP_1746",3235,3102,2890,2710,3171,2803,2086,2173,2836,3358
"SP_1747",2940,2814,2599,2711,2618,2438,2121,1966,2565,3330
"SP_1748",1334,1395,1145,1186,1142,704,859,789,1265,1441
"SP_1749",6108,5857,4922,5117,4939,4454,4156,3615,4949,6496
"SP_1750",1892,1646,1520,1557,1640,1712,1319,1184,1610,2088
"SP_1751",3947,4087,3123,3443,3320,3385,2785,2585,3493,4430
"SP_1752",896,973,689,798,623,534,499,429,734,708
"SP_1754",2114,2125,1791,1744,1524,1618,1919,1451,2644,3218
"SP_1755",3,7,1,2,1,0,3,1,8,0
"SP_1756",3,5,0,1,1,1,1,0,3,1
"SP_1757",1157,1043,877,807,851,803,682,653,1048,1161
"SP_1758",1107,956,802,685,722,657,590,553,989,1081
"SP_1759",1806,1655,1365,1292,1293,1373,1118,1163,1873,1989
"SP_1760",182,144,142,128,123,73,126,87,225,194
"SP_1761",1115,822,808,763,795,881,702,752,1232,1240
"SP_1762",1111,963,883,736,611,639,710,644,1153,1198
"SP_1763",720,626,465,478,429,444,385,427,714,720
"SP_1764",362,311,279,244,164,235,227,175,417,389
"SP_1765",719,514,556,436,454,430,486,464,798,777
"SP_1766",578,517,424,433,335,349,396,433,792,679
"SP_1767",1904,1701,1510,1342,1233,1318,1471,1453,2392,2298
"SP_1768",863,801,800,702,764,853,795,832,1130,1173
"SP_1770",701,568,488,410,381,431,474,477,1007,848
"SP_1771",2341,2206,1844,1783,1657,1672,2178,2004,3165,3128
"SP_1772",3633,4524,3234,3693,3618,2520,7064,6683,7540,9378
"SP_1774",1597,1692,1090,1481,1412,1164,1729,1407,1943,2057
"SP_1775",2229,1762,1401,3985,2552,922,2968,2402,3011,1715
"SP_1776",13471,11797,10115,25121,21321,9312,22008,15640,11525,11562
"SP_1777",470,475,351,387,405,287,366,250,325,417
"SP_1778",19766,19197,17472,6108,6700,6425,4673,4035,10494,15875
"SP_1779",2537,2133,1913,1824,1757,1825,1485,1444,2207,2436
"SP_1780",7016,7465,6271,6601,6756,7912,5147,4657,5918,8203
"SP_1781",1289,1320,1178,1183,1192,1238,985,940,1251,1480
"SP_1782",2012,2070,1765,1806,1908,2362,1706,1546,1660,2237
"SP_1783",573,683,524,710,615,715,423,441,542,639
"SP_1784",2091,1985,1656,1824,1753,2016,1367,1311,1548,1918
"SP_1785",840,759,710,775,774,751,733,804,763,806
"SP_1786",1549,1528,1512,1686,1781,3030,1056,1055,1078,1574
"SP_1787",55,85,81,106,64,52,98,82,112,110
"SP_1788",4,3,3,1,2,1,3,1,2,2
"SP_1789",0,0,3,3,0,6,1,0,0,1
"SP_1790",2902,2826,2314,2021,2073,1934,2029,1767,2424,3306
"SP_1791",3,0,0,1,0,1,0,0,0,0
"SP_1792",42,47,27,32,37,19,25,16,38,54
"SP_1793",4413,4619,4513,7578,6871,7965,1411,1674,624,809
"SP_1794",405,905,311,1029,495,1224,111,127,112,79
