"gene_id","IU10991_1","IU10991_2","IU10991_3","IU1781_1","IU1781_2","IU1781_3"
"SPD_RS02125",21679,16173,14118,18348,16164,11671
"SPD_RS02130",2620,1821,1249,2874,1859,1089
"SPD_RS02135",186201,325291,364975,93313,219102,219900
"SPD_RS02140",7799,7389,6359,8520,7579,6811
"SPD_RS02145",81114,62521,54226,76597,61053,44367
"SPD_RS02150",2444,1905,2094,2036,2364,1707
"SPD_RS02155",556,390,342,644,453,341
"SPD_RS02160",1399,1080,792,1709,1046,695
"SPD_RS02165",366,443,276,484,333,273
"SPD_RS02170",582,760,613,580,510,421
"SPD_RS02175",751,561,513,747,599,452
"SPD_RS02180",26744,38824,42007,17634,32350,30540
"SPD_RS02185",3612,2016,1683,4655,2644,1707
"SPD_RS02190",5072,3222,3013,6631,4003,3851
"SPD_RS02195",4116,2864,2556,3762,3298,1834
"SPD_RS02215",10877,4867,4968,8740,6907,3183
"SPD_RS02220",920,868,804,1474,894,801
"SPD_RS02225",17400,15829,12784,22070,13491,10687
"SPD_RS02230",623,1114,801,893,859,980
"SPD_RS02235",708,1060,814,1089,1021,1359
"SPD_RS02240",821,1442,1191,1032,1194,1637
"SPD_RS02255",1158,1648,1562,1002,1200,1471
"SPD_RS02260",14,14,6,18,9,8
"SPD_RS02265",31,27,30,50,26,29
"SPD_RS02270",3,9,9,12,2,7
"SPD_RS02275",22,26,10,47,19,20
"SPD_RS02280",93,82,60,120,101,86
"SPD_RS02285",8209,3480,3679,6099,4687,2718
"SPD_RS02290",8501,4237,4421,6341,5281,3548
"SPD_RS02295",2422,1469,1623,2005,1746,1488
"SPD_RS02300",1539,839,836,1521,1091,578
"SPD_RS02305",541,397,416,502,407,399
"SPD_RS02310",4989,3177,2957,5286,3842,2875
"SPD_RS02315",2142,1060,973,2468,1286,791
"SPD_RS02320",204,107,123,285,111,87
"SPD_RS02325",7986,3468,4275,5126,4193,2620
"SPD_RS02330",2085,1012,1151,1682,1318,792
"SPD_RS02335",1444,970,882,1342,1080,650
"SPD_RS02340",1847,1461,1451,1752,1510,1103
"SPD_RS02345",29856,59572,36284,46845,43227,44558
"SPD_RS02350",12635,4898,5257,9974,6544,3654
"SPD_RS02355",5873,4083,3232,7208,4349,3919
"SPD_RS02360",402,401,284,571,363,297
"SPD_RS02365",58996,27454,23334,69200,32236,15554
"SPD_RS02370",6957,11050,9427,5686,7526,6148
"SPD_RS02375",34594,36875,32166,19750,33136,33325
"SPD_RS02380",94248,49146,50383,45907,46866,26917
"SPD_RS02385",1372,1772,1320,825,996,1387
"SPD_RS02390",1063,956,709,3902,2670,2361
"SPD_RS02395",247,185,136,135,100,105
"SPD_RS02400",3038,3829,2948,707,857,775
"SPD_RS02405",3387,3031,2375,3400,1844,1705
"SPD_RS02410",2226,2078,1513,3181,1763,1461
"SPD_RS02415",7883,10553,7170,9576,8883,8670
"SPD_RS02420",5,4,2,12,2,4
"SPD_RS02425",12,10,2,14,14,10
"SPD_RS02430",4752,4457,3449,6516,3963,2784
"SPD_RS02435",3814,6573,6242,3263,4002,3830
"SPD_RS02440",6470,6320,3444,12500,4562,3662
"SPD_RS02445",1111,1587,932,1805,747,693
"SPD_RS02450",2585,1740,1110,4459,1465,861
"SPD_RS02455",401,480,447,272,360,309
"SPD_RS02460",3259,3745,3649,3150,3462,3773
"SPD_RS02465",1828,1473,1470,1863,1577,1599
"SPD_RS02470",5623,3082,3438,4489,3459,2071
"SPD_RS02475",14634,7850,8483,11081,9853,7627
"SPD_RS02480",156,84,107,43,118,166
"SPD_RS02485",1865,2510,2043,1940,2055,2271
"SPD_RS02490",2239,2175,1505,2731,2196,2021
"SPD_RS02495",2247,1581,1511,2410,1920,1081
"SPD_RS02500",6,5,4,3,6,18
"SPD_RS02505",25,13,17,15,21,27
"SPD_RS02510",164,68,74,39,102,83
"SPD_RS02515",184,103,96,49,155,128
"SPD_RS02520",2479,2941,2902,494,3440,3766
"SPD_RS02525",1693,1409,1083,493,2181,1690
"SPD_RS02530",163,70,82,73,119,64
"SPD_RS02535",314,238,221,197,274,182
"SPD_RS02540",5300,2832,2771,7108,3856,2758
"SPD_RS02545",16810,13815,12861,20208,15603,11483
"SPD_RS02550",2346,1877,1609,2407,1981,1847
"SPD_RS02555",3994,1957,1671,4828,2557,1513
"SPD_RS02560",657,384,318,901,445,239
"SPD_RS02565",609,321,201,737,381,224
"SPD_RS02570",22731,11709,10563,24890,15465,9774
"SPD_RS02575",5353,4858,5377,3455,4605,4074
"SPD_RS02580",6,5,1,9,5,3
"SPD_RS02585",5,1,1,5,6,4
"SPD_RS02595",7,5,12,16,6,7
"SPD_RS02600",815,461,472,698,543,297
"SPD_RS02605",4648,2321,2172,4517,3069,1900
"SPD_RS02610",1149,766,727,1206,889,545
"SPD_RS02615",2881,2002,1689,3723,2303,1579
"SPD_RS02620",1032,802,649,1515,737,625
"SPD_RS02625",688,380,296,934,399,196
"SPD_RS02630",1141,788,564,1610,766,495
"SPD_RS02635",18632,7700,7037,17778,10260,5435
"SPD_RS02640",435,615,499,563,485,318
"SPD_RS02645",526,443,313,654,433,353
"SPD_RS02650",39,56,39,55,59,52
"SPD_RS02655",73,111,98,133,93,148
"SPD_RS02665",11,19,9,23,17,21
"SPD_RS02670",1140,1196,1184,847,1012,915
"SPD_RS02675",60,51,38,97,52,37
"SPD_RS02695",253,476,331,325,281,381
"SPD_RS02700",321,364,288,492,357,330
"SPD_RS02705",530,758,502,784,670,628
"SPD_RS02710",2587,1256,1046,2526,1523,768
"SPD_RS02715",1603,864,670,1684,1051,579
"SPD_RS02720",12140,5105,5116,10189,6877,3827
"SPD_RS02725",7027,5440,4957,7532,6048,5986
"SPD_RS02730",41,30,23,41,40,24
"SPD_RS02740",20,13,10,16,14,8
"SPD_RS02745",397,163,167,341,216,132
"SPD_RS02750",207,114,100,184,132,86
"SPD_RS02755",21510,9755,8780,20266,12643,6989
"SPD_RS02760",5548,2790,2224,5792,3701,1992
"SPD_RS02765",6256,3222,2605,6383,4036,2441
"SPD_RS02770",12057,6016,5473,12617,7980,5051
"SPD_RS02775",3448,1517,1401,3141,2003,925
"SPD_RS02780",11627,7847,8468,10288,8925,6469
"SPD_RS02785",397,323,210,491,307,269
"SPD_RS02795",1085,1140,985,984,1064,780
"SPD_RS02800",470,405,344,401,403,292
"SPD_RS02805",1113,564,495,1126,838,440
"SPD_RS02810",1280,1008,940,1132,1145,869
"SPD_RS02815",2423,1885,1933,2205,1872,1429
"SPD_RS02820",125111,74894,54228,215094,82435,53072
"SPD_RS02825",5811,5326,5230,682,599,522
"SPD_RS02830",465,234,226,519,300,309
"SPD_RS02835",332,183,163,336,204,229
"SPD_RS02840",377,184,164,403,200,259
"SPD_RS02855",5735,4509,4333,5266,4231,2949
"SPD_RS02860",41891,32310,34133,32664,33121,25373
"SPD_RS02865",3924,2231,2305,2753,2612,1698
"SPD_RS02870",5217,5521,4420,5844,4724,4210
"SPD_RS02875",4760,3395,3066,4842,3479,2504
"SPD_RS02880",37409,27082,34184,15086,31031,26987
"SPD_RS02885",4673,2242,2244,3581,2887,1790
"SPD_RS02890",2805,1551,1418,2494,1872,1313
"SPD_RS02895",279,164,149,264,153,173
"SPD_RS02900",8747,5917,5459,8587,7256,6170
"SPD_RS02905",22501,9955,9427,20674,13832,7625
"SPD_RS02910",1609,709,676,1692,988,541
"SPD_RS02915",253,109,117,247,132,82
