"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS01525",2068,3306,4545,3473,3582
"SP5448_RS01530",7509,12196,16377,12747,13831
"SP5448_RS01535",698,771,1022,856,756
"SP5448_RS01540",807,1511,1540,1846,1393
"SP5448_RS01545",3256,6890,6566,5148,7047
"SP5448_RS01550",5759,12191,11338,9279,12393
"SP5448_RS01555",2839,6253,6550,4559,5291
"SP5448_RS01560",4439,6024,7709,6602,7043
"SP5448_RS01565",1623,1893,2820,1942,1655
"SP5448_RS01570",245,360,278,459,354
"SP5448_RS01575",665,638,811,750,850
"SP5448_RS01580",1085,1578,2989,1856,1949
"SP5448_RS01585",566,776,1026,685,623
"SP5448_RS01590",25,53,22,37,50
"SP5448_RS01595",13085,13401,23464,12114,15538
"SP5448_RS01600",1432,1686,3872,1538,1813
"SP5448_RS01605",19599,72236,39162,73228,69522
"SP5448_RS01610",9638,16308,25623,17569,19281
"SP5448_RS01615",1966,3272,6684,3806,3713
"SP5448_RS01620",2855,6512,7474,5998,6572
"SP5448_RS01625",6445,10134,14107,10144,11506
"SP5448_RS01630",28369,58473,60682,50621,69421
"SP5448_RS01635",1951,2169,3017,2410,2683
"SP5448_RS01640",1199,1835,2608,2257,2727
"SP5448_RS01645",5870,7773,9254,8547,8931
"SP5448_RS01650",4719,7108,7551,6266,6780
"SP5448_RS01655",4621,6705,8977,7567,7601
"SP5448_RS01660",1220,1741,2731,1785,1589
"SP5448_RS01665",1904,3348,6205,3932,4051
"SP5448_RS01670",5695,9455,13846,9957,11077
"SP5448_RS01675",1244,2774,3048,2367,2618
"SP5448_RS01680",1641,2504,4341,2487,2648
"SP5448_RS01685",160,194,232,277,171
"SP5448_RS01690",1804,1837,3998,2408,2154
"SP5448_RS01695",257,434,633,599,387
"SP5448_RS01700",17224,30770,39754,31604,32934
"SP5448_RS01705",32019,45596,62461,46083,48455
"SP5448_RS01710",8769,14213,20974,14808,16452
