"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS08770",2714,3578,4567,3674,3757
"SP5448_RS08775",1578,2863,3254,2822,3253
"SP5448_RS08780",2876,3709,4534,3705,4320
"SP5448_RS08785",4390,7611,8832,7607,7955
"SP5448_RS08790",5912,9044,10510,9617,10334
"SP5448_RS08795",3489,5430,6749,5019,5735
"SP5448_RS08800",257,452,540,588,727
"SP5448_RS08805",506,986,1062,819,932
"SP5448_RS08810",15500,25053,27233,23698,27225
"SP5448_RS08815",326,563,527,550,413
"SP5448_RS08820",6008,8369,10466,9107,10205
"SP5448_RS08825",9506,12993,15679,13377,15440
"SP5448_RS08830",8184,12807,15209,12858,14910
"SP5448_RS08835",17145,26421,29717,24738,30305
"SP5448_RS08840",5477,7862,9412,8018,9063
"SP5448_RS08845",5539,10595,16709,12170,10718
"SP5448_RS08850",6915,11641,16656,11360,11512
"SP5448_RS08855",171,268,236,320,261
"SP5448_RS08860",162,180,317,294,223
"SP5448_RS08865",484,342,720,776,497
"SP5448_RS08870",425,816,802,933,715
"SP5448_RS08875",421,648,672,632,451
"SP5448_RS09675",234,244,420,265,376
"SP5448_RS08885",2847,4208,6334,4970,4367
"SP5448_RS08890",303,324,482,378,423
"SP5448_RS08895",116,201,279,158,167
"SP5448_RS08900",449,713,820,613,521
"SP5448_RS08905",444,889,1540,877,845
"SP5448_RS08910",1278,900,786,1594,847
"SP5448_RS08915",68,83,111,100,110
"SP5448_RS08920",13203,29440,39021,28653,33735
"SP5448_RS08930",457,773,652,756,688
"SP5448_RS08935",510,973,1071,1043,1003
"SP5448_RS08940",12802,18092,23061,19629,21514
"SP5448_RS08945",3731,6360,8324,6908,7158
"SP5448_RS08950",10500,16747,23182,17644,18522
"SP5448_RS08955",9075,13523,19392,13912,15524
"SP5448_RS08960",1554,2351,3267,2388,2728
"SP5448_RS08965",8639,15442,18885,15191,15824
"SP5448_RS08970",4089,5947,8550,5828,9346
"SP5448_RS08975",7142,10644,12288,9034,13871
"SP5448_RS08980",2863,5503,5257,5517,5644
"SP5448_RS08985",2946,5033,7648,5216,5289
"SP5448_RS08990",4463,5917,8537,5600,6070
"SP5448_RS08995",6721,9311,16208,10437,9858
"SP5448_RS09000",4290,6810,10013,7455,7949
"SP5448_RS09005",8290,12207,15769,11800,12900
"SP5448_RS09010",1832,3613,5242,3853,3921
"SP5448_RS09015",1158,1987,3295,2163,2165
"SP5448_RS09020",264,259,654,520,399
"SP5448_RS09025",259,503,521,353,452
"SP5448_RS09030",268,380,629,396,555
"SP5448_RS09035",1476,2753,3555,3035,2973
"SP5448_RS09040",4949,8104,8715,8250,9340
"SP5448_RS09045",4235,6435,12648,6655,7072
"SP5448_RS09050",30896,46489,58445,45362,51141
"SP5448_RS09055",4304,6980,8387,7088,7479
"SP5448_RS09060",2529,3808,5836,3800,4533
"SP5448_RS09065",22400,32667,42332,32565,35624
"SP5448_RS09070",3018,7716,10172,6999,8305
"SP5448_RS09075",55,6,9,13,0
"SP5448_RS09080",27,41,25,14,10
"SP5448_RS09095",71,52,62,287,65
"SP5448_RS09100",381,828,1052,827,871
"SP5448_RS09105",12076,19428,19801,19533,21594
"SP5448_RS09110",2880,4300,5633,4938,4865
