"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"SPY49_RS04220",13169,9374,5200,81,380,128,25,13,42
"SPY49_RS04225",1932,1930,1467,31,52,11,4,1,2
"SPY49_RS04230",840,281,238,8,20,4,3,2,0
"SPY49_RS04235",1087,273,202,6,36,7,3,3,4
"SPY49_RS04240",2787,839,618,72,169,92,8,7,13
"uvrC",5447,1749,1421,103,219,115,16,10,17
"SPY49_RS04250",5386,3782,3302,71,154,88,8,11,13
"pepV",13871,5653,4488,157,368,173,40,35,27
"mnmE",4640,8335,7302,33,79,28,3,6,5
"SPY49_RS04270",20534,67298,45218,272,435,234,37,31,80
"rplL",13179,39396,25209,175,282,139,17,16,84
"pbp3_2",1703,1919,1658,23,69,24,2,3,5
"SPY49_RS04285",5579,18615,21040,52,76,45,13,2,7
"SPY49_RS04290",51922,115057,104976,381,644,296,37,48,80
"folE",8359,1851,1664,99,146,75,10,11,13
"folP",9562,2143,1725,93,216,73,12,15,15
"folB",3861,724,516,34,77,47,2,11,5
"folK",9009,2576,2099,65,153,78,5,10,4
"murB",3470,2085,1653,72,164,41,8,5,11
"SPY49_RS04320",4682,1791,1265,101,222,71,14,12,19
"SPY49_RS04325",2080,1111,763,44,121,48,9,6,5
"SPY49_RS04330",1759,1060,662,38,96,32,5,5,8
"SPY49_RS04335",3406,2858,2166,81,182,65,9,14,25
"SPY49_RS04340",424,225,172,5,20,4,0,0,2
"SPY49_RS04345",811,617,492,18,22,15,7,1,3
"SPY49_RS04350",138,43,28,3,15,14,0,1,3
"SPY49_RS04355",93,42,31,3,15,19,4,2,2
"SPY49_RS04360",172,627,784,7,10,4,1,0,3
"aphA",1313,3721,2504,43,52,39,12,4,8
"SPY49_RS04370",2631,2331,1796,32,59,25,2,1,5
"SPY49_RS04375",1435,2704,2503,31,43,17,0,1,2
"SPY49_RS04380",7682,13372,11575,92,134,63,10,3,11
"radC",2,12,17,0,5,2,3,1,0
"SPY49_RS04390",3200,1918,2659,45,84,29,6,1,1
"SPY49_RS04395",10434,19176,19465,164,278,88,20,10,35
"SPY49_RS04400",2790,2360,1690,35,53,14,6,2,13
"SPY49_RS04405",14609,4293,3822,163,362,136,14,20,24
"SPY49_RS04410",11038,3197,2424,142,242,84,22,19,14
"SPY49_RS04415",901,2608,1552,11,14,9,1,3,7
"SPY49_RS04420",5127,5319,5004,45,96,28,2,6,2
"SPY49_RS04425",5604,4338,4404,50,80,42,9,4,13
"SPY49_RS04430",3091,2664,2597,44,88,25,7,4,6
"pta",18727,64642,70599,452,621,205,33,41,78
"SPY49_RS04440",2669,1853,1517,94,103,36,2,10,9
"SPY49_RS04445",4744,4533,5938,42,113,31,7,8,22
"SPY49_RS04450",4434,2398,2994,154,224,101,12,16,19
"SPY49_RS04455",5856,7966,7871,240,432,171,13,40,41
"guaC",3512,1297,1001,36,98,25,16,9,22
"SPY49_RS04465",3134,2515,2227,23,103,40,22,8,8
"SPY49_RS04470",4597,6299,5442,68,193,43,34,0,22
"SPY49_RS04475",1759,1484,1155,19,17,1,0,4,2
"SPY49_RS04480",871,1315,1095,4,3,3,0,0,2
"SPY49_RS04485",2758,2331,2412,15,37,16,0,2,9
"prfA",5186,2601,2050,54,70,34,10,7,10
"prmC",3909,1873,1302,54,96,39,7,6,6
"SPY49_RS04500",2289,806,617,25,62,31,2,5,6
"SPY49_RS04505",2173,710,644,23,40,14,1,4,6
"SPY49_RS04510",6138,2100,1874,84,181,60,13,16,14
"SPY49_RS04515",7366,1814,1640,71,188,59,11,8,23
"SPY49_RS04520",4326,775,706,43,77,32,10,9,7
"SPY49_RS04525",9969,3008,2300,78,191,68,13,7,18
"SPY49_RS04530",5302,4347,3409,47,110,23,8,3,6
"SPY49_RS04535",22967,30124,18118,439,839,421,53,57,122
"SPY49_RS04540",15570,30930,15108,223,363,143,39,14,50
"gyrA",30666,9608,8272,322,562,288,47,43,54
"SPY49_RS04550",10172,9239,7337,85,141,66,7,13,16
"SPY49_RS04555",769,533,633,8,11,1,0,1,2
"SPY49_RS04560",18056,76621,58275,1539,1526,955,136,180,234
"SPY49_RS04565",20814,9616,9810,78,101,33,12,4,17
"SPY49_RS04570",10556,2124,1667,27,43,17,1,1,3
"SPY49_RS04575",5147,1302,761,15,17,4,0,3,0
"ylqF",2720,2160,2137,124,154,40,1,9,6
"SPY49_RS04585",2288,2067,1385,113,167,56,11,8,15
"dprA",60,13,35,2,6,2,0,0,1
"topA",11643,15363,14805,98,209,60,18,15,21
"SPY49_RS09510",28,20,10,2,5,1,0,0,0
"SPY49_RS04605",8,7,9,0,1,0,0,0,0
"SPY49_RS04610",16,22,16,0,0,0,1,0,1
"SPY49_RS04615",629,663,657,21,93,20,1,4,6
"SPY49_RS04620",734,608,779,35,103,13,1,6,4
"trmFO",5015,3243,2722,58,123,52,13,4,15
"SPY49_RS04630",542,271,203,3,14,4,3,0,0
"SPY49_RS04635",133,52,44,0,1,2,0,0,0
"SPY49_RS04640",97,99,84,2,2,3,0,0,0
"SPY49_RS04645",562,489,498,3,10,6,0,5,0
"citG",862,429,416,15,20,5,0,2,3
"SPY49_RS04655",922,645,552,18,20,4,0,3,5
"SPY49_RS04660",43,30,33,0,1,0,0,0,0
"SPY49_RS04665",25,32,30,0,0,0,0,0,0
"SPY49_RS04670",67,25,31,1,0,0,0,0,1
"SPY49_RS04675",198,46,31,2,6,0,2,0,0
"citD",80,7,11,0,4,0,0,0,0
"citE",203,37,34,4,5,5,0,0,0
"citF",355,48,55,0,8,2,0,0,1
"citX",135,22,17,1,4,0,0,0,0
"SPY49_RS04705",372,89,103,5,4,6,0,3,1
"citC",9829,8981,7875,115,286,79,5,16,30
"SPY49_RS04715",5239,5941,5382,68,138,46,2,7,18
"xerS",1597,1405,1885,80,167,33,1,10,16
"SPY49_RS04725",346,1208,1888,23,46,6,2,2,9
"ffh",13966,9830,10338,196,384,139,38,25,43
"SPY49_RS04735",2544,1474,1551,24,36,20,2,8,1
"SPY49_RS04740",7249,4638,3795,79,210,82,16,19,21
"SPY49_RS04745",1322,2617,2453,11,41,11,2,1,6
"guaA",19522,12560,10321,162,304,101,31,25,46
"SPY49_RS04755",117,327,420,6,13,1,1,0,5
"SPY49_RS04760",1597,4167,3480,42,68,22,5,0,13
"SPY49_RS04765",180,350,302,0,1,0,0,1,1
"SPY49_RS04770",641,607,802,11,15,8,0,3,1
"SPY49_RS04775",358,742,1025,5,7,3,0,0,1
"SPY49_RS04780",8540,20858,15427,102,203,66,15,18,19
"cls",20532,11549,10271,541,1022,351,70,63,84
"SPY49_RS04790",21676,7027,7569,630,1282,439,125,95,92
"SPY49_RS04795",7497,1721,1717,348,665,203,35,35,28
"SPY49_RS04800",6555,1004,913,238,585,147,27,38,28
"SPY49_RS04805",6449,1783,1564,231,466,150,33,27,25
"SPY49_RS04810",4029,1771,1639,104,242,82,12,18,23
"SPY49_RS04815",10672,2589,2190,333,790,225,49,29,37
"SPY49_RS04820",8418,2228,1533,289,633,178,37,29,31
"SPY49_RS04825",4864,2391,1706,173,376,120,5,14,21
"coaB",3399,2167,2950,42,66,20,3,1,11
"coaC",3031,1684,1955,44,86,30,1,10,11
"SPY49_RS04840",2714,3232,2292,26,68,35,4,3,8
"SPY49_RS04845",14317,17077,12853,171,290,102,36,23,41
"SPY49_RS04850",5373,9876,11990,138,233,69,12,16,39
"SPY49_RS04855",4970,5644,5016,122,237,103,17,8,39
"SPY49_RS04860",9238,8701,6527,210,295,108,16,8,37
"SPY49_RS04865",18279,21105,20918,633,947,330,64,62,100
"SPY49_RS04870",7677,4383,4414,364,541,180,48,46,48
"SPY49_RS04875",6158,13267,10160,218,341,104,11,18,27
"SPY49_RS04880",916,2075,2663,20,24,8,1,2,1
"SPY49_RS04885",7518,29448,22220,59,123,39,11,6,15
"SPY49_RS04890",1901,3364,3749,24,44,9,5,5,4
"SPY49_RS04895",1114,2356,2250,34,24,15,2,2,5
"SPY49_RS04900",36528,47691,55402,422,761,282,57,46,93
"phoU",6573,5028,4592,63,209,76,9,8,16
"pstB_1",6825,2627,2532,109,219,65,18,15,18
"pstB_2",8111,2546,2444,112,244,96,15,12,12
"pstA",7224,1599,1499,72,231,71,10,18,13
"pstC",6023,2538,2635,75,158,49,9,12,7
"SPY49_RS04930",7567,4366,4231,69,183,64,12,11,15
"SPY49_RS04935",4542,1737,1300,32,71,28,6,1,3
"SPY49_RS04940",4780,2151,1952,39,65,22,3,4,4
"SPY49_RS04945",1050,348,327,3,5,7,1,0,0
"SPY49_RS04950",5346,18601,11939,55,148,58,3,3,26
"SPY49_RS04955",2944,2339,2212,44,84,27,4,3,14
"truB",4218,2787,2527,52,115,32,9,6,6
"SPY49_RS04965",2588,1603,1750,15,44,11,4,1,3
"SPY49_RS04970",1033,1458,2296,58,157,28,7,6,13
"SPY49_RS04975",630,671,1008,37,95,23,8,8,7
"SPY49_RS04980",2174,697,585,63,186,49,18,15,10
"SPY49_RS04985",439,90,104,12,41,11,2,3,3
"SPY49_RS04990",216,166,229,0,10,2,0,0,0
"SPY49_RS04995",4600,4275,7842,360,430,175,22,32,36
"SPY49_RS05000",27536,26869,24731,2695,3350,1703,204,272,419
"SPY49_RS05005",12586,10219,8525,1093,1269,712,108,123,183
"SPY49_RS05010",22483,17047,14401,2299,2738,1543,272,261,261
"SPY49_RS05015",4148,2685,797,348,280,180,36,29,67
"amaP",26880,11556,9663,2780,3193,1621,262,286,367
"SPY49_RS05025",9933,3881,1981,827,1065,523,84,69,129
"pcrA",5995,5577,4794,126,341,115,14,14,23
"SPY49_RS05035",1355,471,325,59,98,33,4,5,0
"SPY49_RS05040",3290,3179,2167,148,232,85,9,14,10
"cfa",6665,43243,39606,225,384,175,32,25,52
"SPY49_RS05050",5072,8607,7904,129,255,89,17,23,27
"SPY49_RS05055",3861,2625,2232,103,185,41,18,15,31
"SPY49_RS05060",4573,3335,3552,90,179,65,11,8,13
"SPY49_RS05065",4717,5026,4368,35,47,16,6,2,6
"glmS",18994,7860,8577,497,638,331,58,53,71
"lepB_2",4179,4387,5645,166,201,95,28,19,23
"pyk",46583,61201,55849,511,1009,465,92,95,137
"pfkA",26490,17200,9355,289,552,227,46,40,66
"SPY49_RS05090",11245,4271,3901,130,307,108,18,26,29
"SPY49_RS05095",2189,4640,3240,74,129,51,7,5,14
"SPY49_RS05100",4889,4322,3523,200,282,105,11,12,29
"SPY49_RS05105",3171,9427,6801,122,181,53,14,24,29
"SPY49_RS05110",4966,9828,9008,31,59,22,2,0,8
"ssrA",397158,1436796,1180533,5238,6801,3990,1311,1118,2833
"SPY49_RS05115",2308,3027,4300,14,19,12,1,2,0
"glgP",1367,1254,1604,238,220,65,22,12,36
"malQ",519,832,896,92,83,23,15,0,22
"SPY49_RS05130",755,5892,5719,16,15,8,1,0,6
"SPY49_RS05135",2830,2533,2105,498,401,125,42,16,76
"SPY49_RS05140",1226,776,788,128,188,41,19,10,7
"SPY49_RS05145",1221,421,262,159,190,49,19,8,8
"SPY49_RS05150",477,180,133,49,61,25,4,3,0
"SPY49_RS05160",11244,8253,6805,96,258,68,16,15,22
"dltD",11074,5596,3608,106,227,92,21,21,25
"dltC",2204,950,724,23,32,9,1,2,3
"dltB",11529,3449,2400,110,257,88,11,17,24
"dltA",20839,9141,7883,176,404,107,20,26,28
"SPY49_RS05185",288,227,75,0,3,0,0,0,0
"uvrB",15032,7521,7459,117,218,79,17,15,14
"SPY49_RS05195",65105,34251,32394,402,675,341,64,52,46
"SPY49_RS05200",30127,12103,8562,200,384,183,28,41,20
"SPY49_RS09600",17,6,4,2,0,1,0,0,0
"SPY49_RS05205",72,28,22,3,14,5,0,0,1
"SPY49_RS05210",39,7,8,3,4,1,0,1,1
"SPY49_RS05215",37,5,5,0,0,0,2,1,2
"SPY49_RS05220",17,7,5,0,5,0,0,0,0
