"gene_id","Spn.wt..1.","Spn.wt..2.","Spn.wt..3.","Spn.delta.lctO.delta.spxB..1.","Spn.delta.lctO.delta.spxB..2.","Spn.delta.lctO.delta.spxB..3.","Spn.delta.lctO..1.","Spn.delta.lctO..2.","Spn.delta.spxB..1.","Spn.delta.spxB..2."
"NAT60_RS06875",4222,4781,4169,5675,4634,4683,4412,5303,12280,8036
"NAT60_RS06885",2615,2126,2169,3753,3588,4247,6660,6822,8550,5433
"NAT60_RS06900",378,201,218,207,187,200,157,199,377,251
"NAT60_RS06905",4122,2989,2710,3478,2960,3169,3588,3847,5788,3771
"NAT60_RS06910",45988,20256,12506,11415,9577,10897,11651,13134,25983,18860
"NAT60_RS06930",5761,4376,3819,4361,4151,3781,3846,4411,10355,6986
"NAT60_RS06935",114,248,294,184,215,156,296,322,443,351
"NAT60_RS06945",764,545,556,576,513,530,608,698,1054,871
"NAT60_RS06955",6406,4794,5171,2834,3222,2786,4376,4585,2324,1403
"NAT60_RS06960",6,7,12,1,7,6,24,34,16,12
"NAT60_RS06980",1086,541,429,579,518,490,485,553,1664,1107
"NAT60_RS06990",430,244,277,215,171,198,253,275,482,388
"NAT60_RS06995",227,106,96,80,53,57,85,57,226,198
"NAT60_RS07000",59,20,19,17,19,9,20,28,75,61
"NAT60_RS07005",96,30,25,22,22,21,29,34,63,53
"NAT60_RS07025",422,402,555,326,365,346,588,565,681,479
"NAT60_RS07030",68,81,115,92,79,99,127,142,130,73
"NAT60_RS07040",2934,1742,1652,1405,1529,1446,1743,1844,1698,1160
"NAT60_RS07045",5450,4622,3585,3162,3271,2986,3268,3521,4079,2950
"NAT60_RS07050",2714,2031,1804,2383,2663,2390,3800,3857,3301,2158
"NAT60_RS07060",17551,10252,9377,11191,9753,9995,14377,15485,26374,17994
"NAT60_RS07070",21,9,9,20,13,9,14,20,35,41
"NAT60_RS07075",12,13,13,11,9,15,12,9,34,32
"NAT60_RS07080",75,53,71,81,79,56,75,77,213,169
"NAT60_RS07085",128,107,91,118,113,127,126,126,278,231
"NAT60_RS07090",119,99,111,150,161,128,145,159,442,328
"NAT60_RS07095",14,11,16,22,16,14,26,28,37,49
"NAT60_RS07100",130,82,113,105,130,109,121,127,408,304
"NAT60_RS07105",59,47,50,50,40,53,63,72,194,132
"NAT60_RS07115",6998,2556,6394,2064,2765,2215,8229,7324,15864,11894
"NAT60_RS07120",8855,2890,6810,2174,2514,2163,7235,6659,20296,15276
"NAT60_RS07125",4259,1545,4636,1387,1738,1434,4115,3955,16072,11270
"NAT60_RS07135",14522,7488,11167,4774,5323,4825,6014,6356,24782,16910
"NAT60_RS07150",16,9,14,17,13,20,33,38,19,16
"NAT60_RS07155",53,41,38,20,34,19,31,36,59,32
"NAT60_RS07160",108,73,77,56,57,48,92,79,147,92
"NAT60_RS07165",1848,776,629,572,552,570,823,932,681,496
"NAT60_RS07170",4193,1573,1071,1253,1025,1175,1489,1514,2443,1875
"NAT60_RS07175",499,272,226,190,172,194,190,259,442,341
"NAT60_RS07180",447,205,130,181,131,157,148,161,413,290
"NAT60_RS07185",694,508,458,461,449,437,629,630,780,558
"NAT60_RS07190",1856,1129,1057,1055,919,870,1170,1280,1628,1195
"NAT60_RS07195",3813,2396,2287,1991,1682,1912,2031,2312,3641,2418
"NAT60_RS07200",4136,2908,2520,2540,2001,2435,2171,2519,4283,3096
"NAT60_RS07205",26,28,30,20,22,20,32,44,57,40
