"gene_id","Untreated_Rep1","Nov_Rep1","Zn_Rep1","Zn_Nov_Rep1","Untreated_Rep2","Nov_Rep2","Zn_Rep2","Zn_Nov_Rep2"
"spr1171",88578,63549,92455,64897,91843,70149,77587,60207
"spr1172",1582,957,2061,1162,1881,1082,1859,1014
"spr1173",3216,1838,3764,2075,3600,1808,3477,2049
"spr1174",1109,589,1191,569,1090,517,1063,548
"spr1175",5144,3050,5456,3592,5137,3327,4966,3426
"spr1176",5166,2247,5484,2665,5298,2452,5127,2449
"spr1177",75205,49695,75062,50804,63303,50930,60256,48348
"spr1178",150,85,181,94,158,85,166,76
"spr1179",505,192,599,247,483,231,517,254
"spr1180",208,105,215,135,248,110,209,126
"spr1181",64639,34324,75721,42178,76701,41536,68458,39067
"spr1182",614,325,723,460,959,339,740,358
"spr1183",4736,2509,5045,2662,5955,2475,4657,2044
"spr1184",141,57,171,92,153,57,135,61
"spr1185",17,15,26,27,29,20,20,14
"spr1186",273,183,270,191,260,152,214,174
"spr1187",19,20,19,24,27,19,13,8
"spr1188",30,31,47,34,46,35,42,17
"spr1189",355,174,378,263,444,254,381,202
"spr1190",1766,927,1841,1121,2128,1194,1800,916
"spr1191",2063,1097,2055,1181,2351,1274,1962,976
"spr1192",719,430,796,457,828,444,693,332
"spr1193",708,378,748,408,913,435,658,310
"spr1194",2571,1232,2370,1361,3154,1339,2022,1024
"spr1195",1444,722,1377,854,1781,697,1132,538
"spr1196",2150,1457,1480,1454,2176,1317,1178,995
"spr1197",841,363,661,421,896,347,494,274
"spr1198",1,0,6,0,1,2,9,0
"spr1199",21,10,23,16,23,28,16,6
"spr1200",208,153,186,193,198,182,179,163
"spr1201",2117,2033,2711,2262,2169,2155,2573,1832
"spr1202",2701,2058,2886,2025,1946,1951,2487,1943
"spr1203",2043,1732,2519,2156,2137,1986,2199,1654
"spr1204",2344,1643,2859,2164,2297,2018,2630,2064
"spr1205",4537,2865,5600,4319,4669,3296,5202,4111
"spr1206",118,42,104,56,164,76,64,45
"spr1207",116,48,101,43,163,62,52,45
"spr1208",96,20,55,23,120,46,35,27
"spr1209",35,5,24,9,25,10,6,8
"spr1210",54,12,28,8,49,13,16,6
"spr1211",57517,31172,58668,34863,67570,39276,47980,32337
"spr1212",62480,35092,66600,36964,73228,42097,53698,35325
"spr1213",5,0,3,0,1,2,5,1
"spr1214",11640,5082,15003,5825,12184,4993,15198,4885
"spr1215",11205,7547,11311,6587,11916,7225,9330,4928
"spr1216",6492,4542,7005,4336,6710,4474,5770,3134
"spr1217",19580,10354,21817,11615,20071,10967,21141,8910
"spr1218",11652,6331,14014,6783,12278,6734,12796,5250
"spr1219",14602,7706,17025,8169,14877,7853,15726,6737
"spr1220",8121,6544,8605,7146,9342,7025,6961,5818
"spr1221",12488,11656,12768,13543,14322,13154,10891,10272
"spr1222",11965,11983,13514,12904,14464,12819,10929,9261
"spr1223",7119,6853,7789,7232,8118,7324,6152,5407
"spr1224",5935,5672,6649,5881,7265,5862,5269,4572
"spr1225",5522,5050,6420,5295,6530,5459,5437,3963
"spr1226",15970,17789,17195,18294,15434,17873,14248,15482
"spr1227",8910,9705,9488,9871,8995,9828,7939,8378
"spr1228",4455,5047,5006,5616,5169,5309,4409,4568
"spr1229",14425,17103,15752,16914,14509,16166,13580,14656
"spr1230",3338,4922,3702,5303,3590,5079,3277,4621
"spr1231",13372,19814,14725,20623,13499,19870,13062,17786
"spr1232",16028,21212,17115,22987,15627,21801,15512,20698
"spr1233",9361,12376,10470,13579,9314,13308,9330,11636
"spr1234",10404,11559,10546,13048,11200,12984,9756,11327
"spr1235",8309,8661,8467,8920,8686,9372,7578,8020
"spr1236",10630,11603,11245,12897,12839,14066,10716,10964
"spr1237",156,230,215,211,160,128,154,182
"spr1238",99,128,130,135,100,105,84,102
"spr1239",2191,836,2797,835,2277,723,1681,602
"spr1240",35276,59982,47257,58148,37481,50632,47841,47735
"spr1241",3109,5202,4373,4799,3632,4298,4591,3783
"spr1242",2301,2146,2379,2491,2597,2266,1784,1718
"spr1243",14978,14255,14980,14793,14918,13977,12001,11689
"spr1244",6281,6337,6896,7030,6877,6489,5562,5432
"spr1245",7991,7474,7784,7968,7989,7496,6501,6042
"spr1246",13117,11160,12478,11909,12988,12137,10469,9725
"spr1247",6191,5206,5992,5403,6040,5595,4970,4452
"spr1248",5360,4404,6341,5243,5826,4524,5204,4156
"spr1249",4267,3195,4621,3452,4119,2926,3828,2904
"spr1250",1866,773,2258,1061,2095,736,2428,1015
"spr1251",5348,3288,6140,3558,5462,2922,5427,2928
"spr1252",25604,21951,29414,26438,27049,23310,26767,23179
"spr1253",29799,24046,32468,28254,30464,25319,30594,25145
"spr1254",32253,26749,36884,30849,35183,27686,33350,26374
"spr1255",31435,23525,34108,26475,30271,23286,30488,23629
"spr1256",28800,21983,33917,25960,31045,22487,30718,21968
"spr1257",23706,17109,27656,20546,24620,17456,25499,17086
"spr1258",1621,1818,1743,2248,1706,2152,1528,2149
"spr1259",2863,3109,2786,3424,2679,3562,2532,3432
"spr1260",1979,2221,2123,2632,2042,2412,2028,2702
"spr1261",339,329,388,496,363,434,394,470
"spr1262",3009,3853,3944,5192,4243,4891,3567,4091
"spr1263",7263,10708,8212,13045,8655,11410,7539,10413
"spr1264",10540,13187,10405,14167,9361,12056,9040,12760
"spr1265",6592,8544,7011,9616,6633,8560,5817,7953
"spr1266",13618,16481,13198,18044,13123,16904,11834,16014
"spr1267",7082,9398,7146,11820,7618,10862,6465,10906
"spr1268",3602,5317,3790,6137,3565,5287,3496,5463
"spr1269",8253,11625,8527,12809,8600,11786,7557,11622
"spr1270",13921,17656,13591,18732,13597,18364,11917,17183
