"gene_id","D39WT_Untreated","D39_WT_100Zn","DczcD_100Zn"
"SPD_0559",89,166,85
"SPD_0560",79,170,75
"SPD_0561",349,797,427
"SPD_0562",2734,5434,3341
"SPD_0563",127,123,150
"SPD_0564",889,720,781
"SPD_0565",596,523,663
"SPD_0566",657,559,971
"SPD_0567",696,692,1329
"SPD_0568",345,303,638
"SPD_0569",2761,2746,5688
"SPD_0570",1193,1246,2534
"SPD_0571",83,97,163
"SPD_0572",98,104,141
"SPD_0573",219,191,246
"SPD_0574",1310,1124,1126
"SPD_0575",2623,2136,2606
"SPD_0576",4437,4107,6297
"SPD_0577",89787,88925,127340
"SPD_0578",3348,3289,4001
"SPD_0579",1900,2019,2616
"SPD_0580",4222,4649,4326
"SPD_0581",3941,3273,3090
"SPD_0582",3990,2873,2121
"SPD_0583",3036,2855,4038
"SPD_0584",5140,4749,8084
"SPD_0585",2758,2579,3859
"SPD_0586",4653,4352,6731
"SPD_0587",5167,4864,7684
"SPD_0588",1990,1784,2273
"SPD_0589",1554,1192,1283
"SPD_0590",3143,2536,3011
"SPD_0591",942,820,1297
"SPD_0592",294,264,469
"SPD_0593",51411,38968,40599
"SPD_0594",9709,7215,8306
"SPD_0595",62,46,48
"SPD_0596",224,249,336
"SPD_0597",85,91,104
"SPD_0598",7617,6878,6510
"SPD_0599",4467,3918,4275
"SPD_0600",5088,4644,4992
"SPD_0601",638,572,712
"SPD_0602",705,690,739
"SPD_0603",614,586,678
"SPD_0604",621,694,937
"SPD_0605",876,885,1200
"SPD_0606",499,527,861
"SPD_0607",335,404,706
"SPD_0608",1952,1118,994
"SPD_0609",1829,959,803
"SPD_0610",435,331,260
"SPD_0611",378,254,161
"SPD_0612",193,117,153
"SPD_0613",306,244,247
"SPD_0614",314,261,248
"SPD_0615",251,219,299
"SPD_0616",187,185,247
"SPD_0617",79,101,145
"SPD_0618",76,82,127
"SPD_0619",51,65,56
"SPD_0620",29500,23473,20623
"SPD_0621",9643,8878,8443
"SPD_0622",815,694,518
"SPD_0623",865,679,615
"SPD_0624",558,470,393
"SPD_0625",68,73,135
"SPD_0626",212,232,415
"SPD_0627",60,85,150
"SPD_0628",57,80,140
"SPD_0629",91,88,151
"SPD_0630",92,125,181
"SPD_0631",119,121,201
"SPD_0632",1574,1492,1599
"SPD_0633",78,75,48
"SPD_0634",107,110,82
"SPD_0635",625,588,529
"SPD_0636",218114,202625,135668
"SPD_0637",2736,2379,1417
"SPD_0638",58,51,29
"SPD_0639",20,20,13
"SPD_0640",0,7,6
"SPD_0641",1789,1776,2210
"SPD_0642",329,318,610
"SPD_0643",504,474,777
"SPD_0644",1255,1179,1762
"SPD_0645",2533,2138,3143
"SPD_0646",12670,6366,8780
"SPD_0647",672,611,709
"SPD_0648",647,625,631
"SPD_0649",14828,11547,7659
"SPD_0650",13101,10123,10008
"SPD_0651",1261,1091,941
"SPD_0652",4872,4831,4974
"SPD_0653",1373,1391,2122
"SPD_0654",1574,1705,2572
"SPD_0655",1668,1741,2362
"SPD_0656",1806,1804,2398
"SPD_0657",228,225,207
"SPD_0658",7982,6534,5605
"SPD_0659",7120,5552,5597
"SPD_0660",11858,9517,9070
"SPD_0661",11775,15670,8026
"SPD_0662",681,719,448
"SPD_0663",8205,6678,7090
"SPD_0664",11653,9520,8227
"SPD_0665",12820,10609,10881
"SPD_0666",11740,9777,12351
"SPD_0667",26312,19056,8931
"SPD_0668",2106,1946,2852
"SPD_0669",6181,5909,8342
"SPD_0670",1440,1326,2426
"SPD_0671",6611,6111,10858
"SPD_0672",8851,6932,6075
"SPD_0673",44,48,95
"SPD_0674",21870,15973,9768
"SPD_0675",18676,13718,8069
"SPD_0676",2724,2277,1930
"SPD_0677",2758,2206,2537
"SPD_0678",3407,2883,3020
"SPD_0679",5043,4409,4586
"SPD_0680",2873,2537,2720
"SPD_0681",1178,1107,1197
"SPD_0683",773,685,982
"SPD_0682",395,317,424
"SPD_0684",2121,1102,1001
"SPD_0685",6758,5741,10682
"SPD_0686",2949,2596,2006
"SPD_0687",2293,2132,1790
"SPD_0688",5247,4755,4152
"SPD_0689",17892,14717,14628
"SPD_0690",11,9,7
"SPD_0691",170,133,156
"SPD_0692",782,637,696
"SPD_0693",1400,1157,837
"SPD_0694",338,313,219
"SPD_0695",1128,1145,938
"SPD_0696",933,897,834
"SPD_0697",974,956,1120
"SPD_0698",1412,1449,1459
"SPD_0699",839,898,911
"SPD_0700",40027,39733,26441
"SPD_0701",5121,3050,4470
"SPD_0702",8939,5741,9362
"SPD_0703",2506,2322,4518
"SPD_0704",5178,4853,6046
"SPD_0705",6973,6822,10318
"SPD_0706",3924,3545,5794
"SPD_0707",2284,1950,3179
"SPD_0708",2262,1742,1967
"SPD_0709",11819,10020,10316
"SPD_0710",22963,19780,20504
"SPD_0711",159,132,224
"SPD_0712",335,330,399
"SPD_0713",1998,1680,2650
"SPD_0714",3577,2608,3276
"SPD_0715",58,71,110
"SPD_0716",541,483,627
"SPD_0717",12361,10446,16699
"SPD_0718",4677,3675,1660
"SPD_0719",2761,2844,2371
"SPD_0720",3486,3585,3189
"SPD_0721",5045,5334,4980
"SPD_0722",1448,1340,1627
"SPD_0723",2270,2040,2144
"SPD_0724",8031,7823,7560
"SPD_0725",3945,3510,4071
"SPD_0726",4557,4441,4690
"SPD_0727",4540,4649,5263
"SPD_0728",2140,2090,2445
"SPD_0729",3697,3822,4555
"SPD_0730",3529,3307,4167
"SPD_0731",1322,1060,923
"SPD_0732",12669,9798,4209
"SPD_0733",1397,1249,1103
"SPD_0734",39,34,30
"SPD_0735",1189,1094,1011
"SPD_0736",3629,3222,3178
"SPD_0737",5445,5005,5331
