gene_id,WT1,WT2,A1,A2
PA14_RS02675,1,0,0,0
PA14_RS02680,0,0,1,2
PA14_RS02685,1,0,0,1
PA14_RS02690,0,0,3,1
PA14_RS02695,2,3,14,10
PA14_RS02705,0,1,1,1
PA14_RS02710,0,0,16,15
PA14_RS02715,65,65,38,37
PA14_RS02720,54,47,36,19
PA14_RS02725,14,12,3,1
PA14_RS02730,933,653,470,440
PA14_RS02735,1153,904,338,319
PA14_RS02740,94,68,32,29
PA14_RS02745,2,1,0,2
PA14_RS02750,8,10,30,20
PA14_RS02755,2,3,13,14
PA14_RS02760,69,58,271,423
PA14_RS02765,14,7,19,30
PA14_RS02770,14,9,13,29
PA14_RS02775,5,12,19,31
PA14_RS02785,14,10,57,62
PA14_RS02790,8,5,73,74
PA14_RS02795,5,3,37,72
PA14_RS02800,4,3,42,46
PA14_RS02805,0,2,8,3
PA14_RS02810,0,2,5,2
PA14_RS02815,3,4,25,9
PA14_RS02820,3,5,12,17
PA14_RS02825,25,16,68,61
PA14_RS02830,4,3,19,18
PA14_RS02835,15,2,20,31
PA14_RS02840,4,6,10,13
PA14_RS02845,72,41,278,270
PA14_RS02850,15,10,101,97
PA14_RS02855,3,1,10,8
PA14_RS02860,160,134,671,631
PA14_RS02865,62,47,261,204
PA14_RS02870,17,10,82,69
PA14_RS02875,36,20,123,99
PA14_RS02880,318,183,790,789
PA14_RS02885,15,9,52,47
PA14_RS02890,64,40,222,202
PA14_RS02895,266,205,1623,1625
PA14_RS02900,8,7,75,50
PA14_RS02910,13,6,23,24
PA14_RS02915,14,12,45,35
PA14_RS02920,48,28,147,154
PA14_RS02925,66,68,296,381
PA14_RS02930,5,3,6,9
PA14_RS02935,1,1,6,14
PA14_RS02940,0,1,7,1
PA14_RS02945,8,10,2,7
PA14_RS02950,3,4,4,0
PA14_RS02955,6,3,51,44
PA14_RS02960,2,0,14,8
PA14_RS02965,0,0,1,2
PA14_RS02970,0,0,1,0
PA14_RS02980,10,4,29,18
PA14_RS02985,4,8,12,26
PA14_RS02990,3,3,17,24
PA14_RS02995,7,4,5,14
PA14_RS03000,11,14,38,28
PA14_RS03005,22,4,71,81
PA14_RS03010,5,2,30,21
PA14_RS03015,22,9,70,79
PA14_RS03020,1,1,19,15
PA14_RS03025,7,2,8,17
PA14_RS03030,5,4,130,125
PA14_RS03035,11,9,88,89
PA14_RS03040,18,3,151,179
PA14_RS03045,9,6,112,113
PA14_RS03050,1,0,78,57
PA14_RS03055,0,0,1,2
PA14_RS03060,20,9,51,50
PA14_RS03065,26,12,36,84
PA14_RS03070,14,16,64,68
PA14_RS03075,2,3,14,8
PA14_RS03080,0,1,3,0
PA14_RS03085,8,0,12,13
PA14_RS03090,0,0,30,27
PA14_RS03095,3,1,13,8
PA14_RS03100,3,7,26,21
PA14_RS03105,41,47,387,397
PA14_RS03110,69,61,141,151
PA14_RS03115,53,33,90,110
PA14_RS03120,21,16,46,61
PA14_RS03125,19,13,42,66
PA14_RS03130,64,45,133,152
PA14_RS03135,16,16,90,89
PA14_RS03140,20,23,64,85
PA14_RS03145,16,8,158,152
PA14_RS03150,43,27,209,194
PA14_RS03155,8,9,28,37
PA14_RS03160,2,2,8,17
PA14_RS03165,68,28,330,316
PA14_RS03170,17,18,195,205
PA14_RS03175,153,81,1014,1097
PA14_RS03180,2,0,2,3
PA14_RS03185,0,0,5,6
PA14_RS03190,1,0,12,6
PA14_RS03195,12,8,39,41
PA14_RS03200,8,6,9,6
PA14_RS03205,11,5,12,20
PA14_RS03210,9,16,9,18
PA14_RS03215,11,13,12,7
PA14_RS03220,23,12,11,17
PA14_RS03225,91,48,38,42
PA14_RS03230,185,106,191,186
PA14_RS03235,76,58,144,184
PA14_RS03240,127,76,74,71
PA14_RS03245,36,22,27,25
PA14_RS03250,51,20,15,10
PA14_RS03255,72,55,65,62
PA14_RS03260,38,16,20,19
PA14_RS03265,2,7,5,10
PA14_RS03270,58,41,38,37
PA14_RS03275,15,9,5,17
PA14_RS03280,1,2,0,0
PA14_RS03290,45,25,16,14
PA14_RS03295,38,27,19,34
PA14_RS03300,6,7,5,7
PA14_RS03305,162,106,86,105
PA14_RS03310,7,7,7,5
PA14_RS03315,19,8,6,7
PA14_RS03320,20,7,9,8
PA14_RS03325,32,19,24,23
PA14_RS03330,105,77,59,68
PA14_RS03335,148,104,378,445
PA14_RS03340,36,32,124,124
PA14_RS03345,52,35,137,129
