gene_id,PA_DP08,PA_DP09,PA_DP12,PA_RP01,PA_RP04,PA_RP06,PAEF_DP44,PAEF_DP45,PAEF_DP47,PAEF_RP37,PAEF_RP39,PAEF_RP41,PALDH_DP55,PALDH_DP58,PALDH_DP60,PALDH_RP49,PALDH_RP52,PALDH_RP53
PA0375,6,8,10,2,10,6,0,0,0,4,9,5,10,5,7,4,12,5
PA0376,49,92,75,59,73,71,0,0,0,65,86,55,91,55,39,86,60,40
PA0377,1,3,1,0,5,0,0,0,0,0,1,2,0,0,0,2,0,2
PA0378,0,2,0,0,0,1,0,0,0,0,1,2,1,0,1,4,3,1
PA0379,0,3,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,0
PA0380,1,2,1,0,1,0,0,0,0,0,3,0,1,0,0,2,1,0
PA0381,10,14,2,10,4,8,0,0,0,4,6,2,4,4,4,8,6,4
PA0382,5,3,5,3,4,9,0,0,0,4,2,3,2,5,1,10,4,2
PA0383,1,1,2,3,3,3,0,0,0,0,3,0,1,0,2,6,0,1
PA0384,2,2,0,1,1,0,0,0,0,2,0,2,2,0,0,3,2,1
PA0385,1,2,3,0,2,0,0,0,1,0,1,1,1,0,0,2,1,2
PA0386,1,2,1,2,4,2,0,0,0,0,1,2,1,1,1,4,4,0
PA0387,8,4,6,9,7,3,0,0,0,2,7,3,2,2,3,9,3,2
PA0388,27,28,19,23,25,24,0,0,1,19,22,11,21,10,7,18,12,15
PA0389,6,6,3,4,6,3,0,0,0,4,9,1,4,5,1,6,3,3
PA0390,4,9,7,6,6,6,0,0,0,6,7,2,1,5,4,2,3,3
PA0391,4,5,8,11,16,17,0,0,0,13,19,6,5,3,3,22,5,11
PA0392,2,4,4,2,5,1,0,0,0,5,3,1,5,0,2,2,4,1
PA0393,3,2,0,0,1,1,0,0,0,3,4,0,1,2,0,13,2,1
PA0394,6,5,10,6,5,4,0,0,0,9,7,3,6,2,2,12,4,2
PA0395,23,18,24,19,22,31,0,0,0,11,19,8,7,10,6,15,11,12
PA0396,14,8,11,20,23,33,0,0,0,20,17,15,7,1,2,23,9,11
PA0397,2,3,5,4,1,2,0,0,0,5,1,0,3,1,1,5,0,4
PA0398,3,3,6,1,5,2,0,0,0,1,2,5,3,1,1,3,0,2
PA0399,10,16,13,9,16,16,0,0,0,14,7,5,11,10,8,9,7,11
PA0400,13,18,19,18,17,21,0,0,0,13,10,11,12,10,9,12,7,4
PA0401,8,6,8,4,5,3,0,0,0,5,7,6,5,5,1,11,4,5
PA0402,8,5,4,8,16,4,0,0,0,10,8,7,6,2,6,0,2,2
PA0403,3,2,2,0,3,5,0,0,0,0,2,1,1,0,0,3,4,1
PA0404,2,0,4,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0
PA0405,5,4,2,1,4,3,0,0,0,2,5,5,2,0,1,1,4,0
PA0406,2,7,5,8,4,3,0,0,0,4,4,6,4,3,6,5,2,4
PA0407,24,11,16,18,22,30,0,0,0,40,23,18,12,10,13,24,20,19
PA0408,28,20,12,30,12,28,0,0,0,15,18,10,13,8,9,24,17,14
PA0409,16,16,19,17,14,17,0,0,0,11,21,10,9,5,5,10,9,8
PA0410,5,5,2,7,8,4,0,0,0,4,3,4,5,6,2,3,2,2
PA0411,33,28,32,32,45,59,0,0,0,26,31,20,18,18,22,24,21,22
PA0412,7,5,9,5,8,5,0,0,0,8,4,5,4,3,0,6,7,11
PA0413,24,41,37,32,44,49,0,0,0,48,50,27,25,25,14,63,35,42
PA0414,5,7,4,3,3,3,0,0,0,1,5,8,4,1,0,4,3,2
PA0415,2,1,1,0,2,2,0,0,0,0,0,1,0,3,0,3,1,0
PA0416,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,6,2,2
PA0417,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1
PA0418,0,3,0,1,0,1,0,0,0,0,0,3,1,1,1,10,4,0
PA0419,2,1,4,0,0,0,0,0,0,1,1,0,4,2,0,3,0,1
PA0420,8,4,6,8,2,3,0,0,0,0,4,4,4,4,0,5,2,1
PA0421,16,9,9,4,4,8,0,0,0,5,9,6,10,2,1,11,4,5
PA0422,9,12,9,8,5,6,0,0,0,5,11,3,7,5,0,4,3,3
PA0423,101,110,97,44,46,69,0,0,0,44,43,30,78,54,29,35,29,41
PA0424,12,19,14,16,23,13,0,0,0,16,23,12,15,13,8,25,15,8
PA0425,49,59,49,33,41,49,0,0,0,23,41,16,23,25,34,22,22,25
PA0426,133,131,128,73,102,134,1,0,0,60,84,60,91,72,82,65,61,61
PA0427,92,91,72,38,70,82,0,1,1,50,60,40,60,48,40,50,38,46
PA0428,21,19,20,16,22,24,0,0,0,14,19,17,19,17,11,19,17,8
PA0429,24,21,22,17,16,15,0,0,0,12,11,7,4,7,8,8,10,8
PA0430,7,9,6,9,10,5,0,0,0,5,6,1,5,6,5,10,4,4
PA0431,8,6,8,8,7,11,0,0,0,5,11,1,2,9,5,1,4,4
PA0432,54,82,58,37,46,56,0,0,2,32,31,17,47,27,25,34,24,28
PA0433,9,5,1,4,1,3,0,0,0,1,4,2,4,1,2,5,2,5
PA0434,4,6,5,3,6,5,0,0,0,1,3,4,5,3,3,8,1,2
PA0435,2,0,0,0,0,1,0,0,0,0,0,4,2,2,0,7,0,1
PA0436,6,9,4,8,13,18,0,0,0,9,18,11,4,2,8,8,6,13
PA0437,4,2,2,3,3,1,0,0,0,2,2,1,1,2,2,1,0,4
PA0438,3,1,1,0,1,0,0,0,0,1,0,0,2,0,0,5,0,0
PA0439,2,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,1,0
PA0440,0,1,0,3,1,2,0,0,0,0,2,2,2,0,0,11,1,0
PA0441,1,0,0,0,0,1,0,0,0,5,3,1,1,0,0,2,0,0
PA0442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0443,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,4,0,0
PA0444,1,0,0,1,1,2,0,0,0,2,3,1,1,1,2,3,2,0
PA0445,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PA0446,9,9,16,22,22,20,0,0,0,10,26,21,11,13,7,18,23,7
PA0447,72,104,157,127,152,196,0,0,1,101,137,116,50,92,38,113,134,45
PA0448,3,4,2,0,2,1,0,0,0,2,0,0,2,1,2,8,1,0
PA0449,18,19,15,10,18,15,0,0,0,12,11,4,14,7,4,13,10,7
PA0450,1,2,0,0,2,1,0,0,0,2,0,0,0,1,1,3,0,0
PA0451,9,8,4,16,12,11,0,0,0,27,15,18,7,10,7,29,13,15
PA0451a,3,2,1,3,2,2,0,0,0,2,4,0,1,1,0,3,5,5
PA0452,8,9,5,8,11,9,0,0,0,6,14,8,3,5,1,12,6,3
PA0454,1,2,2,4,2,6,0,0,0,3,5,2,2,0,1,7,3,4
PA0455,1,2,0,3,1,1,0,0,0,0,4,1,3,2,0,4,4,1
PA0456,143,166,267,99,197,201,0,0,0,95,156,124,94,127,85,94,130,106
PA0457,1,2,4,0,1,1,0,0,0,2,1,2,2,2,0,1,1,0
PA0457.1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
