"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA14_42740",28,196,287,547,1679,371,295,953,333,599,978,702,1085,950,712,1288,958,1034
"PA14_42750",2,26,79,79,282,79,79,150,77,87,223,142,373,243,289,438,284,351
"PA14_42760",14,119,172,316,925,185,139,452,176,305,503,285,1585,1047,998,2267,1021,1394
"PA14_42770",9,34,64,89,234,87,77,124,56,46,109,116,277,184,205,272,202,222
"PA14_42780",17,78,218,586,1002,398,69,295,124,67,146,110,1280,864,861,1110,769,820
"PA14_42790",7,84,120,226,589,163,128,315,100,201,403,254,577,430,446,666,499,604
"PA14_42820",28,87,147,168,714,132,97,380,138,176,318,308,1132,1004,958,977,1016,749
"PA14_42830",14,38,58,134,365,86,81,273,73,105,156,161,281,348,248,347,299,282
"PA14_42840",1,15,47,54,164,43,49,111,73,57,121,82,236,112,163,408,234,249
"PA14_42850",14,120,204,192,518,150,138,366,190,198,408,232,581,409,328,1372,539,670
"PA14_42860",70,625,1232,967,4517,1422,672,2486,1206,1091,2646,2264,2126,2159,2419,2075,2783,1577
"PA14_42870",44,194,358,436,1499,459,298,943,565,416,878,783,985,651,754,839,924,779
"PA14_42880",3,21,44,83,107,88,37,74,41,59,72,88,176,112,166,148,136,151
"PA14_42890",4,32,80,151,278,117,78,133,87,98,178,165,236,182,208,229,186,171
"PA14_42900",20,60,120,186,418,93,55,211,157,146,245,209,626,311,478,579,401,433
"PA14_42910",12,38,78,93,247,82,79,134,51,95,136,117,235,129,190,242,174,182
"PA14_42920",26,42,103,133,379,125,96,204,116,129,214,173,484,283,345,518,377,369
"PA14_42940",10,15,33,71,225,62,52,117,53,65,89,75,232,123,130,231,156,143
"PA14_42950",10,20,41,71,208,60,80,81,37,54,84,105,373,153,232,364,234,225
"PA14_42960",6,0,0,6,28,2,8,10,10,4,13,8,67,15,37,42,28,27
"PA14_42970",17,45,127,140,304,118,109,192,85,134,216,177,434,287,280,403,260,311
"PA14_42980",26,108,167,275,815,172,159,437,208,247,385,357,973,577,734,872,693,682
"PA14_42990",13,53,125,207,389,106,116,225,125,120,248,205,370,247,244,329,256,264
"PA14_43000",10,86,219,329,632,203,193,465,261,284,382,337,849,498,581,795,532,550
"PA14_43020",4,80,91,165,416,127,147,298,173,121,262,189,507,273,307,490,301,304
"PA14_43030",6,218,238,395,1577,346,305,875,416,381,683,515,1876,1048,1194,1877,1156,1295
"PA14_43040",17,64,99,163,820,122,173,383,169,198,300,255,638,406,472,643,547,413
"PA14_43050",217,1043,2642,2740,6123,3090,1665,4490,3319,1952,3555,4064,3879,2932,2967,2743,2572,2100
"PA14_43070",2,40,35,45,152,37,15,100,50,36,104,70,226,122,131,236,148,120
"PA14_43080",0,6,9,19,48,17,7,29,9,12,20,31,42,31,40,54,45,35
"PA14_43090",0,0,18,10,14,7,4,12,2,2,17,7,30,15,17,17,15,25
"PA14_43100",13,100,200,174,725,162,84,485,203,228,439,289,714,453,523,632,682,394
"PA14_43110",14,55,68,137,396,72,75,231,100,153,275,204,471,289,272,376,319,306
"PA14_43130",25,61,78,128,436,90,78,220,110,190,230,188,782,465,474,757,597,548
"PA14_43140",1,1,24,7,37,2,4,31,12,10,11,18,62,29,39,51,57,46
"PA14_43150",0,34,74,114,216,48,69,145,52,83,123,76,195,145,170,236,185,197
"PA14_43160",16,37,97,87,177,87,24,116,53,73,118,122,257,212,287,269,277,250
"PA14_43170",15,91,174,133,555,164,133,398,176,210,332,311,564,484,483,548,524,509
"PA14_43180",3,44,26,67,215,75,34,117,31,60,115,81,162,99,120,211,179,194
"PA14_43190",24,65,143,209,485,101,101,236,95,281,356,221,443,316,251,616,411,412
"PA14_43200",4,26,76,106,142,60,54,99,69,110,115,128,275,177,197,273,224,200
"PA14_43220",34,133,370,629,1280,415,424,780,357,454,817,607,1049,707,640,903,807,661
"PA14_43230",4,20,43,35,131,34,43,50,40,30,71,66,184,167,165,276,201,198
"PA14_43240",10,21,62,49,200,44,25,106,61,39,137,88,275,205,182,358,242,294
"PA14_43250",8,44,95,153,414,90,90,197,97,112,240,136,1042,565,722,1199,970,975
"PA14_43270",58,211,515,625,1977,536,411,965,491,761,1163,915,2552,1337,1621,1964,1799,1684
"PA14_43280",41,211,369,497,1638,372,278,842,369,558,879,562,2164,1317,1577,2746,1916,1882
"PA14_43290",8,38,54,114,422,81,62,221,74,144,278,130,544,420,414,785,609,596
"PA14_43300",27,108,325,526,942,279,362,552,312,534,724,517,896,541,411,981,572,757
"PA14_43310",0,5,0,6,58,9,3,13,8,8,18,8,41,32,41,57,38,33
"PA14_43320",0,11,39,20,89,23,12,39,34,25,58,50,129,65,125,218,112,186
"PA14_43340",2,56,93,148,386,88,57,209,84,132,246,175,398,229,338,413,307,320
"PA14_43350",18,180,443,475,1143,420,192,662,286,469,930,641,986,945,834,880,953,914
"PA14_43370",0,0,5,3,14,1,0,7,1,1,7,2,18,11,17,24,18,7
"PA14_43380",2,7,17,6,44,14,8,23,15,8,35,26,31,28,35,27,40,30
"PA14_43400",1,3,3,9,18,3,0,9,9,7,5,21,17,13,22,26,15,17
"PA14_43405",0,0,0,0,7,0,0,1,0,0,0,4,3,3,3,2,0,1
"PA14_43420",15,51,76,71,257,67,80,171,46,118,195,119,460,263,354,462,329,349
"PA14_43430",9,38,91,77,246,70,71,172,53,114,222,165,235,177,131,184,195,168
"PA14_43440",3,6,29,13,40,3,18,46,12,21,29,36,68,46,44,57,66,53
"PA14_43460",5,14,24,63,135,22,34,73,19,36,89,103,147,109,112,149,101,114
"PA14_43480",1,5,23,8,51,12,13,28,19,20,60,38,111,49,64,110,80,82
"PA14_43490",6,11,14,16,65,14,25,51,15,19,73,34,118,133,89,151,100,81
"PA14_43510",16,95,212,441,855,289,132,383,175,229,358,308,698,611,518,589,563,530
"PA14_43520",16,176,359,639,1739,452,412,914,430,603,872,787,2037,1511,1559,1846,1470,1714
"PA14_43530",15,184,202,375,1544,271,193,719,337,350,568,445,1744,1292,1411,1832,1451,1318
"PA14_43540",6,34,138,141,451,128,97,294,127,149,277,235,521,311,392,476,376,410
"PA14_43550",5,70,162,155,472,115,61,269,120,112,236,181,611,379,519,534,511,463
"PA14_43570",0,5,4,7,19,2,7,18,18,3,20,13,17,31,22,8,11,30
"PA14_43580",0,24,36,62,185,41,57,113,59,32,115,80,272,229,204,171,237,178
"PA14_43600",0,19,27,44,193,48,35,142,68,63,103,80,321,177,224,298,296,242
"PA14_43610",45,214,348,568,2034,458,469,1309,558,478,933,642,1885,1560,1360,1686,2008,1485
"PA14_43620",43,115,195,249,824,155,146,417,131,278,395,347,905,753,761,876,780,722
"PA14_43630",32,163,231,454,1191,247,204,553,182,365,580,380,906,801,757,1021,783,868
"PA14_43640",26,202,309,622,2006,499,349,939,446,377,719,486,1902,1684,1541,2056,1470,1533
"PA14_43650",4,24,38,59,118,48,41,55,47,38,78,64,233,133,160,231,184,190
"PA14_43660",8,6,17,30,44,20,6,26,23,17,35,30,99,86,109,87,76,71
"PA14_43670",14,69,146,193,592,132,81,311,129,159,363,221,599,339,426,456,463,341
"PA14_43680",73,235,388,398,1962,491,264,987,612,488,948,853,2552,1439,1997,2037,1750,1496
"PA14_43690",66,450,618,950,3749,940,500,1699,825,987,1950,1569,4500,3480,4041,4752,3609,3870
"PA14_43710",2,33,102,162,278,136,9,79,29,32,46,33,405,259,296,345,258,271
"PA14_43720",20,17,70,91,181,64,45,112,46,50,92,81,330,148,212,299,262,243
"PA14_43730",3,20,21,92,240,62,55,106,28,63,77,79,173,119,88,192,141,110
"PA14_43740",15,69,71,137,382,75,67,201,60,93,156,78,460,221,251,679,376,394
"PA14_43760",15,68,169,138,433,149,55,270,134,99,270,343,538,377,556,399,476,421
"PA14_43770",1,25,54,21,125,30,21,85,40,28,71,63,253,157,205,235,220,105
"PA14_43780",4,30,34,87,166,60,24,91,28,77,104,83,256,154,199,310,262,216
"PA14_43790",31,125,204,267,765,224,144,335,141,280,540,334,879,743,695,871,801,673
"PA14_43810",0,15,27,27,63,25,6,34,19,23,97,47,180,155,130,196,159,138
"PA14_43820",12,45,131,135,288,95,71,181,88,115,193,144,356,304,267,418,327,389
"PA14_43830",0,4,13,14,81,7,27,50,8,15,36,35,61,61,56,88,81,69
"PA14_43840",4,209,116,466,1891,226,309,860,250,446,657,353,1621,1417,1202,1762,1591,1437
"PA14_43850",34,568,710,677,4560,1014,588,2494,1372,1100,2056,1535,3353,3156,2844,2515,2834,1836
