"gene_id","PAO1161.EV_1.GSM4975402.","PAO1161.EV_2.GSM4975403.","PAO1161.EV_3.GSM4975404.","PAO1161_PA3973oe_1","PAO1161_PA3973oe_2","PAO1161_PA3973oe_3","PAO1161_WT_1","PAO1161_WT_2","PAO1161_WT_3","PAO1161_dPA3973_1","PAO1161_dPA3973_2","PAO1161_dPA3973_3"
"D3C65_15570",229,177,550,218,239,200,2398,2501,2932,2671,2057,2763
"D3C65_15575",120,89,221,97,115,104,1010,1056,1101,961,872,1135
"D3C65_15580",439,383,772,365,413,341,3193,3353,3652,3301,2586,3509
"D3C65_15585",265,252,346,213,212,163,1144,1128,1532,1184,1082,1366
"D3C65_15590",205,266,262,239,216,192,702,661,745,598,537,721
"D3C65_15595",1202,1153,2749,670,813,723,6587,5981,6702,6078,3861,4430
"D3C65_15600",530,472,1469,643,732,612,6705,6643,8327,7836,5250,5461
"D3C65_15605",224,195,592,426,518,415,2882,2779,3404,3091,2118,2512
"D3C65_15610",64,39,124,159,179,137,1140,1162,1603,1370,950,966
"D3C65_15615",294,295,297,351,311,252,1095,1059,1187,942,830,1218
"D3C65_15620",11,11,22,14,21,24,80,76,91,88,59,86
"D3C65_15625",45,57,40,23,18,21,112,112,153,131,111,135
"D3C65_15630",50,52,107,72,75,43,2044,1776,2209,1987,1032,1040
"D3C65_15635",410,402,712,334,391,346,8212,6971,8167,7349,3868,4736
"D3C65_15640",49,51,193,67,74,68,2079,1461,1669,1382,721,865
"D3C65_15645",59,65,289,87,109,79,3117,2110,2365,1870,970,1368
"D3C65_15650",68,61,70,65,53,76,238,280,273,225,233,322
"D3C65_15655",342,341,411,186,195,167,829,890,1075,926,852,1058
"D3C65_15660",70,81,86,80,88,82,210,202,245,220,231,283
"D3C65_15665",107,86,126,89,59,85,281,323,481,365,358,454
"D3C65_15670",152,133,112,107,92,96,269,290,412,347,324,399
"D3C65_15675",147,121,129,168,147,129,335,337,444,357,329,412
"D3C65_15680",82,94,132,89,80,79,495,519,677,503,434,514
"D3C65_15685",158,175,213,144,167,116,748,696,877,677,665,808
"D3C65_15690",32,34,53,52,37,43,196,235,263,211,171,231
"D3C65_15695",43,55,81,52,49,50,248,261,339,255,250,307
"D3C65_15700",14,16,18,14,17,13,53,76,80,49,66,84
"D3C65_15705",48,48,65,37,39,42,142,138,172,145,153,188
"D3C65_15710",43,41,57,41,38,39,154,163,139,122,168,155
"D3C65_15715",58,63,57,51,38,38,97,91,139,78,99,136
"D3C65_15720",263,231,643,221,242,257,2635,2718,3254,2758,1865,2591
"D3C65_15725",4,3,2,0,1,2,8,9,11,8,7,9
"D3C65_15730",22,19,19,16,17,13,45,58,79,60,54,75
"D3C65_15735",10,11,2,6,6,7,11,8,13,9,13,22
"D3C65_15740",5,3,7,3,1,3,10,32,26,22,13,13
"D3C65_15745",7,1,5,6,4,3,12,16,26,17,14,20
"D3C65_15750",32,35,53,43,37,35,280,249,268,194,234,266
"D3C65_15755",5,4,4,8,8,7,41,71,56,48,38,33
"D3C65_15760",39,32,48,23,29,18,128,138,173,140,115,179
"D3C65_15765",17,25,28,15,16,11,87,88,105,77,81,92
"D3C65_15770",2,14,8,7,8,9,25,23,37,19,23,29
"D3C65_15775",226,194,207,234,174,161,736,842,987,756,695,851
"D3C65_15780",25,25,13,20,23,10,43,40,54,34,39,49
"D3C65_15785",117,129,123,245,179,179,315,276,370,248,400,599
"D3C65_15790",25,31,27,32,24,30,39,52,48,29,56,94
"D3C65_15795",330,287,273,404,334,329,874,1077,1274,1032,1006,1324
"D3C65_15800",101,96,83,82,60,59,195,201,277,210,235,290
"D3C65_15805",165,220,242,130,113,115,430,445,518,385,403,615
"D3C65_15810",82,85,71,112,86,85,204,167,200,132,159,217
"D3C65_15815",95,89,68,85,81,59,215,182,265,198,231,253
"D3C65_15820",5,6,6,7,12,10,17,15,27,19,19,28
"D3C65_15825",2091,2274,2160,2396,2333,2360,3509,3541,4555,3323,4138,5329
"D3C65_15830",244,233,271,184,200,174,680,721,941,785,769,1013
"D3C65_15835",63,61,68,44,35,40,95,117,158,136,122,170
"D3C65_15840",91,104,126,87,59,77,251,308,358,289,265,375
"D3C65_15845",193,176,155,234,179,157,418,365,494,358,390,475
"D3C65_15850",874,947,854,872,666,664,1722,1319,2002,1283,1622,2016
"D3C65_15855",133,121,113,124,122,113,343,335,460,346,420,438
"D3C65_15860",80,85,47,86,78,76,150,175,196,126,121,197
