"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_05420",924,2882,1029,2750
"IS492_05425",44,66,51,80
"IS492_05430",170,429,162,418
"IS492_05435",410,999,494,992
"IS492_05440",213,480,207,450
"IS492_05445",447,1037,581,1055
"IS492_05450",42,126,60,99
"IS492_05455",235,618,218,593
"IS492_05460",284,803,324,722
"IS492_05465",85,265,108,232
"IS492_05470",146,335,123,324
"IS492_05475",30,119,27,86
"IS492_05480",31,75,28,60
"IS492_05485",50,142,64,139
"IS492_05490",107,255,102,233
"IS492_05495",110,287,144,283
"IS492_05500",392,976,436,951
"IS492_05505",248,546,290,549
"IS492_05510",909,3217,1185,2552
"IS492_05515",4338,9971,6332,11411
"IS492_05520",1677,3986,1768,3508
"IS492_05525",3286,5928,2783,5137
"IS492_05530",1352,3144,1266,2673
"IS492_05535",709,1865,602,1382
"IS492_05540",479,1414,400,1017
"IS492_05545",3610,9414,4290,9223
"IS492_05550",1604,3951,2003,4265
"IS492_05555",401,864,434,952
"IS492_05560",4393,10650,5235,11702
"IS492_05565",647,1559,506,1128
"IS492_05570",242,443,269,387
"IS492_05575",1064,3380,851,2535
"IS492_05580",1034,3104,875,2557
"IS492_05585",1742,5614,1984,5405
"IS492_05590",2873,8706,2908,8119
"IS492_05595",1249,3573,1592,3473
"IS492_05600",531,1566,580,1304
"IS492_05605",731,2497,674,2238
"IS492_05610",547,1313,385,1053
"IS492_05615",582,1835,647,1790
"IS492_05620",731,2183,710,1973
"IS492_05625",1293,2948,1304,3283
"IS492_05630",2309,5747,2453,6176
"IS492_05635",1561,4455,1784,4711
"IS492_05640",457,1080,574,1137
"IS492_05645",1362,4395,1830,4429
"IS492_05650",2730,7750,3341,8351
"IS492_05655",1189,2946,979,2438
"IS492_05660",1671,4517,1560,4050
"IS492_05665",10041,23053,8505,21596
"IS492_05670",5670,15167,5224,13865
"IS492_05675",6100,15857,6712,16975
"IS492_05680",34,114,34,83
"IS492_05685",1261,3555,1337,3116
"IS492_05690",3275,9252,4281,9963
"IS492_05695",17,82,11,38
"IS492_05700",14,18,9,10
"IS492_05705",16238,42739,13736,38807
"IS492_05710",448,1318,348,937
"IS492_06645",17588,48714,16305,45651
"IS492_06650",1694,3917,1524,3767
"IS492_06655",5189,12666,6418,13329
"IS492_06660",2857,6524,3060,5656
"IS492_06665",629,1438,625,1166
"IS492_06670",67,61,56,29
"IS492_06675",24,140,25,123
"IS492_06680",254,1033,151,646
