gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA3496,93,402,186,242,111,111,65,69,78,193,134
PA3497,24,37,18,26,19,13,11,15,29,25,24
PA3498,56,193,84,237,151,97,112,84,100,107,66
PA3499,9,30,9,27,26,19,15,21,10,26,11
PA3500,9,37,27,43,27,14,10,6,27,22,6
PA3501,0,0,3,3,0,1,0,0,0,1,2
PA3502,0,0,0,3,3,2,0,2,3,1,2
PA3503,5,12,12,38,27,23,15,24,23,23,5
PA3504,42,130,74,194,114,91,102,134,174,110,48
PA3505,10,58,25,89,55,19,64,61,50,45,11
PA3506,13,42,12,117,56,43,7,21,30,13,4
PA3507,1,13,3,41,15,20,6,15,8,5,2
PA3508,9,15,14,47,15,24,4,30,13,13,5
PA3509,3,16,19,48,42,19,9,19,19,20,10
PA3510,0,12,6,17,14,10,11,2,11,9,9
PA3511,4,11,4,36,6,8,11,14,13,0,14
PA3512,30,66,27,101,45,43,30,43,43,42,21
PA3513,18,37,25,118,75,45,37,48,63,45,50
PA3514,73,147,107,324,204,158,72,142,151,202,134
PA3515,69,157,88,219,117,67,48,49,72,139,53
PA3516,15,64,63,65,55,39,32,44,39,72,44
PA3517,35,75,42,80,50,56,30,55,42,91,39
PA3518,3,2,3,8,4,0,6,2,6,4,0
PA3519,12,21,17,27,30,12,4,10,20,31,13
PA3520,7,28,18,44,22,28,7,26,30,27,20
PA3521,67,109,44,172,68,94,27,36,42,63,69
PA3522,99,271,169,203,146,91,77,106,118,140,80
PA3523,21,19,16,14,9,8,6,21,21,44,16
PA3524,71,230,145,217,163,96,28,41,47,83,76
PA3525,461,1185,770,727,469,440,148,235,237,412,294
PA3526,3767,9427,5545,4346,2654,1973,2197,2718,3150,7391,5802
PA3527,355,870,595,587,285,249,108,156,137,244,81
PA3528,295,722,638,786,343,353,87,128,148,185,86
PA3529,488,1327,863,1779,1005,919,594,828,927,1717,914
PA3530,2351,6600,4329,1620,778,736,1805,3066,3156,4463,2560
PA3531,542,1547,1245,1232,697,652,58,83,94,226,99
PA3532,80,199,155,205,102,65,37,50,43,59,51
PA3533,1666,4396,3020,3158,1806,1538,672,1045,1274,1571,937
PA3534,100,216,184,483,269,234,93,130,164,168,120
PA3535,17,43,54,366,182,197,27,24,34,21,7
PA3535.1,644,1029,757,640,438,281,241,283,417,2848,1924
PA3536,261,756,371,860,469,422,259,341,446,742,544
PA3537,216,404,290,128,119,79,59,59,59,251,148
PA3538,231,558,418,653,356,348,103,138,136,295,202
PA3539,86,251,170,172,101,76,10,54,26,51,24
PA3540,31,56,22,44,20,15,10,15,18,44,37
PA3541,12,71,24,60,31,52,21,27,15,44,30
PA3542,9,43,25,30,12,6,3,6,17,10,5
PA3543,16,40,17,43,19,13,17,18,35,35,29
PA3544,7,7,3,4,16,7,2,4,4,19,6
PA3545,8,18,16,30,16,6,7,2,9,16,7
PA3546,4,12,10,28,17,24,12,11,4,25,2
PA3547,6,25,7,37,20,3,5,13,8,17,17
PA3548,11,47,51,70,43,42,26,46,41,68,29
PA3549,4,5,3,25,12,17,4,1,6,4,3
PA3550,0,1,4,24,13,8,4,6,1,6,4
PA3551,38,126,56,205,84,60,28,33,69,68,48
PA3552,5408,13073,9669,11879,6869,5749,506,578,690,6767,4355
PA3553,4501,10019,7783,9509,4707,4313,434,601,649,3800,2505
PA3554,3304,7552,6093,10175,5340,4634,470,613,720,3264,2175
PA3555,788,2055,1643,3979,2279,1784,193,222,305,1063,692
PA3556,1230,2965,2201,6936,3829,2887,263,360,379,1307,841
PA3557,254,427,340,924,532,442,34,50,54,187,109
PA3558,187,342,277,1057,534,440,21,30,45,182,107
PA3559,821,1755,1402,8281,4511,3708,148,160,189,1054,586
PA3560,93,178,97,363,230,154,109,150,149,108,117
PA3561,61,134,88,181,100,72,56,97,108,108,65
PA3562,120,362,225,327,199,169,279,279,328,322,214
PA3563,186,370,275,474,274,242,104,115,134,212,120
PA3564,92,178,134,234,137,109,33,45,53,86,64
PA3565,130,308,220,309,165,172,108,113,131,151,124
PA3566,251,804,514,541,275,282,177,245,228,706,347
PA3567,903,2206,1631,2111,1216,993,443,642,714,2010,1277
PA3568,80,187,122,985,517,417,179,212,271,174,129
PA3569,41,137,68,1279,758,532,154,247,292,212,126
PA3570,179,532,327,4021,2111,1751,511,582,675,825,475
PA3571,214,476,310,346,208,197,84,171,164,387,232
PA3572,373,863,537,1558,804,731,601,911,908,1004,645
PA3573,130,308,239,192,135,122,127,113,178,207,136
PA3574,94,222,146,207,123,132,61,82,85,253,200
PA3574.1,93,276,226,322,205,126,61,89,108,291,184
PA3575,125,309,229,215,168,107,90,117,121,295,206
PA3576,162,280,255,301,216,191,54,99,146,168,102
PA3577,124,507,325,462,284,225,237,333,360,450,239
PA3578,403,1029,740,555,371,304,306,413,542,450,352
PA3579,191,482,338,366,226,146,87,108,127,159,107
PA3580,378,980,626,345,195,147,118,121,218,339,279
PA3581,610,1251,1013,913,510,376,526,818,868,931,490
PA3582,615,1457,1105,2223,1176,1089,525,752,818,600,330
PA3583,169,294,213,336,200,173,63,82,66,86,33
PA3584,4128,11123,7291,2182,1252,993,2874,4469,4574,9717,5780
PA3585,41,156,112,72,25,41,12,23,10,60,31
PA3586,61,181,155,95,78,50,23,35,73,39,52
PA3587,620,1555,1142,885,443,386,332,511,551,770,571
PA3588,96,300,211,462,249,192,117,107,158,213,99
PA3589,11,37,30,39,20,9,19,27,40,26,33
PA3590,156,385,240,378,267,158,59,97,132,179,91
PA3591,6,22,4,8,0,6,4,8,5,7,1
PA3592,15,31,13,19,9,13,3,10,11,22,13
PA3593,24,66,36,50,44,34,31,28,49,37,23
PA3594,85,188,90,253,146,96,273,263,299,193,122
PA3595,90,223,139,200,129,55,66,49,73,114,82
PA3596,25,45,39,56,37,26,10,30,27,25,17
PA3597,43,52,51,69,50,47,32,32,50,24,24
PA3598,262,640,340,483,253,198,151,213,227,498,328
PA3599,380,930,647,455,322,178,184,248,274,386,243
PA3600,151,399,287,820,509,480,1087,1441,1644,187,115
PA3601,33,91,83,174,117,91,258,395,386,55,36
PA3602,142,385,288,426,233,172,70,95,85,143,125
PA3603,26,53,43,51,28,8,1,2,6,22,16
PA3604,237,640,386,672,346,311,121,123,145,290,244
PA3605,41,152,109,149,67,62,38,44,53,49,45
PA3606,240,465,405,530,298,249,71,103,100,296,210
PA3607,7,37,12,19,13,6,3,7,7,21,10
PA3608,9,33,6,37,36,9,7,4,15,15,10
PA3609,4,19,5,31,9,0,7,7,11,5,2
PA3610,17,41,27,23,14,32,6,15,10,40,15
PA3611,114,302,229,180,134,96,34,25,57,141,122
PA3612,119,305,229,241,122,110,27,39,72,156,89
PA3613,1519,3350,2343,5377,3221,2801,3613,5061,5796,1949,1358
PA3614,571,1283,973,4639,2734,2590,1440,2069,2210,1395,801
PA3615,572,1465,1001,3480,1890,1644,1300,1825,2011,1022,596
PA3616,256,689,520,602,362,301,89,166,152,248,159
PA3617,2290,5401,3675,2971,1726,1656,1211,1596,1838,3643,2122
PA3618,319,817,494,977,463,390,297,343,481,501,284
PA3619,41,133,133,117,59,47,22,27,43,75,56
PA3620,240,595,475,587,333,290,75,116,100,153,113
PA3621,143,575,315,506,211,235,76,111,108,251,146
PA3621.1,2896,22228,13191,59355,28702,27207,7605,12920,13914,6006,2171
PA3622,875,2679,1594,4240,2441,2104,996,1358,1540,2595,1818
PA3623,2921,6396,4171,11313,6709,5961,3748,4561,5261,6616,4153
PA3624,1725,5255,2863,3058,2017,1409,1458,1796,2084,2832,1596
PA3625,120,315,280,311,186,170,59,76,66,109,71
PA3626,309,815,617,906,545,472,123,177,203,256,143
PA3627,171,400,380,314,178,187,45,102,78,148,111
PA3628,141,346,288,656,429,258,98,92,137,153,81
PA3629,386,808,550,872,462,382,164,207,203,354,227
PA3630,133,327,264,151,108,63,120,146,137,225,149
PA3631,103,248,172,209,131,128,77,60,98,93,72
