"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0393",1745,827,1026,765,734,755,1174,1238,981,1076,1036,838
"PA0394",1585,862,1153,827,730,755,683,707,606,676,586,523
"PA0395",9200,5782,4670,7300,8703,8110,3423,3865,4576,3540,3578,3770
"PA0396",9751,5883,4402,8008,10074,8603,3379,3630,3248,4322,3581,4968
"PA0397",2996,1838,1904,2273,2530,2306,1467,1704,1167,2311,1586,2814
"PA0398",1673,1099,1313,859,915,943,1038,1536,1381,1219,1107,1161
"PA0399",5237,2292,2004,2326,2266,2234,2158,2293,1825,2326,2163,2324
"PA0400",4626,1888,1869,1784,1736,1668,2123,2430,1730,2328,2089,1973
"PA0401",3760,1765,2095,1351,1381,1233,3829,3934,2814,3951,3314,2901
"PA0402",3740,2064,2566,1766,1806,1699,3905,4095,3886,4277,3964,3242
"PA0403",1578,745,954,605,689,569,1082,1324,965,1416,1178,1015
"PA0404",608,298,325,274,310,246,410,426,307,384,324,323
"PA0405",1853,1225,1325,1012,1285,1163,1057,1253,1411,1026,1143,927
"PA0406",1227,707,485,913,1082,878,406,533,485,398,425,324
"PA0407",9458,6264,4273,7704,8351,8002,3294,3253,3084,3580,2693,3392
"PA0408",16778,11707,13785,12870,16944,15483,5115,5402,7513,5697,5164,5036
"PA0409",10800,6961,7827,8107,10178,8593,3549,4334,6004,4138,4130,3593
"PA0410",7540,4618,4899,4903,6191,5284,2433,3096,3677,3158,2716,2439
"PA0411",26103,15849,16017,15821,17502,15380,17216,17592,15378,20043,17025,16796
"PA0412",5932,3765,3732,3397,3947,3829,3413,3110,2551,3538,2630,3291
"PA0413",35873,19769,19344,19181,20901,18670,22292,21627,14150,23914,18505,21995
"PA0414",4456,2712,2718,2615,2987,2800,2693,2733,2281,3108,2504,3170
"PA0415",2089,1167,1224,1196,1321,1062,1613,1650,1371,1680,1480,1677
"PA0416",780,433,394,383,420,348,533,557,321,584,468,506
"PA0417",258,152,149,158,169,153,296,364,215,246,236,261
"PA0418",832,445,360,418,422,381,545,783,472,631,537,525
"PA0419",889,386,283,384,334,300,391,505,318,357,375,276
"PA0420",2451,1231,1295,1361,1344,1293,1590,1889,1902,1819,1688,1591
"PA0421",3831,1766,1553,1910,1850,1717,1644,1967,1688,1162,1317,1047
"PA0422",3913,2248,2327,2413,2326,2321,2486,3352,3986,2969,2962,2638
"PA0423",24487,11127,9871,12433,11276,13497,10921,12612,14355,12866,12405,12280
