gene_id,PAO1SDS_433,PAO1SDS_434,PAO1SDS_435,PAO1day4_400,PAO1day4_401,PAO1day4_402,PAO1day5_403,PAO1day5_404,PAO1day5_405,PAO1day6_406,PAO1day6_407,PAO1day6_408
PA3502,0,0,0,1,0,0,1,1,1,0,2,0
PA3503,1,4,1,4,0,0,0,0,1,3,1,1
PA3504,0,1,4,0,0,2,0,4,1,1,0,1
PA3505,0,1,1,0,2,0,0,1,1,0,0,1
PA3506,1,1,2,2,0,1,0,0,0,1,3,0
PA3507,1,1,1,1,0,1,0,0,0,1,1,2
PA3508,3,5,3,2,0,0,0,0,0,0,0,1
PA3509,2,1,0,1,0,1,0,1,0,1,0,0
PA3510,1,1,1,1,1,2,0,0,1,0,0,1
PA3511,0,2,1,0,0,1,0,0,1,2,0,1
PA3512,2,0,2,0,2,1,0,0,0,2,2,1
PA3513,1,0,2,0,0,1,0,0,0,0,4,2
PA3514,0,0,5,4,1,0,0,0,2,0,4,0
PA3515,2,5,15,2,4,3,3,3,5,8,7,5
PA3516,2,1,5,2,0,0,0,3,0,1,1,1
PA3517,3,2,3,2,1,4,0,1,1,0,1,2
PA3518,4,1,0,1,2,1,3,0,1,1,1,0
PA3519,1,5,2,3,5,1,2,2,1,1,5,3
PA3520,4,2,10,7,4,3,3,6,2,2,10,9
PA3521,2,0,1,0,2,1,0,0,2,0,1,0
PA3522,5,2,11,3,2,3,0,1,2,1,4,2
PA3523,4,3,4,1,0,2,0,1,2,1,1,2
PA3524,57,37,87,40,31,32,19,24,36,41,67,44
PA3525,228,89,197,143,49,70,49,44,84,86,104,109
PA3526,28,20,30,23,17,21,16,16,21,19,26,16
PA3527,112,83,145,76,26,45,25,23,55,53,85,56
PA3528,56,27,61,36,12,18,7,14,19,14,31,23
PA3529,154,113,283,91,99,78,44,82,82,75,187,71
PA3530,1,7,6,6,5,3,4,1,2,3,4,6
PA3531,454,419,960,401,352,348,226,294,350,332,563,378
PA3532,86,121,132,26,32,38,14,30,46,35,66,35
PA3533,100,89,179,70,64,60,27,45,66,48,105,75
PA3534,12,8,22,10,4,10,5,5,10,7,9,7
PA3535,42,34,67,32,11,25,10,5,10,17,28,20
PA3536,12,7,27,6,6,7,2,8,7,4,11,8
PA3537,99,65,144,50,30,38,32,19,38,25,67,39
PA3538,66,51,122,45,27,26,15,21,21,21,43,12
PA3539,32,25,40,31,11,9,13,4,19,10,19,11
PA3540,0,0,6,3,0,2,1,2,0,1,0,3
PA3541,0,2,3,2,2,2,2,0,0,1,1,4
PA3542,0,0,1,3,0,0,0,0,1,0,3,1
PA3543,3,2,2,0,1,1,0,3,2,1,0,0
PA3544,4,2,2,4,0,1,0,0,1,1,1,1
PA3545,14,6,16,7,4,7,1,4,12,11,25,11
PA3546,1,0,0,0,2,1,0,0,0,0,3,0
PA3547,1,0,7,2,1,0,0,0,1,1,1,1
PA3548,3,4,6,3,1,3,2,2,3,1,4,2
PA3549,2,1,2,1,0,1,3,1,0,0,3,4
PA3550,0,0,3,2,0,2,1,1,3,1,1,0
PA3551,3,2,15,7,4,3,4,2,5,1,4,4
PA3552,187,183,291,69,37,47,36,28,93,41,98,60
PA3553,97,74,149,42,2,9,11,7,18,10,12,14
PA3554,107,86,78,24,7,6,2,5,9,6,7,11
PA3555,7,7,24,0,1,1,0,1,0,0,2,3
PA3556,9,8,27,4,1,5,1,2,4,4,3,3
PA3557,1,0,4,0,1,1,0,0,0,0,0,0
PA3558,5,2,7,2,0,1,1,0,1,0,1,2
PA3559,21,10,45,11,3,5,3,3,9,6,8,4
PA3560,3,3,5,4,0,3,0,1,2,5,7,1
PA3561,0,2,7,0,0,0,0,1,1,0,6,1
PA3562,12,1,12,1,1,2,0,0,0,2,3,3
PA3563,39,35,99,33,26,24,14,18,20,27,47,20
PA3564,11,4,15,2,3,0,1,4,4,0,8,3
PA3565,8,5,16,2,0,1,2,0,1,6,5,2
