locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA2062,1996,2709,2518,170,159,122
PA2063,422,469,449,163,216,115
PA2064,101,114,122,74,75,60
PA2065,179,178,219,108,112,123
PA2066,915,850,815,385,357,415
PA2067,662,661,694,340,227,305
PA2068,1549,1456,1472,454,302,359
PA2069,4737,4113,4318,1115,890,963
PA2070,678,769,786,276,228,326
PA2071,4784,4977,5014,5158,4090,6517
PA2072,1403,1540,1461,3044,2105,4714
PA2073,175,181,180,157,147,240
PA2074,37,48,43,31,36,62
PA2075,184,186,189,255,227,270
PA2076,264,246,206,652,525,536
PA2077,177,176,167,226,160,191
PA2078,180,191,216,161,136,145
PA2079,317,291,264,371,339,386
PA2080,485,420,361,818,728,760
PA2081,234,299,210,456,384,351
PA2082,539,627,569,379,265,346
PA2083,752,1116,889,252,200,239
PA2084,522,661,549,283,276,284
PA2085,148,230,180,31,38,35
PA2086,179,250,188,30,34,31
PA2087,109,153,106,26,17,23
PA2088,361,433,351,196,134,211
PA2089,1089,1414,1120,602,428,630
PA2090,121,160,130,33,29,28
PA2091,135,160,146,39,34,34
PA2092,220,267,235,63,57,59
PA2093,204,256,237,62,58,72
PA2094,271,326,332,186,130,196
PA2095,318,314,381,184,131,225
PA2096,165,180,184,148,97,139
PA2097,257,208,253,244,222,248
PA2098,37,24,33,39,46,40
PA2099,115,108,97,100,92,122
PA2100,790,818,884,708,651,792
PA2101,408,410,489,253,223,246
PA2102,381,350,410,291,241,293
PA2103,1030,1203,1207,1069,841,1159
PA2104,823,939,996,666,567,713
PA2105,960,1172,1231,765,643,847
PA2106,855,942,937,787,581,830
PA2107,104,165,131,104,88,106
PA2108,252,353,282,138,182,141
PA2109,87,96,75,38,46,46
PA2110,48,46,38,36,28,19
PA2111,48,38,24,60,36,19
PA2112,34,29,17,26,31,21
PA2113,82,92,104,54,74,77
PA2114,308,350,335,289,228,343
PA2115,231,211,256,117,142,119
PA2116,166,146,142,137,145,113
PA2117,425,413,421,253,248,224
PA2118,287,311,268,190,209,156
PA2119,5858,5604,5644,15807,13015,12604
PA2120,227,220,168,358,305,445
PA2121,387,405,362,1103,884,1303
PA2122,465,411,335,959,847,1288
PA2123,448,408,392,695,700,784
PA2124,88,104,89,94,99,95
PA2125,175,182,188,1040,730,838
PA2126,389,414,416,2718,2054,2249
PA2127,1789,1718,1914,6816,5389,5603
PA2128,680,558,668,369,346,329
PA2129,100,52,79,25,12,22
