"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit2_NI_1","pit2_NI_2","pit2_NI_3","empty_I_1","empty_I_2","empty_I_3","pit2_I_1","pit2_I_2","pit2_I_3"
"PA4211",5,4,5,14,12,5,8,17,4,5,13,4
"PA4210",5,0,3,6,3,3,4,2,1,1,2,5
"PA4209",225,33,28,339,112,77,83,55,28,88,59,77
"PA4208",60,3,4,33,9,15,47,20,24,50,1,10
"PA4207",123,18,21,126,71,59,162,126,104,151,66,44
"PA4206",50,4,4,86,42,22,57,45,54,77,14,17
"PA4205",52,14,8,80,39,44,39,89,71,63,45,29
"PA4204",1133,86,61,1339,419,341,472,159,179,280,151,220
"PA4203",79,9,0,71,25,9,48,32,58,88,7,18
"PA4202",520,22,25,682,83,91,288,124,132,461,57,81
