gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA1967,151,206,1041,533,439,466
PA1968,193,185,1105,211,236,180
PA1969,571,544,2722,431,465,370
PA1970,198,141,805,196,185,138
PA1971,334,328,1647,662,590,518
PA1972,237,309,1595,281,236,208
PA1973,1278,1514,6792,1426,1465,1129
PA1974,97,111,565,123,142,109
PA1975,138,166,1027,198,189,203
PA1976,584,577,3062,479,580,493
PA1977,268,220,1102,261,291,227
PA1978,206,162,627,273,263,227
PA1979,183,161,818,182,134,150
PA1980,141,116,705,134,108,146
PA1981,114,129,673,149,110,97
PA1982,245,261,1466,297,327,270
PA1983,60,60,359,122,100,96
PA1984,65,49,387,136,90,80
PA1985,74,59,409,49,45,48
PA1986,1627,1347,7412,599,477,472
PA1987,946,828,3810,527,489,562
PA1988,267,185,968,162,145,198
PA1989,686,693,3677,261,216,198
PA1990,1151,1290,6156,372,300,284
PA1991,1077,939,4916,2051,1981,1952
PA1992,2279,2618,12892,2781,2777,2474
PA1993,662,752,3476,956,1040,942
PA1994,626,629,3266,555,577,577
PA1995,231,242,1255,442,509,477
PA1996,189,188,1045,476,513,480
PA1997,2839,2820,13905,4148,4004,3667
PA1998,398,452,2054,957,992,767
PA1999,10657,10001,53862,7277,7417,7595
PA2000,4295,4518,22324,5444,5236,4751
PA2001,9661,9813,46968,9985,9335,8488
PA2002,1526,1520,7279,4990,4788,4611
PA2003,1333,1153,6084,4680,4640,4419
PA2004,857,937,4770,6052,5614,5336
PA2005,996,1009,5022,1599,1593,1491
PA2006,1749,1721,8514,937,867,822
PA2007,6050,6104,30208,2006,1911,1631
PA2008,11158,11740,58328,6437,6037,5098
PA2009,5256,5361,27079,4713,4278,4002
PA2010,849,757,3568,1789,1581,1495
PA2011,2983,2617,13003,2875,2839,2721
PA2012,6639,6347,32707,3532,3621,3174
PA2013,2507,2522,13327,2050,2028,1730
PA2014,5883,5350,27034,6853,6839,6457
