"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_03980",43,49,176,173,175,27,170,151
"PA14_04000",27,17,62,24,31,8,21,48
"PA14_04010",1416,1266,3309,2140,1922,523,1064,967
"PA14_04020",14,42,27,32,29,5,30,37
"PA14_04030",50,60,128,86,82,15,114,100
"PA14_04040",48,91,31,23,32,6,255,439
"PA14_04050",76,95,154,180,199,51,231,331
"PA14_04060",5,0,2,3,2,0,3,6
"PA14_04070",96,66,217,110,145,17,138,164
"PA14_04080,yecS",26,31,60,42,47,9,58,43
"PA14_04090,fliY",127,115,311,208,226,36,161,218
"PA14_04100",2168,1934,4148,3457,4391,888,1342,2783
"PA14_04110,serA",290,507,837,705,555,87,899,912
"PA14_04140",321,562,948,651,700,103,820,1166
"PA14_04150,ycgM",54,70,242,186,222,26,325,380
"PA14_04160",94,122,121,108,92,21,127,149
"PA14_04180",211,112,42,48,29,5,45,41
"PA14_04190,aphA",10,14,68,55,42,8,48,66
"PA14_04210",11,7,33,27,21,8,17,17
"PA14_04220",19,19,56,79,64,8,80,73
"PA14_04230",16,7,20,19,20,4,14,20
"PA14_04240",5,3,14,13,10,0,3,4
"PA14_04250",7,8,16,11,19,5,7,5
"PA14_04270",103,70,127,165,163,15,40,46
"PA14_04290",18,7,29,24,31,8,57,84
"PA14_04300",348,274,365,314,402,44,1210,1703
"PA14_04310,rpiA",168,431,272,278,371,83,298,605
"PA14_04320,ilvA1",273,430,608,431,392,86,591,737
"PA14_04330",88,97,135,158,157,13,194,135
"PA14_04340",43,49,24,40,30,2,45,37
"PA14_04350",37,38,17,29,25,2,18,16
"PA14_04370",10,23,29,37,28,2,40,62
"PA14_04380",37,75,145,105,114,16,126,228
"PA14_04390,ygdP",756,790,2304,1192,1300,218,2464,3361
"PA14_04410,ptsP",1338,1146,4717,3250,2783,508,3012,3227
"PA14_04420",102,81,145,177,152,21,161,172
