"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS16910",136,98,94,117,98,167,82,116,98,92,103,141
"A4W92_RS16915",42,28,23,13,27,41,29,43,28,20,32,30
"A4W92_RS16920",432,334,221,218,273,496,324,364,299,254,263,372
"A4W92_RS16925",1565,1088,904,1571,1369,2691,1197,1278,1107,1115,1199,1487
"A4W92_RS16930",159,131,93,234,193,467,99,124,101,137,141,154
"A4W92_RS16935",115,81,62,83,72,141,64,91,89,71,64,91
"A4W92_RS16940",49,48,39,34,42,77,44,54,37,41,42,63
"A4W92_RS16945",146,139,62,63,87,124,48,94,72,70,61,127
"A4W92_RS16950",289,246,138,237,213,439,185,234,174,253,232,306
"A4W92_RS16955",343,452,294,272,262,437,188,311,230,347,307,436
"A4W92_RS16960",152,168,82,125,194,279,84,145,81,119,103,127
"A4W92_RS16965",1447,1044,852,720,757,1220,953,1108,988,859,884,1174
"A4W92_RS16970",841,704,511,494,523,1019,736,849,733,703,670,749
"A4W92_RS16975",861,691,529,750,740,1473,747,826,783,771,735,839
"A4W92_RS16980",1020,868,551,1280,952,1935,771,914,734,909,996,1237
"A4W92_RS16985",13535,9714,7934,15789,14324,26680,9747,11464,10340,11357,11085,13611
"A4W92_RS16990",1486,1260,1070,1168,1099,2100,1023,1203,1115,1226,1075,1403
"A4W92_RS16995",767,611,424,526,565,1019,646,701,600,643,584,695
"A4W92_RS17000",928,856,628,583,597,1182,790,1064,861,871,733,907
"A4W92_RS17005",1745,1709,1331,1755,1210,1734,1020,1190,1023,1179,1348,2093
"A4W92_RS17010",50,64,46,30,34,48,57,76,57,53,55,51
"A4W92_RS17015",49,35,35,13,21,44,38,53,40,49,24,39
"A4W92_RS17020",337,335,229,124,191,273,313,380,302,285,202,269
"A4W92_RS17025",84,98,63,45,40,74,85,105,76,69,85,92
"A4W92_RS17030",125,120,64,48,58,105,103,115,103,83,83,113
"A4W92_RS17035",383,379,314,178,190,375,335,470,422,371,322,372
"A4W92_RS17040",119,135,59,47,82,114,119,161,136,96,80,113
"A4W92_RS17045",232,218,141,95,143,250,211,260,226,195,154,181
"A4W92_RS17050",100,106,57,43,68,122,103,112,91,95,56,102
"A4W92_RS17055",390,399,229,206,253,482,340,366,345,324,285,325
"A4W92_RS33665",1069,886,599,1258,996,1730,740,887,718,920,966,1210
"A4W92_RS17060",785,747,590,600,498,728,627,767,646,628,682,915
"A4W92_RS17065",165,142,103,126,122,211,156,195,193,170,155,190
"A4W92_RS17070",657,468,347,343,356,635,508,632,582,495,490,531
"A4W92_RS17075",233,232,197,134,136,260,173,243,215,200,189,201
"A4W92_RS17080",140,150,133,116,99,174,126,175,154,150,157,197
"A4W92_RS17085",37,45,29,23,24,48,32,48,31,40,42,41
"A4W92_RS17090",83,78,51,31,51,90,89,123,82,70,48,52
"A4W92_RS17095",34,38,26,18,12,30,20,36,33,35,20,30
"A4W92_RS17100",317,286,222,190,200,309,217,296,240,233,242,325
"A4W92_RS17105",159.691,160.877,127.702,92.769,107.038,182.741,101.946,159.673,139.883,118.88,132.868,175.855
"A4W92_RS17110",230,249,114,228,246,351,234,214,209,194,212,228
"A4W92_RS17115",218,247,154,241,174,321,206,235,227,196,234,248
"A4W92_RS17120",403,362,230,172,199,290,324,321,333,281,249,384
"A4W92_RS17125",2426.594,2169.688,1790.563,1851.71,1318.491,2308.547,1378.554,2132.03,1703.279,1950.921,2297.819,2747.295
"A4W92_RS17130",62,42,39,41,39,65,49,53,49,49,39,66
"A4W92_RS17135",85,73,42,47,58,82,60,119,73,68,66,64
"A4W92_RS17140",62,73,54,42,42,78,51,80,70,54,61,63
"A4W92_RS17145",119,126,84,77,82,143,124,111,115,98,76,135
"A4W92_RS17150",732,566,441,415,419,714,428,626,495,524,570,684
"A4W92_RS17155",315,246,187,199,204,334,244,350,242,280,264,313
"A4W92_RS17160",2055,1882,1214,2774,2202,4245,1636,1959,1591,1698,1662,2200
"A4W92_RS17165",125,110,61,141,135,159,86,118,85,89,118,129
"A4W92_RS17170",590,548,376,1065,655,1360,509,553,457,542,507,738
"A4W92_RS17175",839,902,461,1012,751,1413,762,1065,792,852,919,987
"A4W92_RS17180",222,168,136,189,144,261,211,230,178,178,204,207
"A4W92_RS17185",24,27,29,17,31,54,35,34,27,25,34,23
"A4W92_RS17190",91,91,60,75,61,96,77,87,74,50,64,82
"A4W92_RS17195",209,159,175,220,152,292,143,186,173,162,183,227
"A4W92_RS17200",52,66,63,48,27,52,41,62,47,44,61,53
"A4W92_RS17205",24,35,26,22,16,37,19,32,28,27,30,26
"A4W92_RS17210",48,46,35,28,38,64,39,59,37,44,50,55
"A4W92_RS17215",42,41,32,42,29,42,39,37,52,44,34,41
"A4W92_RS17220",5047,3819,3559,1758,2039,3296,5256,4509,4389,3419,3468,4443
"A4W92_RS17225",498,406,296,430,381,687,386,459,365,368,440,477
"A4W92_RS17230",964,760,560,502,462,875,665,792,618,668,679,879
"A4W92_RS17235",200,133,123,156,118,256,115,185,143,166,155,238
"A4W92_RS17240",228,207,180,134,179,308,139,170,184,219,127,189
