"gene_id","PA1","PA2","BSS_32","BSS","E1","E2","BE1","BE2"
"PA3469",409,337,585,126,415,303,516,349
"PA3470",210,170,300,60,111,73,160,114
"PA3471",4338,3359,5851,1565,895,642,1216,726
"PA3472",377,349,365,92,653,476,800,476
"PA3473",131,88,156,26,146,121,181,116
"PA3474",58,66,104,21,286,209,322,220
"PA3475",322,278,554,122,380,327,405,280
"PA3476",2854,2673,2728,522,801,530,722,517
"PA3477",6729,6828,8236,1143,483,316,592,412
"PA3478",1921,1406,2819,531,294,207,334,234
"PA3479",3609,3015,4396,733,441,329,562,407
"PA3480",777,730,941,241,1450,1137,1997,1352
"PA3481",1021,594,1247,280,449,285,519,356
"PA3482",4197,3782,5554,1075,1918,1417,2545,1761
"PA3483",244,157,316,71,263,180,274,201
"PA3484",446,332,573,131,277,205,353,219
"PA3485",176,148,215,71,53,41,64,31
"PA3486",638,570,800,185,287,201,342,241
"PA3487",1732,1650,2601,490,205,151,255,168
"PA3488",350,371,360,128,62,50,100,45
"PA3489",55,54,78,14,577,422,604,408
"PA3490",39,24,45,15,82,67,96,74
"PA3491",537,412,519,101,515,356,578,373
"PA3492",74,44,78,22,30,15,37,23
"PA3493",66,39,74,9,21,6,15,12
"PA3494",78,42,108,20,22,8,16,9
"PA3495",252,187,251,69,32,33,47,29
"PA3496",857,811,1015,231,1645,1267,2663,1661
"PA3497",45,37,69,12,65,42,85,42
"PA3498",171,159,240,39,255,250,412,261
"PA3499",45,22,54,11,14,12,22,17
"PA3500",248,197,354,62,57,31,65,45
"PA3501",24,22,34,6,6,3,3,4
"PA3502",85,107,153,25,17,17,34,16
"PA3503",161,116,246,24,40,36,52,45
"PA3504",156,152,207,26,112,80,117,97
"PA3505",59,39,84,13,7,1,8,14
"PA3506",124,78,184,37,22,15,15,11
"PA3507",62,52,100,17,16,14,16,8
"PA3508",88,53,100,21,19,10,20,19
"PA3509",47,22,51,13,7,1,4,6
"PA3510",80,68,120,29,21,12,19,14
"PA3511",46,37,86,10,11,12,14,5
"PA3512",38,26,54,10,27,17,43,33
"PA3513",62,41,80,10,33,26,41,28
"PA3514",81,64,114,20,59,38,79,40
"PA3515",338,340,352,59,207,153,278,200
"PA3516",199,211,198,39,217,158,290,183
"PA3517",116,84,129,14,156,129,181,123
"PA3518",87,87,56,10,131,103,160,115
"PA3519",83,66,79,9,377,304,493,286
"PA3520",132,106,156,28,112,76,144,99
"PA3521",67,64,111,9,72,61,73,57
"PA3522",186,154,235,32,337,220,347,281
"PA3523",60,45,68,9,349,233,354,257
"PA3524",1572,1680,2545,901,747,546,1126,677
"PA3525",5195,4898,4975,825,6865,4806,8513,5566
"PA3526",604,503,821,119,2247,1737,3151,2225
"PA3527",772,618,962,231,404,298,537,338
"PA3528",520,433,722,206,186,96,152,117
"PA3529",31239,31359,43162,6468,4070,2766,4880,3794
"PA3530",65,76,139,17,16,4,62,49
"PA3531",5704,6182,13348,3307,18716,15748,19065,12641
"PA3532",160,127,290,39,581,426,1439,927
"PA3533",1684,1483,5487,1762,1826,1498,3820,2660
"PA3534",252,197,329,56,467,326,631,453
"PA3535",626,482,733,166,160,122,150,115
"PA3536",168,141,255,60,284,183,402,246
"PA3537",166,136,162,51,1312,973,2157,1160
"PA3538",362,351,549,139,945,748,1227,747
"PA3539",741,688,1018,194,540,378,730,446
"PA3540",67,47,124,22,309,250,395,226
"PA3541",39,40,71,15,139,107,164,118
"PA3542",36,32,75,14,31,28,50,36
"PA3543",30,35,66,16,14,7,15,5
"PA3544",65,75,122,18,15,15,23,12
"PA3545",72,64,125,32,45,31,58,55
"PA3546",54,48,103,27,63,37,63,64
"PA3547",50,47,115,21,42,25,47,20
"PA3548",42,53,118,19,43,29,57,23
"PA3549",69,68,137,31,21,14,22,22
"PA3550",77,69,187,40,19,5,22,15
"PA3551",260,223,646,123,52,45,98,71
"PA3552",307,240,970,314,192,166,440,312
"PA3553",287,200,899,185,46,44,163,82
"PA3554",1906,1616,6669,1292,119,104,283,175
"PA3555",66,50,229,62,3,5,8,10
"PA3556",320,274,968,210,37,29,65,29
"PA3557",116,96,349,85,7,5,7,7
"PA3558",30,26,110,49,2,0,3,1
"PA3559",1768,1527,7000,1629,39,36,48,30
"PA3560",1689,1115,2084,377,513,339,709,547
"PA3561",649,329,791,178,262,157,276,244
"PA3562",1505,925,1829,408,830,573,1114,822
"PA3563",361,243,405,87,246,163,268,172
"PA3564",56,36,70,14,25,27,28,19
"PA3565",160,112,188,23,91,55,102,73
"PA3566",209,181,303,65,55,45,78,67
"PA3567",485,312,729,131,68,66,107,60
"PA3568",171,119,224,44,176,124,235,181
"PA3569",247,175,223,51,104,83,128,111
"PA3570",1109,873,831,162,543,383,686,509
"PA3571",103,97,158,32,197,135,253,144
"PA3572",385,219,493,154,212,174,77,42
"PA3573",49,37,72,12,550,377,684,499
"PA3574",243,258,324,102,901,695,862,544
"PA3575",565,405,347,82,440,386,1782,1225
"PA3576",113,77,194,57,294,252,1119,828
"PA3577",5,4,8,16,43,17,49,36
"PA3578",603,481,2787,561,535,402,1360,965
"PA3579",290,247,483,91,228,127,248,205
"PA3580",179,154,154,35,184,175,289,207
"PA3581",42,39,102,24,69,70,138,93
"PA3582",359,293,567,105,179,143,251,169
"PA3583",224,212,273,69,304,230,401,276
"PA3584",80,100,239,54,262,197,336,212
"PA3585",8,11,27,8,83,50,124,73
"PA3586",31,30,54,4,29,27,54,33
"PA3587",237,230,445,93,339,249,387,269
"PA3588",63,57,115,23,81,72,104,73
"PA3589",56,42,69,12,22,16,41,26
"PA3590",108,95,166,22,50,42,83,49
"PA3591",31,23,40,12,11,14,14,12
"PA3592",36,30,67,6,41,20,26,28
"PA3593",93,82,155,16,95,74,103,64
"PA3594",132,107,162,36,78,45,84,54
"PA3595",43,30,60,11,68,57,86,69
"PA3596",54,31,94,16,6,12,19,14
"PA3597",44,43,80,5,85,56,110,56
"PA3598",60,70,200,26,412,309,643,453
"PA3599",259,188,339,65,352,247,436,323
"PA3600",90,96,149,17,9,3,30,21
"PA3601",77,73,94,39,40,35,271,177
"PA3602",1942,1692,5453,1044,534,423,606,364
"PA3603",69,57,330,112,394,268,3149,2073
"PA3604",554,481,604,144,1824,1482,2462,1708
"PA3605",75,64,138,20,144,112,186,130
"PA3606",171,164,272,45,579,398,666,500
"PA3607",36,22,66,4,1455,1160,1594,1030
"PA3608",37,29,47,6,698,517,721,508
"PA3609",24,24,56,11,147,94,138,86
"PA3610",62,49,76,15,81,61,65,42
"PA3611",373,418,579,178,623,421,908,590
"PA3612",277,222,433,92,482,350,844,549
"PA3613",9324,6761,7910,1393,1353,1016,1059,725
"PA3614",3470,2931,3909,930,293,209,239,170
"PA3615",2918,2637,5594,1106,280,274,415,292
