"gene_id","WT1","WT2","WT3","flavodoxin1","flavodoxin2","flavodoxin3"
"CF003_RS13125",73,70,80,65,86,61
"CF003_RS13130",569,647,752,520,503,465
"CF003_RS13135",652,719,716,327,319,352
"CF003_RS13140",259,284,230,231,221,204
"CF003_RS13145",149,196,169,161,152,158
"CF003_RS13150",259,260,263,134,160,150
"CF003_RS13155",14,9,9,1,5,5
"CF003_RS13160",2280,807,2048,454,534,459
"CF003_RS13165",464,132,865,49,60,88
"CF003_RS13170",92,162,110,62,59,105
"CF003_RS13175",256,313,271,130,131,190
"CF003_RS13180",2,2,2,1,0,1
"CF003_RS13185",264,311,279,137,126,159
"CF003_RS13190",197,260,216,161,141,197
"CF003_RS13195",167,203,171,193,163,193
"CF003_RS13200",236,252,229,174,179,145
"CF003_RS13205",387,402,418,302,324,178
"CF003_RS13210",316,339,332,187,181,212
"CF003_RS13215",19,17,18,9,7,11
"CF003_RS13220",1,0,3,0,1,0
"CF003_RS13225",329,300,458,42,55,96
"CF003_RS13230",417,444,582,48,63,104
"CF003_RS13235",202,288,270,34,55,42
"CF003_RS13240",114,230,296,24,31,20
"CF003_RS13245",343,291,307,109,112,116
"CF003_RS13250",205,190,231,194,192,211
"CF003_RS13255",41,36,47,30,24,31
"CF003_RS13260",1651,1765,1845,2168,1942,1802
"CF003_RS13265",114,113,119,72,58,53
"CF003_RS13270",100,88,98,64,69,73
"CF003_RS13275",134,116,135,98,103,102
"CF003_RS13280",106,68,69,64,77,77
"CF003_RS13290",75,108,100,14,9,23
"CF003_RS13295",81,93,112,35,34,54
"CF003_RS13300",54,97,68,33,31,45
"CF003_RS13310",1818,1371,2114,1901,1861,975
"CF003_RS13315",1022,823,1000,641,729,542
"CF003_RS13325",320,180,457,869,790,414
"CF003_RS13340",644,753,631,762,682,931
"CF003_RS13345",93,79,70,144,139,174
"CF003_RS13350",9,22,12,9,11,15
"CF003_RS13355",8,13,20,3,4,9
"CF003_RS13360",26,35,31,15,11,20
"CF003_RS13365",509,498,561,557,558,471
"CF003_RS13370",387,376,317,301,350,316
"CF003_RS13375",601,568,531,374,401,490
"CF003_RS13380",103,108,65,82,93,79
"CF003_RS13385",7,15,14,6,7,7
"CF003_RS13390",24,35,45,13,17,21
"CF003_RS13395",9,9,16,7,9,16
"CF003_RS13400",126,167,173,289,256,257
"CF003_RS13405",7,15,21,6,12,8
"CF003_RS13410",759,648,629,336,294,439
"CF003_RS13415",29,25,27,23,26,27
"CF003_RS13420",313,306,299,260,224,259
"CF003_RS13425",461,404,417,487,503,382
"CF003_RS13430",128,75,91,37,43,40
"CF003_RS13435",233,201,242,143,144,186
"CF003_RS13440",274,252,295,274,254,275
"CF003_RS13445",348,420,378,322,318,217
"CF003_RS13450",228,267,284,199,218,123
"CF003_RS13455",196,221,257,113,144,99
"CF003_RS13460",264,273,273,139,186,119
"CF003_RS13465",230,244,265,143,169,122
"CF003_RS13470",186,216,187,87,119,83
"CF003_RS13475",636,672,799,767,725,612
"CF003_RS13480",595,484,540,522,561,499
"CF003_RS13485",337,224,302,603,545,517
"CF003_RS13500",117,128,89,41,39,57
"CF003_RS13505",278,359,242,112,104,155
"CF003_RS13510",376,387,282,187,174,227
"CF003_RS13515",78,50,53,67,61,61
"CF003_RS13520",165,120,168,61,62,108
"CF003_RS13525",1438,1205,1312,827,689,913
"CF003_RS13530",869,1098,743,641,703,723
"CF003_RS13535",531,594,597,368,402,532
"CF003_RS13540",1175,1037,825,708,838,860
"CF003_RS13545",1141,1314,1115,813,910,910
"CF003_RS13550",153,163,165,87,93,100
"CF003_RS13555",533,427,352,459,557,436
"CF003_RS13565",213,239,225,113,106,151
"CF003_RS13570",87,117,107,80,80,113
"CF003_RS13575",57,66,60,52,54,77
"CF003_RS13580",164,106,106,114,134,122
"CF003_RS13585",5721,5555,5661,2177,2068,1666
"CF003_RS13595",233,235,232,2024,1758,2500
"CF003_RS13600",210,197,312,2264,2275,3073
"CF003_RS13605",126,103,154,1063,987,1526
"CF003_RS13610",380,319,451,2654,1931,3356
"CF003_RS13615",159,177,168,65,61,97
"CF003_RS13620",448,599,485,649,653,1159
"CF003_RS13625",28,38,38,56,71,89
"CF003_RS13630",10555,16528,12107,2861,12354,9735
"CF003_RS13635",475,1254,573,164,2373,915
"CF003_RS13640",530,540,573,301,479,334
"CF003_RS13645",514,483,478,219,375,239
"CF003_RS13650",665,847,731,336,507,339
"CF003_RS13655",905,972,793,849,949,752
"CF003_RS13660",840,878,894,595,708,614
"CF003_RS13665",951,985,971,645,705,544
"CF003_RS13670",162,163,128,80,85,88
"CF003_RS13680",894,834,677,771,920,717
"CF003_RS13685",52,54,44,57,49,69
"CF003_RS13690",139,108,97,66,65,65
"CF003_RS13695",534,543,487,183,169,272
"CF003_RS13700",444,378,322,177,200,278
"CF003_RS13705",480,387,349,188,236,274
"CF003_RS13710",501,440,433,195,255,234
"CF003_RS13715",446,387,296,261,255,317
"CF003_RS13720",89,60,85,75,76,87
"CF003_RS13725",124,103,151,71,81,91
"CF003_RS13730",177,137,186,156,165,163
"CF003_RS13735",460,360,432,343,383,341
"CF003_RS13740",991,848,999,1003,967,772
"CF003_RS13745",0,0,0,1,0,0
"CF003_RS13755",130,147,108,114,121,163
"CF003_RS13760",84,83,68,70,81,117
"CF003_RS13765",197,180,151,192,180,210
"CF003_RS13770",504,607,544,369,348,331
"CF003_RS13775",18,27,19,9,11,9
"CF003_RS13780",73,101,91,50,48,51
"CF003_RS13785",70,75,74,33,35,39
"CF003_RS13790",176,155,151,22,29,36
"CF003_RS13795",181,315,208,299,285,350
"CF003_RS13800",309,490,325,422,428,483
"CF003_RS13805",351,524,402,452,416,564
"CF003_RS13810",714,353,279,333,350,344
"CF003_RS13815",151,112,122,60,73,70
"CF003_RS13820",296,187,275,101,123,116
"CF003_RS13825",455,391,300,181,199,152
"CF003_RS13830",691,487,555,514,482,337
"CF003_RS13840",47,39,38,30,32,41
"CF003_RS13845",22,21,16,21,24,26
"CF003_RS13855",441,586,498,383,343,378
"CF003_RS13860",775,1121,1264,1168,1057,1296
"CF003_RS13865",119,125,114,104,124,174
"CF003_RS13870",113,89,71,101,111,137
"CF003_RS13875",64,58,50,48,53,52
"CF003_RS13880",978,898,987,1031,1086,826
"CF003_RS13885",556,588,480,672,769,715
"CF003_RS13890",310,283,257,189,222,252
"CF003_RS13895",301,247,261,240,256,245
"CF003_RS13900",546,548,542,370,375,363
"CF003_RS13905",39,30,26,89,93,70
"CF003_RS13910",15,8,10,39,48,40
"CF003_RS13920",13,11,10,30,37,45
"CF003_RS13925",20,11,18,35,35,53
"CF003_RS13930",16,10,10,30,27,35
"CF003_RS13935",20,9,14,37,40,50
"CF003_RS13940",719,1383,778,244,686,439
"CF003_RS13945",498,813,648,416,580,355
"CF003_RS13955",853,1237,786,765,785,1095
"CF003_RS13960",650,1160,850,534,489,904
"CF003_RS13965",454,1026,716,414,364,592
"CF003_RS13970",2535,2898,3048,2408,2011,2528
"CF003_RS13975",13089,12623,13565,18815,16590,13491
"CF003_RS13980",8823,8720,10947,16694,14642,11299
"CF003_RS13985",295,340,375,214,241,230
"CF003_RS13990",539,535,526,342,412,333
"CF003_RS14000",111,88,87,88,93,79
"CF003_RS14005",115,97,101,103,116,114
"CF003_RS14010",282,293,262,259,261,244
"CF003_RS14015",142,155,142,98,92,100
"CF003_RS14020",935,858,1332,893,829,689
"CF003_RS14025",1499,1373,2230,1235,1267,940
"CF003_RS14030",280,598,309,195,351,186
"CF003_RS14035",245,409,245,292,273,376
"CF003_RS14040",215,346,254,299,249,417
"CF003_RS14045",77,83,87,18,21,38
"CF003_RS14050",64,56,91,28,27,30
"CF003_RS14055",178,152,133,36,44,47
"CF003_RS14060",56,62,57,14,22,24
"CF003_RS14065",113,155,124,42,43,56
"CF003_RS14075",77,80,96,170,176,159
"CF003_RS14080",14,13,13,42,43,45
"CF003_RS14085",64,64,52,22,32,23
"CF003_RS14090",48,45,57,22,29,23
"CF003_RS14095",434,336,613,210,195,240
"CF003_RS14100",159,172,155,203,221,229
"CF003_RS14105",86,125,89,148,147,173
"CF003_RS14110",312,363,248,381,459,512
"CF003_RS14120",69,95,82,63,62,93
"CF003_RS14125",112,148,116,110,90,127
"CF003_RS14130",195,135,174,57,78,87
"CF003_RS14135",893,628,794,509,514,468
"CF003_RS14145",371,316,316,146,144,196
