gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
trmB,929,802,908,1023,938,638,795,620,1089,546,772,705,752,675,1528,1321
trmD,532,618,518,388,784,607,552,321,617,612,572,467,535,370,788,396
trpS,2288,1650,1643,1189,3271,2208,1967,1508,2737,1571,985,1363,1437,1448,1678,1353
truA,3588,5377,2202,2277,5797,5162,1626,1600,3495,3387,1516,729,2308,2432,3155,1283
truB,929,826,1019,602,1083,741,864,487,1083,502,660,636,452,576,987,671
trxA,816,1504,739,530,726,813,1313,863,862,1423,1440,1302,1799,733,1843,1079
trxB,3360,3692,3001,2310,4004,3302,3863,2718,3672,2709,3680,2957,2914,2797,4072,2127
tsaB,906,810,1089,829,3194,1212,1971,1076,1550,870,2033,961,586,740,1590,870
tsaD,879,829,1643,855,839,669,1653,474,611,461,858,440,602,493,1389,714
tsaE,779,473,1608,324,506,252,2234,363,405,238,512,295,405,316,411,405
tuf,31079,30283,40137,32747,30250,25283,38751,24524,26910,17735,27949,24832,16779,20383,53740,28785
typA,5894,6712,5932,5145,7953,6155,5964,3457,5168,3574,3744,2380,4048,3880,6496,4463
ubiE,466,275,404,263,332,169,319,221,289,137,181,165,315,259,354,310
udk,718,565,561,429,660,393,579,422,675,402,590,404,551,472,1021,418
umuD,4810,5073,1764,3890,6479,5497,2932,3586,5295,4371,3719,4350,3201,3654,4662,3956
ung,3789,3545,1321,2053,2512,1931,1073,1752,3272,1985,1513,1647,2327,2860,3007,2253
upp,10314,15371,5444,4435,12735,11973,4974,3317,8102,10494,3232,1722,8437,8075,6511,3137
uvrA_1,5442,4241,3820,3536,3987,2456,4661,2962,4266,2335,2946,2451,4060,4013,4686,5278
uvrA_2,2461,2313,1992,2468,2068,1742,2102,2170,2783,1496,2422,2828,2019,2028,2945,3555
uvrB,3184,3291,3938,1940,3393,2503,3590,2373,3014,1754,2717,2077,1841,1944,3457,1896
uvrC,4495,4260,2147,2101,5698,4419,2397,2807,6095,4056,2462,3256,3253,3351,3639,2679
wecB,1190,1184,561,905,450,531,739,816,1241,885,1180,1297,1195,1174,1191,1415
wecC,8993,8419,2943,2557,4453,3156,2097,1776,7951,5865,1376,1708,8219,10554,3904,3381
xpt,724,757,742,450,713,559,482,353,525,367,566,319,425,424,1050,493
xseB,32,44,74,82,42,60,98,73,59,46,111,110,57,38,196,109
xth,987,654,711,389,763,464,632,526,1209,527,579,661,652,769,1006,605
yaaA,838,379,453,400,304,181,270,348,344,159,224,224,284,293,522,483
yajC,2972,3474,3472,8368,3665,2948,4777,7044,3014,2190,10224,13142,2434,2352,13443,12918
ybaK,484,398,1427,284,391,277,1237,292,285,200,379,171,327,203,598,337
ybeY,187,178,65,122,59,56,71,123,151,114,97,148,164,189,149,241
ychF,6075,4223,3911,2623,7570,4609,3386,2689,7079,4048,2744,2985,3105,3924,4053,2742
yedF,491,459,379,264,645,444,408,262,542,504,367,265,475,288,648,372
yidC,4996,4918,4783,4499,4922,3531,4268,3045,4647,2878,3854,2931,3673,3450,6652,5193
yidD,40,62,203,76,77,48,179,56,49,42,153,41,68,23,210,62
