gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS07635,1952,1664,1075,1272,1206,1076,1700,1464,2684,1441,1938,2371,1594,2041,1702,1730
PGN_RS07640,266,202,199,196,163,96,215,195,286,171,157,282,281,208,274,286
PGN_RS07645,1085,1004,483,513,956,704,586,668,1799,925,632,894,1242,1455,819,1012
PGN_RS07655,3553,3333,2898,2911,2716,2401,3753,2868,3954,2991,5976,5714,2423,2975,5733,4773
PGN_RS07660,1846,1674,1621,1795,1412,1148,2115,2496,1656,1096,2760,3626,1361,1217,3081,3212
PGN_RS07665,833,868,860,450,657,517,934,516,676,487,762,540,579,485,914,458
PGN_RS07670,6128,6847,4646,3330,15498,11353,13700,7374,15767,9154,13754,6419,3875,4134,6625,2652
PGN_RS07675,504,482,345,396,849,491,345,400,592,257,322,374,398,320,443,464
PGN_RS07690,314,297,338,306,422,320,425,358,425,287,590,699,313,279,586,543
PGN_RS07695,2752,2160,1349,1663,2720,1722,2099,2508,3692,1949,2865,3316,1780,2317,2745,2797
PGN_RS07700,10095,11262,5496,6706,10123,9027,9366,9591,17603,9460,12383,15684,9344,12563,10271,11083
PGN_RS07710,1074,882,340,791,749,317,507,675,1093,288,798,1958,828,1169,838,1826
PGN_RS07715,6251,5838,2603,6939,5796,3420,3606,7278,7568,4734,8490,19690,7672,6951,8427,20309
PGN_RS07725,1505,1144,757,1116,1248,923,1096,1182,1412,881,1247,1494,1022,1053,1643,1221
PGN_RS07735,1552,1634,1308,653,1136,925,1331,928,1313,1042,1416,1020,1198,1159,1671,1050
PGN_RS07740,2695,2340,1719,2211,1689,1325,1764,1383,2374,1354,1717,1546,1659,2212,1974,1884
PGN_RS07745,5973,5063,2729,4733,3899,2803,2167,2525,4332,2081,2063,2197,2550,3991,3434,4190
PGN_RS07755,4563,6719,4816,4269,7621,7575,3617,2872,4099,4174,2058,1320,3711,3393,5746,4112
PGN_RS07760,2385,1470,3628,1394,2739,1507,2109,1232,1787,836,579,574,1070,848,1929,1623
PGN_RS07770,7866,7811,10084,9227,10836,7589,6628,5799,6216,3834,4575,3992,3847,3554,10829,7538
PGN_RS07775,3518,4072,2610,2913,4733,3553,1584,1769,2961,2059,1048,1151,2526,2481,2983,3077
PGN_RS07780,4389,3685,3173,3947,5087,2835,1726,2340,3437,1876,973,1410,2109,2106,4046,3546
PGN_RS07785,807,626,1276,465,643,489,774,398,398,443,228,189,490,297,785,487
PGN_RS07795,3439,4813,1651,2463,3187,3183,1452,3203,2593,2431,1413,1778,2130,2035,2524,2085
PGN_RS07800,15602,20024,4903,7092,12174,9131,3567,6544,10193,8624,3206,4599,10209,11965,6755,6792
PGN_RS07810,2834,2541,3369,2785,2155,1737,4054,2533,3324,1836,3651,4223,2175,2333,4635,3592
PGN_RS07815,1977,2414,1650,3087,3003,2848,2508,3619,3167,1914,2690,5116,1711,2092,4347,3940
PGN_RS07825,243,209,271,208,258,246,334,210,186,135,257,230,263,335,242,317
PGN_RS07830,3063,3338,4408,2255,3717,2532,4458,1855,2515,1617,2547,1589,1921,1500,3597,2022
PGN_RS07855,1581,1715,1424,1576,2319,1773,2068,1772,2270,1403,2877,2436,1056,1091,3645,1555
PGN_RS07860,1367,1261,749,675,1733,1040,813,821,1600,903,676,742,831,816,1136,777
PGN_RS07865,665,515,332,377,622,499,380,321,589,498,530,376,468,440,830,374
PGN_RS07870,8486,6712,2008,4038,6355,4524,538,671,3178,2482,752,534,3798,6661,3632,2797
PGN_RS07875,1064,605,641,458,620,299,196,185,405,341,213,209,644,539,651,607
PGN_RS07880,3689,2690,1805,2244,2372,1326,488,507,1669,1456,526,434,2075,2403,2683,2352
