"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS10520",31,12,9,61,35,35,18,22,45,93,53,31,113,62,153,61
"PG_RS10525",0,2,1,3,5,3,2,0,7,8,4,4,13,5,25,7
"PG_RS10535",0,1,0,0,0,0,1,0,0,3,2,2,5,1,16,3
"PG_RS10550",0,0,2,0,1,2,1,2,1,6,1,4,6,1,38,4
"PG_RS10565",6,3,5,9,6,12,6,4,11,56,7,15,52,29,127,19
"PG_RS10575",134,127,146,194,239,170,188,244,107,434,112,371,413,180,887,416
"PG_RS10580",1,0,0,0,2,1,1,0,0,0,3,1,2,3,21,1
"PG_RS10600",70,65,107,101,140,86,139,98,75,343,137,348,266,200,705,328
"PG_RS10615",35,11,21,51,51,37,17,12,62,127,40,58,127,59,186,53
"PG_RS10625",401,318,536,619,656,429,688,640,495,1634,427,1925,1696,675,2614,1738
"PG_RS10630",1042,1299,1891,1749,2256,1653,2397,1839,1116,4288,1279,4753,3308,1522,6364,3931
"PG_RS10640",2,1,1,7,4,1,6,1,0,24,4,13,16,6,45,4
"PG_RS10650",50,83,102,100,208,77,189,277,232,1564,517,2322,1781,224,5557,2120
"PG_RS10655",254,224,393,567,569,397,456,506,360,1471,464,1543,1705,564,3143,1269
"PG_RS10665",1,2,0,4,1,2,0,1,3,10,3,2,6,3,14,10
"PG_RS10690",0,0,0,0,0,0,0,1,0,1,2,3,4,1,14,0
"PG_RS10695",16,13,60,102,71,39,83,39,32,396,65,149,198,222,547,194
"PG_RS10710",8,8,9,16,11,10,18,10,7,59,2,38,33,21,137,54
"PG_RS10720",2,1,4,7,8,3,4,9,6,16,4,8,21,13,37,27
"PG_RS10730",9,9,25,20,28,45,50,14,13,77,19,105,79,97,177,104
"PG_RS10735",0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"PG_RS10740",30,17,50,92,55,59,65,49,45,207,49,158,147,145,253,162
"PG_RS10745",58,51,90,71,81,84,91,69,73,205,72,192,211,105,562,199
"PG_RS10755",30,36,228,109,43,92,362,93,47,483,55,871,200,187,506,366
"PG_RS10760",3,2,5,9,10,6,27,15,5,31,3,46,26,31,87,61
"PG_RS10765",8,7,13,26,16,13,19,12,11,50,9,40,48,18,102,51
"PG_RS10780",431,445,582,699,963,551,651,770,539,1730,380,1296,1870,702,3137,1578
"PG_RS10800",43,48,96,90,111,101,148,92,76,312,80,423,326,227,777,450
"PG_RS10825",1,0,1,3,3,1,4,3,1,7,0,4,9,10,26,5
"PG_RS10830",46,32,107,163,124,78,125,76,91,450,99,358,358,218,714,344
"PG_RS10835",1,4,10,9,10,2,9,10,2,19,3,28,27,4,45,36
"PG_RS10840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS10850",5,4,35,20,17,13,53,15,8,107,15,192,38,50,117,73
"PG_RS10855",9,7,18,24,22,16,22,18,16,64,19,68,58,23,128,48
"PG_RS10860",3,2,4,7,11,9,5,4,6,26,5,6,19,25,67,15
"PG_RS10865",0,0,0,3,1,1,1,0,0,6,1,0,3,8,36,2
"PG_RS10870",0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1
"PG_RS10875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS10880",2,1,1,2,6,5,0,0,5,12,3,2,24,13,24,3
"PG_RS10885",1,1,0,2,3,1,1,2,1,10,3,0,6,13,43,7
"PG_RS10890",2,2,1,4,2,2,1,2,4,10,6,9,13,12,23,2
"PG_RS10895",35,5,2,44,44,24,18,21,34,81,31,24,166,73,245,63
"PG_RS10910",1,0,1,1,1,0,0,2,0,1,1,0,6,1,9,3
"PG_RS10915",4,6,0,7,6,2,1,2,4,18,1,5,17,6,65,13
"PG_RS10920",36,24,31,97,17,33,16,16,48,269,58,94,67,73,124,68
"PG_RS10925",102,59,223,425,257,344,443,150,179,1252,162,662,514,856,998,727
"PG_RS10930",114,66,98,238,221,149,152,68,197,498,142,270,466,343,841,271
"PG_RS10940",0,0,1,1,1,3,6,0,2,7,5,5,7,8,23,11
"PG_RS10950",3,1,4,3,5,4,11,2,2,13,2,17,11,9,39,17
"PG_RS10955",6,1,6,13,14,14,9,9,9,35,10,21,40,26,120,17
"PG_RS10960",7,0,0,6,9,6,7,5,6,17,2,6,16,9,31,6
"PG_RS10965",0,0,2,6,1,7,1,1,3,7,1,1,9,3,52,13
"PG_RS10975",3,0,7,9,4,10,6,3,3,23,1,14,7,25,30,21
"PG_RS10985",26,13,9,39,35,26,12,31,21,75,23,24,102,57,137,85
"PG_RS10990",31,15,51,81,67,60,78,25,47,232,53,126,167,130,265,119
"PG_RS11000",0,1,0,1,0,0,0,1,1,7,0,3,5,2,28,4
"PG_RS11005",86,22,11,127,248,177,104,96,154,207,92,98,688,335,737,281
"PG_RS11010",0,1,1,0,2,1,0,0,1,1,1,2,4,2,17,3
"PG_RS11015",11,5,4,19,19,7,4,5,16,41,14,2,52,23,103,24
"PG_RS11020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PG_RS11050",4,0,2,15,11,5,10,10,9,38,13,14,21,26,91,21
"PG_RS11065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11070",15,2,8,25,15,7,7,14,21,43,13,17,55,20,92,33
"PG_RS11075",1,0,0,0,3,2,0,0,0,2,0,1,2,3,23,1
"PG_RS11080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11085",8,3,4,9,16,6,14,4,11,33,7,23,45,18,93,19
"PG_RS11090",1,1,0,4,3,6,8,5,2,6,1,9,13,2,29,7
"PG_RS11115",1,0,1,0,3,4,1,1,0,4,1,8,7,4,30,12
"PG_RS11120",2,5,7,11,13,4,8,9,8,37,7,35,35,15,53,13
"PG_RS11125",4,0,0,3,3,1,1,0,0,3,1,2,8,5,27,3
"PG_RS11135",17,10,33,42,28,14,49,34,25,106,39,111,91,88,190,84
"PG_RS11140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11150",8,10,10,26,24,22,16,19,20,103,26,51,79,50,150,75
"PG_RS11170",287,282,402,613,556,382,573,668,328,1282,293,901,1359,419,2293,1158
"PG_RS11175",482,150,149,869,895,279,195,326,824,1685,825,413,2097,536,4280,501
"PG_RS11180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11190",1,1,1,1,0,2,4,1,3,13,2,8,7,6,8,9
"PG_RS11195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11200",2,0,2,2,3,0,1,1,3,7,4,6,11,4,17,9
"PG_RS11205",1,0,0,0,2,1,1,0,2,1,0,0,5,0,8,4
"PG_RS11210",0,2,3,6,3,1,7,1,1,6,6,10,16,2,48,19
"PG_RS11215",8,8,15,17,36,12,19,19,24,71,30,47,79,34,181,37
"PG_RS11220",17,13,19,28,37,22,19,20,25,91,20,61,65,50,138,88
"PG_RS11230",0,0,0,4,0,0,2,0,2,5,1,0,3,4,17,4
"PG_RS11235",50,24,10,105,34,10,14,12,56,148,61,41,83,57,117,40
"PG_RS11245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11255",62,19,25,57,86,37,28,25,69,136,69,79,116,42,288,49
"PG_RS11260",19,19,28,41,38,32,46,19,28,198,59,152,108,116,306,175
"PG_RS11265",25,18,21,78,74,47,43,38,46,177,51,80,209,99,381,130
"PG_RS11270",20,20,15,37,38,31,28,24,33,119,29,51,104,77,163,112
"PG_RS11275",7,0,3,13,7,9,14,12,16,28,7,37,20,15,55,22
"PG_RS11280",16,8,25,25,15,17,21,13,25,98,29,143,66,32,137,80
"PG_RS11285",2,0,0,1,4,1,2,0,4,13,1,4,6,2,44,1
"PG_RS11290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11295",13,26,26,48,52,50,52,28,28,125,39,73,96,104,213,120
"PG_RS11300",11,17,37,46,32,19,59,38,10,84,18,136,58,37,138,163
"PG_RS11305",12,15,19,28,39,29,32,20,21,133,16,36,53,69,115,76
"PG_RS11310",12,16,20,56,44,41,47,31,34,159,15,74,74,117,198,114
"PG_RS11315",2,1,1,2,1,2,2,0,0,2,2,3,9,1,14,5
"PG_RS11325",3,4,7,10,15,9,3,10,9,15,4,11,26,12,52,8
"PG_RS11335",0,0,0,0,1,1,7,0,1,5,2,14,3,2,22,2
"PG_RS11340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11345",120,43,54,248,183,168,74,58,166,431,155,126,403,330,758,243
"PG_RS11350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS11355",0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
"PG_RS11360",0,0,0,0,3,2,0,2,0,1,1,0,1,1,12,0
"PG_RS11365",79,23,25,109,104,51,50,36,129,329,94,91,285,166,438,131
"PG_RS11370",4,5,6,6,8,7,9,2,3,14,8,14,22,29,54,19
"PG_RS11375",72,33,26,78,55,50,29,35,55,152,41,72,127,76,264,81
"PG_RS11380",7,2,9,22,17,15,8,5,22,73,19,28,53,24,189,37
"PG_RS11385",7,3,13,9,18,13,16,8,13,60,15,37,51,17,100,43
"PG_RS11390",7,1,3,3,2,3,2,2,13,29,10,40,14,17,65,22
"pheS",1113,937,1430,1998,1891,1659,2232,1977,1068,5711,1087,3947,3850,2040,7704,4847
"php1",54,40,81,132,111,81,127,81,62,363,77,248,256,171,672,321
"pncB",1159,822,1098,1919,1792,1266,1271,1526,1449,5174,1382,3533,4772,1811,8527,3695
"polA",1323,1783,2849,2857,3325,2405,2989,3287,1745,8625,2362,9487,7649,2722,14334,8751
"porQ",1384,1072,1794,4104,2924,2826,2516,1935,1594,9462,1946,4924,5487,4120,9352,5740
"porU",1420,1432,2378,2626,3909,3011,4636,3874,1887,9231,2105,9379,9873,4651,20111,12857
"porV",1309,894,857,1598,2384,1518,1411,1876,1555,5436,1244,3119,6289,2307,8678,4170
"prfA",511,504,1001,1070,1111,600,1309,1299,565,2870,633,3562,2452,909,6150,2962
"priA",360,394,532,786,867,683,996,885,632,3313,741,2971,3034,1567,6240,3777
"prmA",115,136,200,199,261,274,396,201,110,608,143,582,491,289,880,650
"prmC",495,451,846,913,911,881,1197,773,426,1732,486,1707,1416,881,2955,1807
"pruA",570,583,1233,920,1868,471,666,2212,1109,3834,1015,4640,7008,536,12709,4635
"pssA",360,297,595,823,692,624,936,666,354,1591,369,1457,1267,800,2185,1525
"pta",705,1001,1487,1758,2213,1517,2432,2887,648,4800,867,3673,3021,1655,9292,5947
"ptk1",690,596,1051,1620,1205,979,1400,1199,639,3548,740,2373,2465,1519,5334,2723
"purB",1030,638,1029,2211,2778,2038,2138,2046,1570,6482,1547,3532,7614,3698,12566,5819
"purD",856,783,877,1290,1551,1027,1120,1378,840,3628,774,2234,3245,1410,5712,3030
"purE",250,324,502,555,583,339,650,660,264,1615,334,1289,1216,481,2564,1630
"purH",2436,1788,3170,4700,5243,2622,5183,4683,2407,11000,2660,8902,10412,4516,19629,10622
"purL",3478,4372,6817,6415,7487,3991,7287,8960,2795,15328,3565,17056,12349,4017,25476,15293
"pyrB",911,1292,2077,2271,2283,1592,2329,2532,1145,6326,1407,6456,5296,1903,9829,6757
"pyrF",2030,1983,3102,4488,3298,3690,4482,3425,1975,10654,2140,8702,6417,4427,11670,9551
"queA",609,512,561,1146,1771,1041,1157,1652,793,3543,800,2057,4487,2433,8121,3797
"queC",68,49,81,100,121,113,174,120,75,381,81,325,456,430,968,572
"queF",1352,1140,1867,4620,3143,3737,3338,2186,1468,9127,1920,4564,4713,5302,9183,6784
"queG",131,114,180,231,167,183,244,139,159,655,142,520,412,277,994,571
"radA",819,907,1511,1959,1844,1127,2096,2092,902,4608,1042,4337,4491,1669,8941,5249
"radC",38,60,55,61,99,56,84,89,62,206,69,151,209,60,489,158
"raiA",14050,14063,13901,23555,25283,20928,19101,20990,16064,63207,16407,46584,47417,26412,81373,42782
"rbfA",289,210,260,456,418,409,382,371,283,886,326,627,987,534,1536,856
"recA",3376,3510,4599,5610,6082,4319,6070,5684,3754,12812,3915,14366,12989,5064,18509,12099
"recF",599,400,699,1375,981,839,784,787,862,4505,928,2429,3692,2207,6500,3000
"recG",853,736,996,1508,1517,927,1352,1636,933,3450,720,3089,3534,1311,6280,3217
"recJ",594,594,810,925,1102,620,762,926,653,2788,690,2559,2543,862,4714,2088
"recN",417,466,692,836,1028,582,880,976,522,2160,536,2008,2045,784,4121,2107
"recQ",821,637,1074,1939,1811,1132,1717,1739,1054,5519,1212,4040,4708,2215,12914,4269
"recR",82,131,251,189,380,124,360,475,90,672,166,945,656,196,1888,1230
"rfbA",1196,909,1562,2520,2732,1692,2394,2326,1182,6200,1317,3888,5272,2636,10317,4848
"rfbB",832,725,1144,1398,1956,1194,1520,1928,1016,4127,992,3684,4764,1645,8934,4563
"rfbC",93,91,179,266,272,177,321,299,118,653,143,600,630,303,1432,677
"rfbD",249,295,553,562,703,400,689,758,311,1528,340,1727,1283,544,3217,1845
"rgpA",20164,47389,64465,45702,69458,24116,57590,113049,19017,120325,37714,177171,141300,23073,398444,174943
"rgpB",4755,8427,10877,9696,14270,3933,7914,20036,5649,38421,10121,40374,36628,5085,86513,38034
"ribD",301,343,421,409,710,299,540,587,265,1196,361,1112,1408,415,2007,964
"ribF",297,288,430,638,514,456,505,446,368,1873,371,1384,1302,595,2394,1274
"rimM",110,101,159,186,259,144,260,226,116,610,165,669,640,300,1326,677
"rimO",821,984,2284,2605,2013,1573,3049,2497,903,6997,1234,6605,4210,2557,9848,7399
"rlmB",148,214,357,344,549,179,498,734,144,897,232,1194,869,189,2626,1111
"rlmD",304,500,787,773,798,566,1219,959,335,2185,430,2653,1664,859,3890,3238
"rlmH",348,517,1085,746,1099,405,1297,1818,246,2246,453,3356,1635,432,5025,3289
"rlmN",123,146,267,298,372,261,445,394,157,1055,222,984,1022,565,2250,1443
"rmuC",429,537,816,1204,961,952,1166,1047,439,2350,531,2059,1823,1229,3610,2483
"rnc",2251,1538,2455,4943,2868,2637,2278,2686,2514,12779,2081,7102,8116,4362,12406,7683
"rnpB",1841,821,972,3372,2967,2209,1254,1276,3151,8394,2666,2464,10333,4362,18004,3599
"rnr",1206,1564,2430,2353,2785,1688,2702,3261,1046,6137,1529,7253,5453,1980,11417,6864
"rny",2933,3021,4645,6695,5670,4862,6230,6059,3371,19241,4144,14935,13878,8222,27778,17379
"rocD",3944,2958,4526,6533,9733,4211,2832,10303,10068,21069,5551,16139,43165,3535,61838,21478
"rpiB",523,808,861,803,1112,405,654,1416,513,2382,628,2970,2520,477,4882,2340
"rplB",595,816,1827,1747,1705,1309,2733,2292,440,5411,771,5137,3133,2049,10690,6597
"rplC",1094,1791,5113,4481,4361,2957,8244,6690,869,14545,1941,16061,7749,5054,25044,20402
"rplD",472,711,1406,1506,1764,815,2090,2636,451,4412,750,4729,3405,1961,10458,5877
"rplE",3311,3113,6662,8399,6572,5365,10263,8049,2780,22168,3684,18749,13633,8481,28679,21319
"rplF",350,514,916,750,1493,431,1426,1951,310,2438,464,2464,1772,498,7047,3192
"rplK",796,849,1764,1867,2670,1001,2585,2902,688,5616,1045,6154,5060,1708,12417,7512
"rplL",336,523,893,893,1542,510,1162,1448,391,2902,696,3515,2423,788,11311,3790
"rplM",354,432,641,831,841,511,1061,1077,221,2856,446,1803,1716,954,5402,3584
"rplN",222,552,1368,922,1468,304,2086,2448,119,2724,500,4912,1734,299,8494,5489
"rplO",54,68,188,169,295,83,272,286,47,554,103,674,338,114,2064,622
"rplP",293,726,1444,1099,1942,472,2304,3218,245,3581,733,5997,2248,466,13676,7397
"rplQ",748,475,766,1953,1310,1221,1164,1025,839,4743,1096,2614,3477,2308,6022,2806
"rplS",3932,1255,2541,12314,6395,6513,4056,2418,4541,26927,6163,6580,13836,22531,32547,12086
"rplT",83,47,57,163,124,64,62,97,84,408,91,122,313,219,683,269
"rplU",1171,783,1542,3222,2271,2540,2148,1487,1146,6952,1409,3578,5742,4096,9685,5318
"rplV",132,246,557,335,716,146,754,1022,102,1331,238,1980,992,215,4491,2213
"rplW",246,326,539,533,767,325,766,1174,208,1600,341,1946,1375,405,4538,2274
"rplX",323,728,1613,1107,1794,363,2461,2985,211,3710,637,5576,2840,394,11128,6222
"rpmA",63,57,80,139,137,84,134,122,56,462,75,284,388,161,1749,336
"rpmC",431,516,1039,1556,1261,1038,1776,1787,350,3707,658,3697,2509,1457,6558,4839
"rpmD",15,17,43,58,72,33,67,77,25,165,28,166,120,52,400,203
"rpmF",111,52,80,212,166,155,101,77,170,653,156,165,444,461,1369,300
"rpmG",132,54,104,347,235,175,165,110,175,879,171,244,606,403,2129,413
"rpmH",14,7,24,43,37,22,37,16,25,140,40,77,94,80,398,46
"rpmI",329,230,330,1056,658,716,544,443,388,2390,459,728,1236,1336,2881,1734
"rpmJ",978,602,786,1419,1403,893,1143,1219,805,3190,791,2524,3435,1391,4363,2855
"rpoB",6224,6054,10148,12876,13749,7613,14508,15211,6012,36397,7052,40298,30495,12760,70070,40832
"rpoC",4365,3980,6365,10355,10697,4961,8759,10307,4822,27331,6136,23734,26198,10459,51652,25782
"rpoN",470,361,598,792,699,551,598,622,504,2188,468,1603,1837,810,3673,1639
"rpsA",1539,2028,3478,3719,4046,2392,5351,5345,1036,11877,1910,9044,8406,3404,19395,13126
"rpsB",509,618,884,1277,1198,729,1326,1933,374,3949,717,3579,2936,1420,9430,5266
"rpsC",514,973,1939,1642,2338,953,2847,3553,400,5330,965,7061,3696,1393,15385,8585
"rpsD",259,426,771,805,1002,608,1045,1182,242,2555,431,2540,1539,866,6356,2830
"rpsE",541,634,1325,1430,1455,1344,2279,1616,542,4409,715,4060,3096,2052,7784,5123
"rpsG",2716,3761,8586,10016,8294,7036,14873,10719,1924,27679,3643,21520,12408,9133,31511,31335
"rpsH",316,415,758,807,1185,755,1366,1525,211,2004,353,2187,1791,780,5138,3071
"rpsI",215,351,553,746,637,469,787,1045,207,2299,383,1810,1691,860,4305,3101
"rpsJ",174,430,835,747,1049,313,1345,1752,140,2512,374,3285,1353,326,6245,4115
"rpsK",139,206,305,398,523,261,511,606,154,1293,243,1220,902,465,3316,1478
"rpsM",1039,1110,1933,2689,2326,2296,3027,2226,987,6807,1328,5262,4617,3206,9491,6612
"rpsN",535,718,1717,1805,1773,1578,2700,1735,743,5081,1119,5063,3087,2568,7740,5225
"rpsO",392,147,196,632,552,445,223,170,490,1811,475,416,1113,1197,2454,685
"rpsQ",351,510,1177,1112,1373,580,1873,2124,256,3180,551,4036,2103,736,9905,4569
"rpsR",408,343,405,747,715,517,609,738,264,1979,371,1484,1759,740,5099,1951
"rpsS",69,133,260,235,335,120,352,492,75,735,163,983,657,139,3665,1172
"rrf_1",280,101,132,941,572,347,156,139,617,1965,1051,401,1939,543,8978,539
"rrf_2",303,100,121,888,555,348,165,165,590,1922,981,391,2013,599,9232,560
"rrf_3",309,89,118,934,545,329,194,148,631,1853,978,422,2030,590,8954,538
"rrf_4",297,111,128,919,546,322,186,157,606,1834,1014,370,2033,599,9144,563
"rseP",491,379,576,1121,1065,777,998,876,651,3130,654,2021,2757,1567,4697,2509
"rsgA",444,446,669,688,902,604,1080,933,616,2563,618,3490,2683,1135,5178,3141
"rsmA",498,536,984,773,978,661,1216,989,508,2173,535,2837,2022,722,3757,2232
"rsmG",405,405,839,996,1116,676,1185,1149,369,2275,500,2601,1806,906,4518,2714
"rsmH",936,899,1575,2161,1844,1830,2492,1681,875,4819,963,4137,3567,2275,6749,4148
"rsmI",3151,3523,8235,7923,9001,6145,9878,9459,3762,23824,5734,31639,20418,7067,51535,24505
"rsxC",379,588,1275,1359,1484,964,3055,2190,1369,12281,2673,13708,9904,3832,28408,16242
"ruvA",418,487,588,725,881,515,818,832,547,2370,671,2189,2020,959,3941,2484
"ruvB",1012,813,1934,3114,2002,2419,3109,1686,1072,6889,1290,4306,4013,3283,8424,5658
"ruvC",90,167,280,241,339,155,356,382,114,667,208,1147,700,199,1742,968
"ruvX",1010,755,1385,1983,1552,1716,2243,1401,879,3956,751,2442,2858,2373,5994,3966
"scpA",1051,1586,2043,2219,2781,1727,3137,3663,985,5931,1553,6685,5904,1961,10840,6788
"secA",5333,5168,9394,15692,15319,9992,12933,15106,5746,37586,7995,30260,33474,14320,70901,34394
"secE",198,292,527,555,1015,200,839,895,174,2190,360,1714,1664,349,4823,2243
"secG",5035,3661,3947,9579,7142,7777,5223,4937,7205,32474,7258,14885,26609,20683,36428,24662
"secY",712,1099,2292,2136,3404,1269,3334,4355,695,6673,1307,8477,4677,2186,17799,8685
"selD",228,212,331,380,445,341,476,443,240,1064,334,1121,1189,575,2473,1173
"serB_1",652,701,1192,1526,1705,949,1410,1764,670,3668,816,3295,3649,1249,6834,3191
"serB_2",691,633,1134,1972,1167,1543,1873,1192,695,4815,785,3732,2653,2540,4600,4306
"serC",6322,8122,10822,15253,15504,14098,16771,17235,5483,35965,7176,22692,22694,14160,47455,36674
"serS",214,210,338,453,460,384,653,486,214,1450,265,1101,1104,668,2871,1458
"smpB",255,180,304,453,520,247,499,401,384,1417,404,1421,1177,407,2519,1151
"sppA",5825,4519,5683,9369,8879,6213,7827,7134,5525,18650,5000,12748,14578,7159,26608,13891
"sprA",7181,5873,9225,15355,11231,9683,12650,9622,9241,40301,10276,36700,28563,14647,48704,29000
"ssb",142,108,192,305,325,182,243,279,159,735,185,632,666,249,1445,553
"ssrA",29567,22232,40604,88932,62169,74881,53330,33903,45273,225839,50622,104961,148279,117359,292318,123337
"sufB",1323,984,852,2191,2873,1873,1511,2186,1725,5922,1901,2536,8463,4023,12888,5096
"sufC",245,401,634,618,1025,364,918,1383,278,2157,450,2236,2126,676,6757,3190
"sufD",1142,1237,2227,2772,3254,1926,3032,3507,1405,9015,1861,7511,8332,4526,17404,9755
"sulP",888,892,1269,1711,1563,1339,1912,1685,851,4809,889,3346,3037,2445,6153,4713
"surE",238,331,818,605,899,378,1158,1077,249,2077,424,3465,1708,484,4972,2799
"tgt",602,564,1009,1364,1175,994,1462,1160,687,3999,893,3059,3087,1713,6800,3907
"thiC",58,97,138,169,143,137,233,170,95,533,114,577,425,223,1085,660
"thiH",70,93,121,94,94,93,93,90,98,521,126,516,312,174,785,402
"thiL",81,86,207,181,202,146,297,233,106,559,129,802,560,236,1359,628
"thiS",5,2,16,8,11,6,23,15,4,24,5,43,20,14,79,39
"thrS",2401,2806,5141,7400,8541,5758,9860,8638,2254,17244,3751,13538,14684,7249,35478,20895
"tig",755,1081,3281,2845,2741,2319,6144,3218,792,9444,1613,10667,6626,3889,15199,12055
"tilS",124,96,172,198,190,140,200,125,187,782,199,592,646,486,1426,626
"topA",1763,1800,2468,4657,2966,2663,4037,3507,1546,10465,2129,6224,6086,4424,14366,10513
"topB",1265,1496,2114,2392,2369,2011,3960,2577,1454,5936,1717,9031,6107,2596,10334,6387
"tpx",296,280,176,573,997,807,433,566,360,1431,452,566,2259,1769,4256,1705
"traG",85,53,59,139,80,79,90,81,121,430,118,303,359,169,841,345
"traJ",36,23,35,69,70,44,62,49,37,180,36,138,152,105,387,189
"traK",11,12,16,20,18,9,24,18,5,58,22,39,49,25,171,56
"traM",57,29,35,60,59,42,48,50,68,172,50,87,159,88,445,168
"traN",28,25,25,36,35,27,27,32,22,136,35,90,99,53,309,159
"trkA",652,887,1674,2101,1117,1015,1697,1224,704,5103,1054,4812,2518,1288,4919,3715
"trmB",339,257,375,625,598,322,583,533,298,1284,363,1052,1279,421,2670,1015
"trmD",305,338,525,602,713,522,955,676,324,1535,334,1328,1213,527,2556,1549
"trpS",401,388,865,903,1046,574,1302,1136,342,2379,477,2426,1730,659,4729,2372
"truA",529,520,1157,1592,745,1078,1898,979,447,3759,515,2933,1958,1706,4336,3960
"truB",320,262,569,716,489,466,780,509,359,1852,386,1948,1550,888,2663,1779
"trxA",1523,532,521,3194,2658,1621,797,951,2329,6101,2541,1045,7494,5099,14025,2898
"trxB",756,990,1680,2067,2632,2602,2853,2387,763,5706,1044,3274,4923,3498,9816,6602
"tsaB",350,309,439,651,609,678,858,627,274,1307,299,874,838,761,1991,1393
"tsaD",177,177,342,330,474,309,601,538,202,1211,258,1571,1085,634,2644,1621
"tsaE",141,136,235,259,493,129,408,565,124,600,136,670,831,186,1985,861
"tuf",8769,10230,13886,17933,17778,15931,19496,21745,8994,60152,11297,45786,41057,22751,78131,68770
"typA",1832,1828,3278,4163,2751,2449,4752,3565,1703,11553,1971,10363,7863,4869,16842,13104
"ubiE",52,75,155,146,169,97,233,222,63,459,95,577,426,177,1235,670
"udk",254,253,419,532,533,286,548,635,231,1473,373,1701,1338,578,2931,1532
"umuD",810,729,1454,2548,1753,2521,2444,1330,930,4922,942,3286,2755,2838,5028,3998
"ung",357,323,370,638,549,425,431,412,470,1824,411,1228,1613,927,2495,1337
"upp",2203,2338,2821,5900,4262,5426,5323,4455,2618,12954,3463,8891,8604,7785,16646,16381
"uvrA_1",718,546,806,1478,1610,1078,1254,1186,961,3579,904,2707,3845,1669,10801,3025
"uvrA_2",330,314,593,645,750,480,822,764,394,1941,433,2196,2003,877,4551,2132
"uvrB",929,1262,1855,2148,2102,1326,2358,2511,970,6080,1418,5862,5016,1856,11228,6910
"uvrC",817,937,1589,2086,2095,1688,2385,2223,681,3898,841,3675,3148,1436,6605,4308
"wecB",248,210,236,534,501,379,321,256,413,1430,471,757,1428,718,2018,836
"wecC",358,263,560,1064,863,569,779,610,568,3116,701,1953,2401,1246,5124,2395
"xpt",314,305,370,640,740,566,831,820,391,1889,428,1805,1922,981,3093,1854
"xseB",11,10,16,10,13,8,21,10,11,32,10,43,48,7,134,47
"xth",459,594,593,871,1207,545,909,1471,502,2077,556,1947,2477,579,4328,2318
"yaaA",232,305,329,360,860,271,465,821,247,1409,375,1816,2115,496,4496,2252
"yajC",703,585,875,1242,1387,1316,1198,966,894,3403,824,2075,2219,1530,6173,2957
"ybaK",88,103,266,156,259,120,384,283,68,507,117,906,531,213,1669,791
"ybeY",36,33,49,92,95,54,79,69,52,282,51,197,222,122,506,206
"ychF",2591,2053,3404,4937,4654,3147,5315,4196,2148,9478,2393,9200,7982,3691,14714,8323
