"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0390",257,236,240,316,298,341
"BP1026B_I0391",160,130,133,238,216,233
"BP1026B_I0392",330,248,262,372,348,379
"BP1026B_I0393",418,324,384,378,369,377
"BP1026B_I0394",179,109,110,129,124,149
"BP1026B_I0395",2210,1891,2197,2784,2733,3125
"BP1026B_I0396",1763,1126,1242,1058,1052,1145
"BP1026B_I0397",1005,502,583,642,612,693
"BP1026B_I0398",55006,53458,62002,74198,74195,84388
"predicted RNA",25856,48758,60707,65413,66129,66132
"BP1026B_I0399",851,724,864,624,610,624
"BP1026B_I0400",14600,16115,19797,28876,28505,32880
"BP1026B_I0401",6801,8238,10183,15208,14824,16437
"BP1026B_I0402",13345,8737,10350,14797,15092,16917
"BP1026B_I0403",259,158,187,193,190,190
"BP1026B_I0404",1011,568,679,369,377,411
"BP1026B_I0405",807,481,609,271,268,311
"BP1026B_I0406",710,417,456,386,372,420
"BP1026B_I0407",2569,1647,2060,1577,1559,1865
"BP1026B_I0408",385,250,285,348,332,366
"BP1026B_I0409",620,334,433,428,461,502
"BP1026B_I0410",260,162,170,157,153,170
"BP1026B_I0411",759,516,564,595,559,607
"BP1026B_I0412",2455,1678,1803,1922,1887,2175
"BP1026B_I0413",741,488,545,386,411,419
"BP1026B_I0414",632,391,462,408,387,439
"BP1026B_I0415",4036,3136,3845,3250,3114,3641
"BP1026B_I0416",542,521,587,712,754,837
"BP1026B_I0417",4541,3054,3395,3588,3663,3992
"BP1026B_I0418",1901,947,1002,724,746,738
"BP1026B_I0420",2931,1485,1727,1733,1694,1824
"predicted RNA",7186,4088,4695,5432,5569,6188
"BP1026B_I0419",1948,1488,1756,1599,1529,1690
"BP1026B_I0421",2936,2193,2435,2235,2142,2366
"BP1026B_I0422",1018,700,842,785,728,825
"BP1026B_I0424",372,196,236,263,243,244
