"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu1g03870",721,611,634,412,305,274,271,277,253,197,237,247
"Afu1g03880",1898,1432,1392,1479,1351,1024,743,691,649,411,427,524
"Afu1g03890",1583,1422,1453,1378,904,841,1422,1729,1252,896,862,1232
"Afu1g03910",974,866,850,713,653,440,869,1006,748,397,420,618
"Afu1g03920",2308,1850,1890,1989,1265,1493,918,1425,756,843,744,1058
"Afu1g03930",1196,977,984,1560,1339,1102,1523,1253,1353,931,897,1128
"Afu1g03940",2528,2092,2067,2769,2269,2043,4163,4089,3679,3598,3369,4308
"Afu1g03950",3942,3060,3052,3172,2784,1990,10854,9239,9822,8013,6776,9347
"Afu1g03960",1124,1057,944,1322,1028,786,1173,1348,1034,925,860,1339
"Afu1g03970",5296,4476,4397,6796,5709,4621,4178,4730,3755,5337,4387,6012
"Afu1g03992",1863,1574,1724,2029,1359,1399,1955,1564,1604,1213,1052,1420
"Afu1g04010",1083,856,901,1198,757,824,544,494,435,306,331,429
"Afu1g04020",2239,1999,1915,2139,1931,1601,1991,1849,1708,1408,1295,1781
"Afu1g04040",9000,6896,6426,7163,6463,4935,12355,10931,10917,16448,15357,21005
"Afu1g04062",2559,2203,2109,1351,951,1107,1087,1107,848,885,819,1091
"Afu1g04070",35325,28645,28313,40009,39414,29306,24363,30358,20619,36877,36413,43994
"Afu1g04080",2809,2284,2392,2797,2298,2094,2861,2523,2340,2248,2066,2677
"Afu1g04090",138,99,89,137,129,64,242,270,199,124,139,216
"Afu1g04100",606,381,425,514,406,364,154,242,133,147,149,166
"Afu1g04110",1389,1175,1194,1679,1138,1136,410,432,379,243,220,306
"Afu1g04120",191,162,173,245,262,164,263,554,254,204,211,305
"Afu1g04130",5398,4961,4466,8208,5443,5610,16623,12219,14689,8579,6888,9818
"Afu1g04140",501,445,403,1278,756,933,357,385,325,163,163,239
"Afu1g04150",345,257,261,10446,3341,7922,1282,2404,1127,171,680,814
"Afu1g04160",5794,4158,4547,6551,22475,4556,77,112,61,353,459,620
"Afu1g04170",713,610,564,1049,1387,783,378,393,289,304,270,384
"Afu1g04190",2518,1948,1849,4892,5692,3356,2797,3244,2477,4064,3365,4539
"Afu1g04210",2949,2722,2813,3644,2911,2704,1643,1851,1420,1426,1296,1686
"Afu1g04220",164,144,137,219,166,179,180,133,151,94,132,155
"Afu1g04230",343,260,255,503,374,389,406,295,338,241,301,388
"Afu1g04240",2153,1744,1758,2098,2301,1773,622,586,546,574,599,726
"Afu1g04250",308,270,261,398,324,258,277,276,219,234,257,326
"Afu1g04260",7429,6220,5975,3796,5471,3037,1287,1673,1205,778,713,927
"Afu1g04270",3510,2732,2479,1887,1843,1349,3006,4751,2778,3051,2318,3021
"Afu1g04280",1482,1133,1074,1778,1715,1138,1284,1477,1136,1546,1281,1992
"Afu1g04290",4343,3703,3611,4113,2787,2753,1583,2274,1341,1498,1276,1838
"Afu1g04300",820,1027,971,1307,1663,1355,31,463,34,96,109,197
"Afu1g04310",935,1123,1112,680,829,653,70,264,79,66,50,102
"Afu1g04315",529,398,332,326,243,172,1816,1669,1569,1481,1179,1584
"Afu1g04320",7426,4667,4874,4750,4668,3033,16385,16185,14946,25884,21993,32304
"Afu1g04330",656,570,522,420,384,315,290,329,252,203,170,272
"Afu1g04340",2668,2445,2455,1966,1471,1500,1283,1500,1168,958,776,1278
"Afu1g04350",346,291,315,204,124,143,98,122,88,60,58,82
"Afu1g04360",2470,2148,2120,2679,1824,1638,2174,1981,1999,1565,1239,1822
"Afu1g04370",627,458,364,754,1035,618,339,352,311,472,427,575
"Afu1g04380",850,848,893,885,724,739,379,493,345,212,251,383
"Afu1g04390",940,855,957,1738,1298,1308,401,434,336,136,168,175
"Afu1g04400",1117,977,872,1645,1825,1385,1364,1270,1240,1358,1394,1804
"Afu1g04410",1524,1346,1325,1892,1556,1358,962,891,907,809,741,1063
"Afu1g04420",1254,950,968,463,443,331,251,183,182,202,174,251
"Afu1g04430",27451,23975,25466,10551,13483,7540,4372,2972,4081,3335,3259,4727
"Afu1g04440",2729,2500,2606,2579,3288,1743,962,1097,831,738,710,1026
"Afu1g04450",1400,1192,1184,1161,1088,789,2055,2962,1873,1728,1607,2393
"Afu1g04455",80,81,92,84,78,76,22,31,31,35,29,37
"Afu1g04460",591,444,480,540,462,374,498,391,437,485,471,679
"Afu1g04470",986,783,745,1459,1500,1092,841,811,745,1204,1105,1511
"Afu1g04480",1471,1417,1505,1338,1349,824,593,561,470,271,253,330
"Afu1g04485",83,53,57,60,89,59,34,16,14,24,26,40
"Afu1g04490",3061,2593,2707,2571,2223,1785,2757,2179,2223,1602,1637,2145
"Afu1g04510",119,81,80,92,99,49,89,77,84,90,82,115
"Afu1g04520",1417,1211,1159,1617,1272,1143,940,793,801,633,709,878
"Afu1g04530",5337,3539,3629,2066,2088,1269,7782,7589,7000,11874,10220,14750
"Afu1g04540",961,677,701,1134,966,697,3189,3375,2881,3776,3341,4997
"Afu1g04550",2530,1936,1920,840,722,605,1956,2404,1667,2457,2491,3136
"Afu1g04560",3614,3016,3050,3766,3055,2220,6015,5251,5429,1724,1372,2014
"Afu1g04570",405,330,336,555,380,341,360,506,321,227,216,310
"Afu1g04575",2187,1787,1643,1275,924,972,1697,3051,1396,360,432,534
"Afu1g04580",541,453,418,625,462,407,631,637,587,500,483,685
"Afu1g04590",1271,940,1096,1706,1602,862,1071,1136,942,374,382,624
"Afu1g04600",1491,1329,1265,579,523,456,587,941,490,347,371,532
"Afu1g04610",791,668,595,674,562,444,492,678,472,463,405,587
"Afu1g04620",13739,11199,10424,6893,6732,4839,12796,20173,11610,13521,11667,17268
"Afu1g04630",159,138,119,77,61,50,189,282,168,188,157,186
"Afu1g04640",2780,2219,2264,3351,2790,1988,2335,1647,2108,1331,1198,1621
"Afu1g04650",0,0,0,0,0,0,0,0,0,1,0,0
"Afu1g04660",10356,7852,7779,4054,3631,3392,11215,10874,9912,18214,15843,21947
"Afu1g04670",10406,9688,9800,12686,10261,8707,6495,5937,6005,4693,3912,4857
"Afu1g04680",2720,2699,2697,2832,3654,2319,1775,2579,1564,1816,1888,2520
"Afu1g04690",1774,1496,1524,1701,1862,1187,652,683,531,479,497,613
"Afu1g04700",3593,3335,3456,2625,2079,1869,2958,2400,2612,1737,1525,2082
"Afu1g04710",1518,1122,1157,1824,1877,1302,838,873,706,749,691,1028
"Afu1g04720",821,533,608,1075,708,757,586,603,507,417,393,557
"Afu1g04730",445,358,368,290,203,203,164,182,166,119,100,156
"Afu1g04740",26,24,25,39,36,16,9,16,8,6,7,10
"Afu1g04750",2565,1976,2204,3071,4734,1683,1055,1133,928,598,724,1149
"Afu1g04760",1482,1072,982,647,660,448,881,789,824,1236,1148,1470
"Afu1g04770",1314,1202,1196,1975,1481,1392,722,655,573,516,470,648
"Afu1g04780",6799,6312,5564,8684,8067,6137,1406,1577,1237,1304,1286,1771
"Afu1g04790",5531,4714,4844,8256,6746,5341,5236,4066,4861,3620,3066,4247
