"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"SAR0193",1884,3961,3236,3440,2213,2417,1151,1713,686,757,1034,667
"SAR0194",1105,1750,1348,1232,1100,1073,540,844,325,365,632,397
"SAR0195",0,0,0,3,1,0,0,0,0,0,0,0
"SAR0196",484,958,783,1054,1525,1608,2073,2656,2018,2145,1263,1204
"SAR0197",1573,1769,1408,803,948,1426,2583,2846,2200,2121,1185,1549
"SAR0198",183,230,206,493,600,500,456,488,335,367,578,422
"SAR0199",45,100,59,83,93,82,160,335,109,111,185,135
"SAR0200",16,78,47,48,58,51,216,419,107,29,147,96
"SAR0202",82,160,120,359,268,246,292,805,291,195,576,383
"SAR0204",24,38,38,74,134,146,265,221,257,159,333,318
"SAR0205",159,310,175,435,658,976,1182,1859,1754,993,832,764
"SAR0206",399,564,511,826,1286,1354,3133,5680,3980,1096,747,461
"SAR0207",847,919,682,1284,1671,1729,3910,8247,3932,715,639,356
"SAR0208",406,251,226,390,623,691,1537,3783,1282,239,254,143
"SAR0209",605,747,658,944,1009,1055,1880,5356,1368,408,454,298
"SAR0210",540,620,472,749,778,698,1145,3509,743,313,410,362
"SAR0211",587,587,466,566,679,693,926,2789,508,417,521,456
"SAR0212",103,72,48,32,29,27,40,152,192,11,54,44
"SAR0214",350,374,356,374,380,452,531,449,426,707,461,402
"SAR0215",186,239,197,338,493,520,775,735,768,871,709,605
"SAR0216",125,154,115,162,192,269,359,353,266,473,479,437
"SAR0217",79311,106940,96137,19990,10451,13113,30018,11018,2489,35603,12064,13670
"SAR0218",29481,41297,34773,10196,5004,6327,10157,3835,619,12216,2888,2722
"SAR0219",9,4,2,8,4,5,21,9,1,2,12,14
"SAR0220",74,142,85,173,191,252,824,764,1025,632,971,978
"SAR0221",19,43,34,16,21,24,75,91,66,45,238,210
"SAR0222",72,137,134,200,170,142,325,914,1115,142,608,579
"SAR0228",31,71,59,40,74,82,81,88,62,60,139,68
"SAR0229",271,553,382,755,513,550,555,532,660,888,561,575
"SAR0230",331,931,776,1101,1262,1485,1708,1242,524,1453,2698,2672
"SAR0231",62,215,167,244,236,309,258,157,34,202,443,439
"SAR0232",283,514,471,303,293,443,919,487,146,632,1127,1088
"SAR0233",3552,7974,6623,4653,4978,5638,10884,6260,1613,8004,13606,12510
"SAR0235",301,506,472,661,855,412,724,600,315,525,786,625
"SAR0236",117,461,316,525,347,329,354,348,475,325,471,365
"SAR0237",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0238",43,73,69,89,105,108,127,229,201,190,393,320
"SAR0240",9,18,14,17,15,20,27,59,27,25,95,75
"SAR0241",11,37,15,33,30,36,20,43,23,49,61,49
"SAR0242",63,156,107,234,261,250,169,257,198,365,618,427
