"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00277",1188,96,943,327,1270,1149,1456,831,464
"ACCFDFCE_00278",10052,3705,10827,7911,12790,11673,15024,27867,4363
"ACCFDFCE_00279",614,359,873,335,593,571,699,276,344
"ACCFDFCE_00280",137,101,146,70,121,133,146,101,66
"ACCFDFCE_00281",295,556,441,182,290,307,363,225,157
"ACCFDFCE_00282",63,135,75,46,76,74,82,59,27
"ACCFDFCE_00283",188,273,248,107,114,156,163,130,95
"ACCFDFCE_00284",242,431,378,160,216,212,268,169,130
"ACCFDFCE_00285",262,438,376,150,225,215,216,160,135
"ACCFDFCE_00286",544,646,891,326,408,424,473,259,302
"ACCFDFCE_00287",29309,9544,96348,23143,44736,42642,55457,33099,29232
"ACCFDFCE_00288",4441,2175,17330,5442,11417,10435,12644,6951,4664
"ACCFDFCE_00289",4467,2915,19293,6996,13275,12150,15231,7883,5356
"ACCFDFCE_00290",15252,13212,72485,35920,63064,57182,74977,26652,18561
"ACCFDFCE_00291",397,515,738,357,608,452,688,229,198
"ACCFDFCE_00292",66,41,93,51,50,61,50,54,24
"ACCFDFCE_00293",138,41,201,49,131,107,151,40,65
"ACCFDFCE_00294",1666,4460,1698,3179,1868,2130,2149,2450,690
"ACCFDFCE_00295",2688,1485,4335,1120,1669,1579,2075,1093,1652
"ACCFDFCE_00296",4390,2208,7530,1750,2777,2752,3252,1676,2992
"ACCFDFCE_00297",1767,862,2406,660,948,926,1131,618,976
"ACCFDFCE_00298",1989,1388,2764,2480,1687,2148,2210,516,1025
"ACCFDFCE_00300",1395,905,1911,1557,1848,1591,2203,1575,699
"ACCFDFCE_00301",177,157,239,517,296,255,361,315,81
"ACCFDFCE_00302",226,285,329,668,317,341,383,329,139
"ACCFDFCE_00303",410,310,631,716,479,534,564,285,238
"ACCFDFCE_00304",1092,1527,1979,4316,848,847,1147,640,638
"ACCFDFCE_00305",374,841,815,2042,446,413,519,355,252
"ACCFDFCE_00306",66,446,96,102,126,105,109,170,34
"ACCFDFCE_00307",127,136,174,149,218,188,209,201,74
"ACCFDFCE_00308",838,665,1283,809,1071,1062,1191,734,454
"ACCFDFCE_00309",1534,1087,2275,1491,1929,1757,2224,1207,806
"ACCFDFCE_00310",1273,732,1664,1179,1163,1242,1459,925,690
"ACCFDFCE_00311",237,241,345,301,229,244,312,195,133
"ACCFDFCE_00312",1893,2412,2291,1690,1572,1598,1845,1650,914
"ACCFDFCE_00313",559,381,898,516,535,610,680,379,309
"ACCFDFCE_00314",492,393,923,923,1140,993,1160,824,310
"ACCFDFCE_00315",171,145,330,346,440,469,472,315,121
"ACCFDFCE_00316",81,55,134,178,191,219,202,133,36
"ACCFDFCE_00317",51,89,112,205,179,153,155,214,40
"ACCFDFCE_00319",364,337,347,317,309,319,369,202,133
"ACCFDFCE_00320",588,920,820,719,636,577,768,584,236
"ACCFDFCE_00321",426,561,662,435,554,443,640,458,199
"ACCFDFCE_00322",1673,1634,2240,1462,1377,1561,1764,1015,847
"ACCFDFCE_00323",56,20,88,29,41,34,61,23,28
"ACCFDFCE_00324",2025,2491,2831,1792,1321,1287,1581,1829,1119
"ACCFDFCE_00325",3293,3549,3969,2721,1449,1698,2099,2452,1623
"ACCFDFCE_00326",302,283,263,202,104,84,168,198,94
"ACCFDFCE_00328",130,66,178,93,118,110,153,62,58
"ACCFDFCE_00329",26,32,48,28,28,31,49,29,15
"ACCFDFCE_00330",88,68,152,88,140,107,142,114,38
"ACCFDFCE_00331",3,1,3,0,1,3,0,3,2
