"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00456",32,50,46,1,5,19
"SAOUHSC_00457",18,29,27,2,0,11
"SAOUHSC_00458",4,1,2,0,2,1
"SAOUHSC_00459",32,38,33,3,3,17
"SAOUHSC_00461",326,331,370,26,36,140
"SAOUHSC_00462",85,108,101,9,4,51
"SAOUHSC_00463",30,22,21,1,3,9
"SAOUHSC_00464",59,39,55,4,3,16
"SAOUHSC_00465",909,844,940,139,159,456
"SAOUHSC_00466",124,107,123,7,15,25
"SAOUHSC_00467",91,97,117,8,20,45
"SAOUHSC_00468",114,176,147,11,20,45
"SAOUHSC_00469",133,148,147,14,44,59
"SAOUHSC_00470",0,1,0,0,0,0
"SAOUHSC_00471",165,221,184,23,17,95
"SAOUHSC_00472",351,511,405,43,31,195
"SAOUHSC_00473",5,13,17,0,1,4
"SAOUHSC_00474",765,1109,1148,58,66,412
"SAOUHSC_00475",27,47,41,0,3,3
"SAOUHSC_00477",118,160,149,6,10,59
"SAOUHSC_00479",55,65,49,1,8,21
"SAOUHSC_00480",78,89,99,6,15,39
"SAOUHSC_00481",10,17,22,0,3,6
"SAOUHSC_00482",25,32,46,0,5,13
"SAOUHSC_00483",248,322,318,25,26,152
"SAOUHSC_00484",94,103,110,10,15,25
"SAOUHSC_00485",101,134,142,4,13,45
"SAOUHSC_00486",2171,2366,2378,117,363,564
"SAOUHSC_00487",127,102,115,8,18,56
"SAOUHSC_00488",241,301,266,11,54,67
"SAOUHSC_00489",30,30,24,1,7,16
"SAOUHSC_00490",10,11,15,0,0,5
"SAOUHSC_00491",31,49,55,3,8,17
"SAOUHSC_00492",14,33,45,1,5,9
"SAOUHSC_00493",513,614,623,40,68,185
"SAOUHSC_00497",5,5,8,1,0,1
"SAOUHSC_00499",117,100,93,3,0,17
"SAOUHSC_00500",70,69,73,3,4,10
"SAOUHSC_00501",318,335,395,39,16,283
"SAOUHSC_00502",29,54,40,3,10,17
"SAOUHSC_00503",30,30,26,3,7,6
"SAOUHSC_00504",53,89,81,6,6,19
"SAOUHSC_00505",215,277,268,25,56,106
"SAOUHSC_00507",112,93,119,10,23,68
"SAOUHSC_00508",80,79,70,7,8,48
"SAOUHSC_00509",266,304,378,29,57,112
"SAOUHSC_00510",28,42,29,2,6,7
"SAOUHSC_00511",94,85,111,6,21,29
"SAOUHSC_00512",15,15,12,1,2,4
"SAOUHSC_00513",32,35,42,2,10,12
"SAOUHSC_00514",38,49,53,8,11,18
"SAOUHSC_00515",59,54,59,9,2,11
"SAOUHSC_00516",121,86,108,10,15,44
"SAOUHSC_00517",276,293,359,19,41,140
"SAOUHSC_00518",1092,1509,1345,82,145,396
"SAOUHSC_00519",1172,1544,1473,123,151,442
