"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_09020",94,15,88,111,94,224,73,85,159,103,42,96
"t145_t084_09030",2436,755,1834,5217,2624,9588,2137,2452,5764,3528,1064,3315
"t145_t084_09040",13755,1019,4116,6567,15419,14929,4650,2811,33043,6855,2733,3485
"t145_t084_09050",17012,1293,6009,7923,18059,17145,5499,3329,49287,8536,3415,4205
"t145_t084_09060",20346,1309,5955,8167,21847,18249,5334,3193,56444,8505,3613,4237
"t145_t084_09070",13319,5703,10413,38231,15357,66647,10849,16208,21876,44419,5522,20606
"t145_t084_09080",13241,3201,8033,17439,13230,40260,10490,11756,44518,21412,5391,12636
"t145_t084_09090",612,158,531,1501,560,2122,444,865,1601,1036,273,946
"t145_t084_09100",4967,1467,3756,13921,4701,25039,4797,10022,13261,14386,2632,9703
"t145_t084_09110",17501,7391,10199,48338,18416,118217,11427,20875,49726,56260,6517,22457
"t145_t084_09120",48729,8068,20399,46637,66103,81588,13892,22229,63953,44270,10147,28893
"t145_t084_09130",27260,2585,16476,18848,27489,41627,20839,11675,83857,31891,11517,15417
"t145_t084_09140",54760,5018,38649,35303,56845,68060,33873,21107,178512,47426,20753,28111
"t145_t084_09150",17409,2844,13655,19267,20256,37098,12749,10490,51918,20102,7561,13167
"t145_t084_09160",13632,2011,9649,11187,15056,21810,6825,5590,41076,10164,4065,7431
"t145_t084_09170",58693,5904,44229,37184,59121,79953,41665,21050,179238,52971,25560,29019
"t145_t084_09180",7354,618,4784,3349,7840,9655,4274,1836,21692,5620,2830,2732
"t145_t084_09190",73203,6342,52499,40260,70426,98478,61933,23302,211684,68442,38266,36514
"t145_t084_09200",13805,2483,7722,15351,16175,31497,10064,5716,38561,11878,4703,5848
"t145_t084_09210",52004,8104,29178,42336,55616,94458,33160,17175,157413,49104,17223,18809
"t145_t084_09220",48356,4247,22396,19888,46097,57754,25891,7576,147493,27960,14766,9377
"t145_t084_09230",52630,4162,30416,22090,51740,56087,41275,9009,155377,33842,22125,13134
"t145_t084_09240",39132,2585,22427,11876,39281,33217,21144,4339,119496,17635,12924,7889
"t145_t084_09250",63190,4487,45987,21675,67166,54638,50975,9748,187414,40827,30038,16719
"t145_t084_09260",12238,2943,8939,22174,11713,44652,11896,10912,31979,22364,5422,9787
"t145_t084_09270",11504,2292,7801,16003,12691,37192,9241,8428,30537,14772,4634,7776
"t145_t084_09280",333,72,391,617,585,785,651,509,198,639,389,591
"t145_t084_09290",6359,3212,2334,13938,5844,43064,2524,5368,17518,17684,1350,4862
"t145_t084_09300",128355,21739,72545,105298,141610,310642,79084,47785,382711,161703,41467,58109
"t145_t084_09310",4190,423,3293,3554,3958,7363,2711,1858,10568,3011,1815,2661
"t145_t084_09320",6060,8380,8165,59200,9063,133020,6472,25589,9846,39575,4437,30765
"t145_t084_09330",1016,109,1323,2275,1896,1697,3001,942,7204,1259,701,829
"t145_t084_09340",2360,298,3370,5355,3280,4825,4634,2241,13305,3973,1656,2265
"t145_t084_09350",12942,3042,11347,23715,11568,55485,11812,15806,35136,30325,8028,18393
"t145_t084_09360",52658,32393,36142,175216,57608,427067,32862,69731,163690,150181,19604,75387
"t145_t084_09370",7329,1415,4599,9422,6888,20892,5288,4325,22303,10198,3476,7961
"t145_t084_09380",2762,1454,4173,12556,3097,23168,4076,7474,12542,8890,2416,6853
"t145_t084_09390",1998,927,944,6465,1832,16775,987,2609,5601,6176,582,2929
"t145_t084_09400",600,206,303,1767,663,4977,329,939,1714,2489,211,978
"t145_t084_09410",7116,2615,3707,15998,8198,46727,4273,6946,21348,18573,2395,6947
"t145_t084_09420",3163,1087,2567,7244,3366,17217,3840,3863,8828,11807,1954,4177
"t145_t084_09430",29536,9441,33147,56162,38163,89889,28996,27716,66402,34540,20614,30648
"t145_t084_09440",25644,4717,26230,24728,31238,46987,25687,14358,80967,18609,16040,15310
"t145_t084_09450",1112,501,640,4755,930,9654,945,3089,2945,5982,482,3093
"t145_t084_09460",13666,1902,14482,14276,15146,23586,13537,9351,44059,17527,8601,10984
"t145_t084_09470",10906,1557,10401,9486,12419,17961,10926,6694,37351,14681,6727,7818
"t145_t084_09480",26416,2874,15578,18543,29800,42056,23199,11896,88085,29247,12081,13034
"t145_t084_09490",24033,2524,13221,14500,29348,25584,12997,6251,81418,13408,6658,7112
"t145_t084_09500",40403,3886,27763,29000,38615,54548,37945,17964,131516,36294,20593,21738
"t145_t084_09510",604,139,147,533,407,1496,248,377,1638,648,109,310
"t145_t084_09520",3273,1117,1387,7570,2419,14445,1952,4971,7976,6667,1074,4023
"t145_t084_09530",839,320,597,2508,954,6026,649,1567,2961,2557,397,1354
"t145_t084_09540",1531,451,719,2862,1124,6997,875,2105,3493,3507,496,1691
"t145_t084_09550",1420,308,818,2624,1511,7197,991,1651,4008,3794,549,1575
"t145_t084_09560",13214,1420,9666,4698,11307,24067,8011,3729,31859,10945,3673,6478
"t145_t084_09570",5155,532,9300,10477,8369,12570,9611,9026,11614,7158,8011,10502
"t145_t084_09580",4169,1200,2992,8398,4726,17986,3702,4198,13636,6328,1898,4490
