"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS10965",1041,459,1001,100,154,206
"JYA73_RS10990",992,1506,2397,259,538,493
"JYA73_RS11020",5959,5237,14764,412,872,732
"JYA73_RS11065",212,223,380,62,107,125
"JYA73_RS11080",625,1134,2059,244,389,353
"JYA73_RS11095",2183,1248,3240,404,680,891
"JYA73_RS11100",1674,2051,2595,439,669,717
"JYA73_RS11115",2028,1138,2358,225,337,360
"JYA73_RS11140",667,511,808,112,176,197
"JYA73_RS11220",3072,905,2048,304,483,790
"JYA73_RS11260",515,186,437,79,130,217
"JYA73_RS11265",18304,13005,27445,3145,6599,5673
"JYA73_RS11270",2607,919,2517,103,131,183
"JYA73_RS11320",265,114,186,15,35,41
"JYA73_RS11325",1192,361,578,58,112,253
"JYA73_RS11335",729,218,662,59,98,155
"JYA73_RS11340",8,5,10,0,2,1
"JYA73_RS11360",797,702,1289,128,202,247
"JYA73_RS11365",259,107,236,18,27,22
"JYA73_RS11370",328,315,547,45,89,99
"JYA73_RS11400",387,507,1378,205,289,347
"JYA73_RS11405",624,1173,2124,217,360,438
"JYA73_RS11430",286,132,113,39,53,39
"JYA73_RS11505",100,352,704,47,58,87
"JYA73_RS11510",102,222,563,36,45,53
"JYA73_RS11535",6128,3795,6447,839,1989,1362
"JYA73_RS11560",3123,5109,8072,1182,2365,1722
"JYA73_RS11565",3510,2762,7956,582,1019,1105
"JYA73_RS11570",1602,2697,3792,557,826,1143
"JYA73_RS11630",4519,3700,13804,859,1641,1184
"JYA73_RS11670",922,447,823,159,248,270
"JYA73_RS11675",1075,1443,2553,161,370,283
"JYA73_RS11680",603,1124,1872,47,88,61
"JYA73_RS11685",521,966,1697,23,40,28
"JYA73_RS11690",531,877,1507,24,24,37
"JYA73_RS11695",880,1542,2178,34,75,57
"JYA73_RS11700",1495,3295,4967,108,176,175
"JYA73_RS11705",449,732,974,13,51,27
"JYA73_RS11710",427,543,760,14,27,15
"JYA73_RS11715",557,534,866,14,26,26
"JYA73_RS11730",4393,4828,6408,930,1757,1572
"JYA73_RS11775",66,205,267,26,55,59
"JYA73_RS11780",102,283,405,38,60,78
"JYA73_RS11785",18,113,64,16,7,14
"JYA73_RS11810",145,1364,607,120,162,253
"JYA73_RS11815",2870,11853,8376,1222,2095,3550
"JYA73_RS11905",38,153,149,18,29,31
"JYA73_RS11910",58,245,199,28,36,58
"JYA73_RS11920",1532,1258,2033,371,627,545
"JYA73_RS11960",121,200,401,41,80,78
"JYA73_RS11975",23,19,44,1,3,2
"JYA73_RS11990",656,782,1211,177,316,325
"JYA73_RS11995",1386,1301,2176,364,735,705
"JYA73_RS12040",173,449,1830,31,56,49
"JYA73_RS12045",1930,1852,2796,509,727,1104
"JYA73_RS12055",1341,599,2485,63,181,118
"JYA73_RS12080",31,23,47,4,18,9
"JYA73_RS12085",236,335,855,58,96,126
"JYA73_RS12090",17,26,104,4,5,12
"JYA73_RS12095",112,211,374,40,67,70
"JYA73_RS12100",453,522,865,146,263,233
"JYA73_RS12170",1873,4943,7620,665,1538,1082
"JYA73_RS12175",3618,6349,23008,1694,2880,2932
"JYA73_RS12180",34572,21200,97628,6571,14088,9542
"JYA73_RS12185",2669,2752,1189,64,163,129
"JYA73_RS12195",166,308,512,57,81,96
"JYA73_RS12280",1947,1062,4990,468,832,977
"JYA73_RS12285",630,375,1379,141,224,375
"JYA73_RS12290",179,215,433,41,51,70
"JYA73_RS12330",731,1173,1145,196,437,561
"JYA73_RS12335",6059,2923,3545,607,1109,1595
"JYA73_RS12340",10764,17881,8549,1000,1988,1675
"JYA73_RS12380",82,36,85,8,20,35
"JYA73_RS12385",3151,5779,10922,368,818,788
"JYA73_RS12390",5030,8400,18338,382,580,772
"JYA73_RS12405",1382,3015,12765,622,1230,1173
"JYA73_RS12420",33519,55555,37751,3278,7769,5319
"JYA73_RS12425",60323,128386,101708,21015,46338,33475
"JYA73_RS12430",1176,999,2741,49,132,108
"JYA73_RS12435",790,2049,3118,249,564,430
"JYA73_RS12440",2671,5551,10687,659,1186,1063
"JYA73_RS12445",18,13,22,4,4,5
"JYA73_RS12510",6281,16718,26683,1274,2452,2414
"JYA73_RS12515",603,811,1926,261,473,474
"JYA73_RS12565",852,1005,1153,228,379,363
"JYA73_RS12580",4279,11684,14537,1780,3220,3032
"JYA73_RS12630",117,272,757,84,124,84
"JYA73_RS12645",21,29,92,4,16,15
"JYA73_RS12675",55,75,99,6,25,21
"JYA73_RS12680",21,41,34,4,5,10
"JYA73_RS12685",7,15,23,0,2,6
"JYA73_RS12705",14,30,56,9,9,10
"JYA73_RS12710",157,73,180,25,53,46
"JYA73_RS12750",161,337,406,74,112,129
"JYA73_RS12755",46,105,119,14,27,25
"JYA73_RS12760",90,213,205,19,45,32
"JYA73_RS12790",84,445,160,45,81,83
"JYA73_RS12805",824,850,3743,163,307,304
"JYA73_RS12810",174,153,373,22,34,48
"JYA73_RS12875",47649,45856,40084,1444,2466,2757
