"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS07675",341,514,537,407,717,365,358,556,402,436,363,284
"NWMN_RS07680",1409,1180,1564,1310,1746,968,949,1327,901,1084,962,919
"NWMN_RS07685",3193,1936,3196,2035,3465,1978,1746,2922,2312,2164,1499,1683
"NWMN_RS07690",18204,11399,15354,20467,30076,19221,10928,14026,14514,12935,13843,10235
"NWMN_RS07695",10082,5986,10213,5979,7088,6580,6007,6644,7750,4435,3178,3370
"NWMN_RS07700",5733,3501,5548,3180,3447,2727,3020,4013,3376,2145,1965,1705
"NWMN_RS07705",5156,3384,5149,2610,2769,2534,2792,3395,3414,1811,1250,1480
"NWMN_RS07710",2828,2031,3226,1607,1762,1474,1777,2191,2096,1287,760,1013
"NWMN_RS07715",102,69,30,60,76,47,62,101,38,30,65,45
"NWMN_RS07720",44140,24605,44999,41404,42771,38617,25493,30828,32588,32979,32245,26189
"NWMN_RS07725",1855,1671,2569,1100,2038,1475,2525,2464,3374,956,1085,504
"NWMN_RS07730",2378,2022,2593,1485,2443,1660,2513,3023,3161,1296,1601,849
"NWMN_RS07735",5539,4150,5280,3324,5043,3538,5766,6522,6906,2601,2991,1727
"NWMN_RS07740",12080,6497,9292,6568,8788,7115,10987,12488,13295,5562,5685,3699
"NWMN_RS07745",4690,2593,4000,2598,3571,3118,4701,5648,5843,2751,2491,1725
"NWMN_RS07750",5017,2717,3531,2846,3379,3056,4839,5607,5638,2711,3003,2123
"NWMN_RS07755",0,0,11,0,2,0,0,0,0,0,0,0
"NWMN_RS07760",3047,1713,2801,2861,3150,2917,1704,1943,2087,7330,1694,5107
"predicted RNA",6843,2575,5415,4363,5062,4202,3323,3662,4168,3626,2417,2314
"NWMN_RS07765",16009,9965,12137,12004,14166,10121,9358,11578,10675,9891,7869,7033
"NWMN_RS07770",15971,8480,10883,9353,13836,8413,7705,12667,8665,7232,7033,5216
"NWMN_RS07775",1529,1257,1326,1261,1522,1133,1096,1391,1375,1178,1051,1067
"NWMN_RS07785",42291,19010,28037,38623,35005,29696,24616,25050,24760,35893,32725,26603
