"gene_id","WT_T6_Rep1_S62","WT_T6_Rep2_S63","WT_T6_Rep3_S64","walR_T6_Rep1_S71","walR_T6_Rep2_S72","walR_T6_Rep3_S73","tunR_T6_Rep1_S80","tunR_T6_Rep2_S81","tunR_T6_Rep3_S82"
"SA_RS08510",386.5,60.5,2036.5,59.5,1481,1606,2459.5,1016.5,2159
"SA_RS08515",535.5,80.5,3147,127.5,2127,2290,3172.5,1655.5,3176
"SA_RS08520",1018,165,7327.5,224,4465,5044,6268,2413,6778
"SA_RS08525",157,23,1954,23,1191,1436,1628,466,1934
"SA_RS08530",483.5,67,3789,84,2339,2563,3103.5,1324,4174
"SA_RS08535",345.5,49,1981,62,1270,1432,1707.5,1162,2772
"SA_RS08545",946,240,10659,80,2308,4686,4543,4836.5,14938.5
"SA_RS08550",451,172,6432,103,1576,2864,2440,2925.5,8435.5
"SA_RS08555",2006,317,16614,414,8281,9421,11462,5717,16828
"SA_RS08560",4319.5,417.5,19864,1432,26209.5,19711.5,29563,6674,18434.5
"SA_RS08565",4894.5,453.5,10544,1458,17389.5,13522.5,20069,8490,11103.5
"SA_RS08570",405.5,58,2784.5,94,1995,2114.5,2249.5,1022,2527.5
"SA_RS08575",416.5,48,3193.5,81,2357,2409.5,2628.5,864,3048.5
"SA_RS08580",469,92,4125,105,3095,2947,2897,1131,3421
"SA_RS08585",811,113,7246.5,156,4345.5,4890.5,5913,2128,6953
"SA_RS08590",612,133,3222.5,166,2207.5,2307.5,2834,1849,3045
"SA_RS08595",711,112,3519,125,2343,2311,3204,2220,3547
"SA_RS08600",538,154,4699,210,2601,3098,3595,800,3913
"SA_RS08605",678,73,3014,191,2380,2829,2278,1616,2850
"SA_RS08610",655,121,3149,156,1957,1898,2343,1469,3390
"SA_RS08615",11,4,199,0,78,101,113,35,181
"SA_RS08620",726,201,6543,94,1428,2334,2693,2916,6027
"SA_RS08625",1087,272,5717,441,2988,3504,4018,2831,5864
"SA_RS08630",3512,313,18269,761,17997,14555,26707,7841,18145
"SA_RS08635",994,103,5151,133,3736,4143,4960,2343,5270
"SA_RS08640",925,130,7053,178,5308,5147,6154,2275,6216
"SA_RS08645",54,0,384,6,329,330,628,96,387
"SA_RS08650",224.5,51,1570.5,78,1289,1422.5,1757.5,465.5,1359
"SA_RS08655",274.5,15,1429.5,39,1118,1110.5,1538.5,578.5,1268
"SA_RS08660",15,0,127,0,67,106,147,17,171
"SA_RS08665",1096,237,11460,309,6984,8729,9326,2595,11475
"SA_RS08670",69,10,667,15,314,445,320,119,505
"SA_RS08675",1139,261,11812,317,8733,9618,9280,2624,10577
"SA_RS08680",23,8,164,0,55,88,163,41,164
"SA_RS08690",184,32,740,20,552,598,599,349,866
"SA_RS08695",160,30,985,34,596,761,884,329,1118
"SA_RS08700",81,16,1093,22.5,579.5,916.5,569.5,271,1250
"SA_RS08705",138,24,1500,31.5,584.5,1065.5,584.5,354,1507
"SA_RS08710",17.5,1,109.5,3.5,49,83,75,34,108.5
"SA_RS08715",239.5,43,2688.5,36.5,1251,2130,1753,540,2987.5
"SA_RS08720",344,32,1565,58,1412,1247,2001,697,1574
"SA_RS08725",418,78,2787,73,2187,2199,2835,1064,2976
"SA_RS08730",764,130,5930,192,4135,4736,5049,1830,7224
"SA_RS08735",517,62,2821,120,2610,2519,3017,1353,2350
"SA_RS08740",124.5,26.5,1360,30,849.5,1102.5,1158.5,401,1281.5
"SA_RS08745",2.5,1.5,72,1,40.5,41.5,41.5,3,34.5
"SA_RS08750",18,6,387.5,16,190,480.5,162,101,560
"SA_RS08755",0,0,5.5,0,1,9.5,2,1,11
"SA_RS08760",5339,1113,26382,1221,17000,16738,20624,16590,27857
"SA_RS08765",118,112,2221,22,272,510,453,1079,2707
"SA_RS08770",16,8,503.5,8,138,163.5,258.5,120,624
"SA_RS08775",104,46,1251.5,12,177,447.5,499.5,570,1498
"SA_RS08780",557,269,5075,240,1896,2371,2365,2257,5160
"SA_RS08785",0,0,7,0,0,2,4,1,13
"SA_RS08790",825,155,4900,162,2679,3687,4717,2190,6318
"SA_RS08795",2,0,14,0,15,24,4,4,15
"SA_RS08800",732,876,7717,963,5238,8826,4313,1436,9735
"SA_RS08805",846,198,9351,277,6335,8223,4122,2298,7008
"SA_RS08810",902.5,58,7307.5,130,5098,5953.5,5768,2466,6271.5
"SA_RS08815",2420.5,683,16299.5,833,11233.5,12946,13416,5206,16346.5
"SA_RS08820",246,54,1920,50,1329,1559.5,1518.5,628,1754
"SA_RS08825",190,18,2270,28,1640.5,1828,1689.5,637,1848
"SA_RS08830",189,60,780,89,723,624,688,517,700
"SA_RS08835",903,133,3653,168,2849,2899,3699,2233,4001
"SA_RS08840",165,12,1516,14,958,880,923,552,726
"SA_RS08845",206,38,959,41,647,574,871,525,1045
"SA_RS08850",979.5,95.5,9260.5,215.5,5091.5,7090.5,9173.5,2447,10083.5
"SA_RS08855",2323.5,272.5,12038.5,356.5,7404.5,8245.5,11187.5,6112,12177.5
"SA_RS08860",1269.5,164.5,10719.5,230.5,6636.5,8220.5,10128.5,3636,10536.5
"SA_RS08865",2739.5,473.5,14137.5,554.5,9812.5,10288.5,12522.5,8562,17335.5
"SA_RS08870",340,196,5375.5,245,3061,4826,2667,657,5245
"SA_RS08875",277,31,3362,52,2090.5,2610.5,3116.5,529.5,2933
"SA_RS08880",170,31,2517.5,40,1561.5,1661.5,1855.5,509.5,1836
"SA_RS08885",303,67,1784,128,1233,1188,1616,694,1564
"SA_RS08890",88,38,840,32,356,548,671,279,874
"SA_RS08895",425.5,108,1274.5,126,1078.5,1113.5,1512.5,912,1688.5
"SA_RS08900",1403.5,170,7683.5,355,5816.5,5545.5,7343.5,3526,8003.5
"SA_RS08905",89,14,1143,6,779,831,792,299,997
"SA_RS08910",242.5,104,1728.5,87.5,1248,1445,840.5,748.5,1245.5
"SA_RS08915",96.5,12,902.5,6.5,571,654,500.5,277.5,669.5
"SA_RS08920",165,8,2646,37,1392,1671,1381,440,2062
"SA_RS08925",502,44,2838,99,1840.5,2202.5,4097,841.5,3278
"SA_RS08930",10,0,15,0,33.5,22.5,182,5.5,15
"SA_RS08935",309,25,1848,12,715,916,2266,588,2550
"SA_RS08940",1501.5,10,315.5,26,1943,714.5,6225.5,304.5,268
"SA_RS08945",7168,51.5,1326.5,323.5,8110.5,2927.5,32001,1186.5,1255
"SA_RS08950",2425.5,13.5,715.5,108,3749.5,1536.5,15932.5,435.5,745
"SA_RS08955",5785,53,1851.5,492.5,9005,3621.5,31968,1242.5,2044
"SA_RS08960",102,18,856,38,608,784,576,352,893
"SA_RS08965",1,0,79,1,45,39.5,132.5,38.5,99.5
