"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"SAOUHSC_00399",33,38,37,59,57,67
"SAOUHSC_00400",995,1135,1385,1396,1106,1215
"SAOUHSC_00401",1537,1816,2426,2084,4540,4880
"SAOUHSC_00402",145,168,218,207,181,190
"SAOUHSC_00404",659,866,1009,1040,826,915
"SAOUHSC_00405",3076,3539,4597,5276,4770,4930
"SAOUHSC_00406",10629,11592,15335,16215,14224,15189
"SAOUHSC_00407",2350,2491,3265,3203,2810,2903
"SAOUHSC_00408",1880,1970,2824,2735,2408,2530
"SAOUHSC_00409",352,528,612,710,569,530
"SAOUHSC_00410",4670,7685,9234,12065,8704,8158
"SAOUHSC_00411",909,1386,1726,2135,1406,1370
"SAOUHSC_00412",3646,5794,5207,5829,4473,4987
"SAOUHSC_00413",12294,21247,17255,17435,12477,13088
"SAOUHSC_00414",4086,5005,5500,5532,4365,4385
"SAOUHSC_00415",331,373,496,494,453,456
"SAOUHSC_00416",2102,3094,3880,4272,3536,3492
"SAOUHSC_00417",2515,3123,3999,4468,3836,3866
"SAOUHSC_00418",1,6,3,13,6,6
"SAOUHSC_00420",1084,1218,1310,1348,916,952
"SAOUHSC_00421",2830,3110,3615,3872,3551,3578
"SAOUHSC_00422",9419,10659,12880,13863,12365,12435
"SAOUHSC_00423",482,705,674,650,630,663
"SAOUHSC_00424",469,690,651,690,700,759
"SAOUHSC_00426",1377,1888,2031,2248,2175,2277
"SAOUHSC_00427",20416,24095,32402,36895,28880,27232
"SAOUHSC_00428",994,945,1643,1650,1306,1419
"SAOUHSC_00429",423,605,639,723,570,570
"SAOUHSC_00430",1039,1414,1487,1608,1366,1348
"SAOUHSC_00431",3009,3582,5165,6287,5190,5101
"SAOUHSC_00433",2093,2424,3129,3749,2753,2913
"SAOUHSC_00434",236,295,343,447,338,341
"SAOUHSC_00435",5497,8284,8362,9320,7823,7756
"gltD",2994,4550,4477,5013,4335,4301
"SAOUHSC_T00048",6520,9163,11828,7188,4908,4775
"SAOUHSC_00437",30089,41545,44297,46667,37406,35609
"SAOUHSC_00438",7318,9672,10645,15156,8831,8499
"SAOUHSC_00439",2536,3262,3528,4925,2855,2605
"SAOUHSC_00440",2,3,2,6,0,2
"SAOUHSC_00441",681,938,1206,1253,1144,1141
"SAOUHSC_00442",10549,13095,16207,17806,15674,15877
"SAOUHSC_00444",6461,7810,8898,8250,6864,7273
"recR",7914,8392,10820,10234,8981,9184
"SAOUHSC_00446",3,4,4,4,4,6
"SAOUHSC_R0001",106403,77889,74249,35022,37206,65342
"SAOUHSC_R0006",29973,32863,27485,12662,15465,26966
"SAOUHSC_R00011",0,0,0,0,0,0
"SAOUHSC_00450",1504,2129,2237,2358,2180,2211
"tmk",1399,1705,1988,2194,1801,1864
"SAOUHSC_00452",3979,5868,5643,5438,4562,4543
"SAOUHSC_00454",3096,3252,4387,4948,4220,4438
"SAOUHSC_00455",2329,2804,3101,3277,3057,2870
"SAOUHSC_00456",1307,1428,1786,1740,1556,1581
"SAOUHSC_00457",709,826,1112,1236,1011,985
"SAOUHSC_00458",152,217,250,224,243,188
"SAOUHSC_00459",1019,1317,1417,1555,1258,1369
"SAOUHSC_00461",18825,23784,30009,33228,29506,30109
"SAOUHSC_00462",7034,9027,10735,11062,9926,10081
"SAOUHSC_00463",1510,2141,2182,2400,2201,2345
"ksgA",3189,4366,4838,5154,4581,4823
"SAOUHSC_00465",13920,14150,22734,21602,17086,16907
"ipk",9743,12479,15194,16858,13906,13982
"SAOUHSC_00467",8904,13050,13072,13756,12286,11921
"SAOUHSC_00468",31212,41031,49211,54404,46362,48019
"SAOUHSC_00469",40909,58523,72260,80745,72618,74564
"SAOUHSC_00470",33,44,49,55,70,61
"glmU",7309,12929,10651,10884,9467,9458
"SAOUHSC_00472",15920,24683,29101,32444,28302,29324
"SAOUHSC_00473",657,994,911,760,514,533
"SAOUHSC_00474",60925,67150,94655,92916,57928,57672
"SAOUHSC_00475",1201,1384,1667,1652,1460,1491
"SAOUHSC_00477",18025,24856,27739,31169,25884,26363
"SAOUHSC_00479",7361,10499,11285,12772,10453,10632
