"gene_id","NRSA384.WT.1","NRSA384.WT.2","NRSA384.WT.3","NRSA384.389.4","NRSA384.389.5","NRSA384.389.6"
"SAUSA300_2359",7601,6944,10116,51525,45541,61280
"SAUSA300_2041",16938,23392,13312,6419,9386,8547
"SAUSA300_1729",8168,9237,8465,12062,10726,12218
"SAUSA300_1067",242,254,196,3103,3037,2672
"SAUSA300_1432",1534.19,1804.75,1056.58,860.042,550.55,591.729
"SAUSA300_1535",5570,7788,3518,1883,2031,1849
"SAUSA300_2323",937,1085,1076,1357,1388,1422
"SAUSA300_0326",39,34,70,543,409,534
"SAUSA300_0469",240,204,265,1923,1343,2012
"SAUSA300_1008",794,1049,548,268,322,278
"SAUSA300_2114",869,908,1168,1589,1410,1937
"SAUSA300_1842",7378,8684,7052,7882,7921,9846
"SAUSA300_0796",955,989,1365,7232,5402,7574
"SAUSA300_1315",2983,2900,3754,5767,4974,6584
"SAUSA300_2286",109,87,126,792,684,862
"SAUSA300_0274",4215,4811,4649,7322,5742,7860
"SAUSA300_0902",11872,11271,14683,21713,18887,23875
"SAUSA300_2315",6827,8255,7418,7179,8287,9984
"SAUSA300_0184",29,41,49,351,342,392
"SAUSA300_1875",350,421,393,556,465,577
"SAUSA300_2187",1676,1323,2674,19236,16294,19261
"SAUSA300_0382",1074,1350,1201,8557,7689,10151
"SAUSA300_2327",3995,4482,4010,5221,4837,6559
"SAUSA300_0373",1271,1762,968,710,619,570
"SAUSA300_0978",416,401,602,3130,2464,3318
"SAUSA300_1670",579,577,778,3995,3128,4042
"SAUSA300_1270",6448,6329,8056,12634,10911,13681
"SAUSA300_1291",191,151,252,1561,1223,1785
"SAUSA300_2381",1400,1505,1547,2347,2199,2544
"SAUSA300_0113",326728,285295,480080,315190,324214,464536
"SAUSA300_1802",329,420,325,263,320,307
"SAUSA300_1362",18529,22715,17112,12660,16119,12813
"SAUSA300_1990",207,206,300,1870,1796,1788
"SAUSA300_2388",1141,1057,1266,7115,5557,7544
"SAUSA300_0916",6091,6595,5929,8623,6696,9673
"SAUSA300_0889",495,460,681,3359,2791,3681
"SAUSA300_1230",861,901,608,573,503,515
"SAUSA300_0871",19608,21444,23564,36414,31548,39464
"SAUSA300_1539",1857,1734,2234,3331,2854,3988
"SAUSA300_2462",842,1024,1080,1544,1390,1510
"SAUSA300_2052",319,373,362,488,457,552
"SAUSA300_2402",3948,4634,3275,3870,3047,4203
"SAUSA300_2431",3230,3348,4237,6846,5777,7022
"SAUSA300_0508",1379,1193,1898,2320,1887,2483
"SAUSA300_0859",2367,2142,2972,4293,3842,4440
"SAUSA300_0884",4504,5877,3380,3138,2342,3459
"SAUSA300_1235",61,66,64,603,497,543
"SAUSA300_1596",628,584,900,4919,3685,4977
"SAUSA300_2262",4075,4915,3512,4352,3458,4094
"SAUSA300_0044",101,116,162,1012,743,1060
"SAUSA300_1208",335,460,239,148,135,149
"SAUSA300_1163",1805,1907,1571,1979,1854,2273
"SAUSA300_0663",3643,3584,4039,6689,5933,7126
"SAUSA300_0643",1475,1664,1588,1774,1994,2348
"SAUSA300_1191",444,576,774,4892,3816,6483
"SAUSA300_2274",244,250,264,305,312,289
"SAUSA300_2249",255,260,337,1964,2243,2313
"SAUSA300_0937",2293,3745,1878,949,1209,912
"SAUSA300_1538",2354,2076,2888,4053,3460,4826
"SAUSA300_2437",271,337,168,76,77,104
"SAUSA300_0342",387,573,401,298,364,346
"SAUSA300_1277",879,1270,681,494,482,548
"SAUSA300_2454",2844,3314,3143,4533,4371,4883
"SAUSA300_2544",1231,1856,932,617,610,564
"SAUSA300_0287",83,100,134,906,648,1024
"SAUSA300_0883",1483,1725,1648,2578,2189,2443
"SAUSA300_0202",48,69,48,657,471,638
"SAUSA300_0774",43,51,70,425,350,469
"SAUSA300_2079",24207,23275,28579,40097,38373,41134
"SAUSA300_2421",1697.01,1648.44,1859.52,3002.37,2205.46,3344.26
"SAUSA300_1973",76,80,108,600,592,780
"SAUSA300_0260",132,127,137,932,817,940
"SAUSA300_1125",13535,14509,10703,9230,11383,10769
"SAUSA300_1228",624,533,942,4918,4218,5603
"SAUSA300_2334",161,101,134,121,101,134
"SAUSA300_0078",1640,1337,2421,14218,11815,14596
"SAUSA300_2618",56,72,74,496,427,533
"SAUSA300_0849",2289,2589,3258,4881,4300,4989
"SAUSA300_0929",10247,12394,7971,5706,4293,9379
"SAUSA300_1020",1153,1295,1327,2122,1934,2308
"SAUSA300_2439",1988,2286,2018,3219,2362,2982
"SAUSA300_2133",348,375,406,2221,1858,2346
"SAUSA300_0179",98,105,132,735,690,977
"SAUSA300_0790",4035,4012,3926,6557,4760,5962
"SAUSA300_0797",468,507,665,3774,3061,3381
"SAUSA300_2306",84,91,122,142,110,148
"SAUSA300_2419",578,538,470,644,496.185,663
"SAUSA300_1210",953,966,886,1252,1190,1326
"SAUSA300_2494",871,811,1402,7050,6379,7788
"SAUSA300_0646",1051,1119,1329,2076,1944,2328
"SAUSA300_1272",2254,2889,1764,1942,1485,1881
"SAUSA300_1331",1301,1078,1739,2102,1826,2307
"SAUSA300_1876",164,177,203,1069,958,1212
"SAUSA300_2566",406,495,445,661,502,705
"SAUSA300_0932",2714,2522,2798,3705,3979,4159
"SAUSA300_2337",3797,2826,4888,3574,3201,5543
"SAUSA300_0914",162,171,216,1108,929,1177
"SAUSA300_1289",416,401,614,2979,2616,3078
"SAUSA300_0541",2154,2406,2276,3872,2992,3752
"SAUSA300_0050",651,878,514,331,434,397
"SAUSA300_1342",588,680,568,848,660,816
"SAUSA300_1888",1161,1207,1067,1679,1299,1601
"SAUSA300_1006",1884,2003,1851,3088,2399,2948
"SAUSA300_1211",354,378,320,433,298,466
"SAUSA300_1296",4609,5684,4168,5337,4820,5263
"SAUSA300_1484",206,225,134,115,87,98
"SAUSA300_1546",624,719,673,1089,882,1076
"SAUSA300_1562",43,48,69,492,355,446
"SAUSA300_1734",37,34,30,318,264,325
"SAUSA300_2082",8838,9065,7647,11628,8149,10502
"SAUSA300_0402",93,89,82,103,83,103
"SAUSA300_0949",59,63,82,592,745,738
"SAUSA300_2188",2547,2037,3957,25487,19376,28654
"SAUSA300_2233",139,159,158,1033,823,1080
"SAUSA300_2422",653,571,821,4109,3238,4604
"SAUSA300_2260",717,730,807,1331,1169,1514
"SAUSA300_2163",358,345,385,627,482,576
"SAUSA300_2481",152843,206208,106031,100775,53489,81169
"SAUSA300_0353",1000,1080,1091,1506,1566,1591
"SAUSA300_1082",2332,2156,2918,13607,13753,15418
"SAUSA300_0327",107,95,118,894,613,838
"SAUSA300_0547",4408.95,4939.97,6384.43,9166.73,7488.51,10773.9
"SAUSA300_0276",415,417,415,640,566,716
"SAUSA300_1869",6459,7315,5973,8916,6741,9547
"SAUSA300_1133",140,161,220,1195,981,1174
"SAUSA300_2300",1296,1474,1110,1411,1325,1454
"SAUSA300_0093",437,434,457,748,628,812
"SAUSA300_0143",18,28,35,239,231,275
"SAUSA300_2159",532,529,641,979,888,1168
"SAUSA300_0998",182,216,221,1247,1119,1495
"SAUSA300_2546",123,166,189,223,145,206
"SAUSA300_0708",236,227,323,1758,1283,1858
"SAUSA300_2190",4152,3613,5430,27612,21696,30826
"SAUSA300_2282",2444,2815,2839,16831,14620,16604
"SAUSA300_1299",2869,2821,3513,6083,5095,6675
"SAUSA300_2102",1331,1533,1482,2245,1986,2778
"SAUSA300_1357",588,568,782,3512,2997,3813
"SAUSA300_2109",496,566,686,3189,2747,3854
"SAUSA300_0858",3107,3373,3055,3508,4134,4125
"SAUSA300_2451",307,311,341,555,459,534
"SAUSA300_1600",1653,1538,2011,9709,7617,10566
"SAUSA300_2450",1323,1508,1226,1419,1582,1620
"SAUSA300_1214",97,109,123,791,632,739
"SAUSA300_2221",30,25,37,263,219,242
"SAUSA300_2492",189,227,249,360,309,357
"SAUSA300_1570",505,430,657,3830,2697,3696
"SAUSA300_2094",3101,3539,3258,5481,4538,5624
"SAUSA300_0315",28,20,25,259,179,315
"SAUSA300_1096",367,337,456,2157,1812,2370
"SAUSA300_0181",1817,1787,3183,16897,14222,18552
"SAUSA300_2625",55,57,46,464,378,531
"SAUSA300_1193",1048,906,1212,1831,1502,2149
"SAUSA300_2103",107,91,152,827,672,880
"SAUSA300_0360",44,61,62,427,341,487
"SAUSA300_1010",194,247,229,231,274,274
"SAUSA300_0207",166,208,185,244,220,284
