"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"KNNFDEDG_00530",10761,5107,5278,9237,5932,5786,6139,8583,6209,5709,6118
"KNNFDEDG_00023",1005,1002,1163,1522,1065,1133,1007,1275,1321,1191,654
"KNNFDEDG_01009",1556,751,629,1504,893,779,896,1490,950,814,1019
"KNNFDEDG_00025",177,387,848,406,784,531,756,498,1079,949,544
"KNNFDEDG_00026",3140,1565,3300,3988,2744,2372,2918,3785,3305,3427,2615
"KNNFDEDG_00028",49,15,80,46,11,144,97,53,25,128,123
"KNNFDEDG_01004",1166,540,803,1407,852,708,1218,1480,1071,1135,1059
"KNNFDEDG_01007",2749,916,1140,2705,1327,1213,1363,2493,1434,1497,1454
"KNNFDEDG_00043.t00",0,0,0,0,0,0,0,0,0,1,0
"KNNFDEDG_01399",3717,5456,4064,3223,4716,5860,4487,3370,4622,4160,5939
"KNNFDEDG_02240",178,92,711,155,129,1096,1024,206,142,1025,846
"KNNFDEDG_01395",366,67,115,241,70,104,86,274,76,105,91
"KNNFDEDG_01397",1217,193,602,1216,151,668,616,984,184,644,435
"KNNFDEDG_01396",132,19,19,125,23,25,28,139,28,27,34
"KNNFDEDG_01391",821,594,1036,983,763,888,1069,830,1023,981,1151
"KNNFDEDG_01390",582,391,213,634,584,237,466,584,608,255,504
"KNNFDEDG_02548.t00",0,0,0,0,0,2,2,0,0,0,0
"KNNFDEDG_00752.t00",403,424,283,448,345,313,279,314,441,266,350
"KNNFDEDG_00654.t00",82,34,126,159,39,88,104,144,63,106,97
"KNNFDEDG_01041.t00",7,2,1,7,6,0,1,2,2,0,6
"KNNFDEDG_00626",166,224,190,151,321,119,289,164,360,127,361
"KNNFDEDG_00627",2321,330,564,2542,572,570,394,2419,559,788,391
"KNNFDEDG_00624",254,261,647,357,458,308,712,336,495,457,947
"KNNFDEDG_00157",2146,866,2424,3012,1291,1604,1715,2729,1406,2591,1634
"KNNFDEDG_00150",5856,3457,4579,5331,3817,3868,2674,5091,3621,3912,3241
"KNNFDEDG_00151",1373,553,396,1834,961,268,541,1586,1200,398,585
"KNNFDEDG_00620",408,283,344,430,415,166,340,476,489,248,422
"KNNFDEDG_00621",262,157,405,386,382,172,407,446,470,245,464
"KNNFDEDG_00228.t00",19,8,17,51,30,33,49,37,16,36,5
"KNNFDEDG_00159",5053,2435,3558,4569,2874,3160,2236,4738,3153,3047,2380
"KNNFDEDG_00628",5153,2652,1697,4980,3182,1263,1614,4469,3966,1509,2004
"KNNFDEDG_00629",162,39,106,160,27,70,40,90,40,67,45
