"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS05630",1917,4100,2739,3560,4367,3964,2242,1413,1435
"KQU62_RS05635",1150,2126,1484,2049,2524,2223,1601,1139,1187
"KQU62_RS05640",3878,7764,5101,8215,10488,9014,5801,3619,3960
"KQU62_RS05645",119,261,163,374,420,392,218,133,121
"KQU62_RS05650",22,43,25,63,78,88,59,33,35
"KQU62_RS05655",618,1237,767,1065,1387,1136,327,178,174
"KQU62_RS05660",64,127,62,64,72,58,27,29,19
"KQU62_RS05665",896,1613,1092,2039,2561,2138,1511,1067,1118
"KQU62_RS05670",129,270,176,884,1599,1410,1523,998,916
"KQU62_RS05675",123,271,155,1260,2142,1867,3267,2014,2051
"KQU62_RS05680",21,85,39,614,979,841,1824,1182,1192
"KQU62_RS05685",55,140,81,1229,1646,1385,3137,2004,1846
"KQU62_RS05690",3897,8332,5623,7084,8207,7207,5427,3086,3259
"KQU62_RS05695",9412,19808,12947,17002,20124,18001,13571,6970,7396
"KQU62_RS05700",565,1047,811,549,1088,912,295,191,181
"KQU62_RS05705",433,944,657,599,854,700,339,201,158
"KQU62_RS05710",1688,3085,2433,1469,2205,1898,616,426,453
"KQU62_RS05715",121831,233683,167540,205670,245855,217256,198032,127917,136810
"KQU62_RS05720",2316,5266,3466,4265,5251,4874,2979,1631,1776
"KQU62_RS05725",2850,6291,4074,4743,5897,5385,3453,1684,1774
"KQU62_RS05730",1235,2525,1627,1825,2038,1926,1084,628,706
"KQU62_RS05735",6945,14017,9547,10467,14375,12633,7447,3931,3879
"KQU62_RS05740",61187,122933,85210,77171,100362,85704,60869,35279,36466
"KQU62_RS05745",734,1642,985,864,1086,942,585,309,288
"KQU62_RS05750",1033,2094,1457,1143,1486,1271,780,475,498
"KQU62_RS05755",465,1009,663,633,711,685,391,191,203
"KQU62_RS05760",11638,24984,15973,20153,26116,23467,18172,9631,9919
"KQU62_RS05765",8427,17698,11696,11170,13821,12666,7968,4476,4817
"KQU62_RS05770",1979,3844,2842,2286,2796,2438,1646,1108,1119
"KQU62_RS05775",3179,6941,4700,4305,5361,4833,3326,2057,2075
"KQU62_RS05780",2071,4282,2970,2645,3320,3017,1957,1056,1163
"KQU62_RS05785",82,139,110,93,103,97,29,35,33
"KQU62_RS05790",14873,31809,20046,18295,25036,24929,17210,8447,9525
"KQU62_RS05795",946,2167,1352,1933,2361,2097,1217,638,631
"KQU62_RS05800",1276,2612,1812,2335,2756,2340,1528,1010,1026
"KQU62_RS05805",3945,8607,5625,7601,9425,8450,6065,3119,3126
"KQU62_RS05810",2257,4828,3143,5277,6279,5688,4359,2574,2361
"KQU62_RS05815",1897,4135,2625,4868,5717,5177,4092,2342,2253
"KQU62_RS05820",1582,3229,2121,3690,4476,3970,3131,1975,1792
"KQU62_RS05825",1415,2703,1735,2325,2409,2093,1266,563,619
"KQU62_RS05830",4581,9062,6767,7125,8233,7478,4050,2351,2540
"KQU62_RS05835",3430,6955,4917,5967,6895,5859,3851,2410,2272
"KQU62_RS05840",742,1618,961,1885,1873,1824,1033,477,529
"KQU62_RS05845",41914,82064,53280,81211,94432,94104,81922,50419,55466
"KQU62_RS05850",8519,18283,12479,17775,20864,18170,13940,8313,9222
"KQU62_RS05855",9310,18988,13136,17696,20388,17834,13083,8319,8405
"KQU62_RS05860",23656,51162,30123,36888,45185,41853,32769,18938,19695
"KQU62_RS05865",9,19,12,37,27,31,30,7,15
"KQU62_RS05870",3,5,7,12,10,11,11,3,3
"KQU62_RS05875",638,1340,816,1146,1352,1205,625,316,409
"KQU62_RS05880",2260,4785,2764,2582,3375,2780,1968,1115,1187
"KQU62_RS05885",4432,9035,6307,3040,4129,3814,2681,1587,1762
"KQU62_RS05890",36,63,45,36,48,28,6,12,5
"KQU62_RS05895",5751,11621,7621,7644,9398,9093,7109,4718,4706
"KQU62_RS05900",1401,3022,1965,3823,4641,4179,2689,1571,1609
"KQU62_RS05905",342,749,417,1203,1439,1330,765,433,402
"KQU62_RS05910",484,1073,626,683,953,781,314,212,201
"KQU62_RS05915",1241,2630,1718,1764,2127,1714,1000,627,713
"KQU62_RS05920",16,19,26,30,37,24,8,22,17
"KQU62_RS05925",30,82,50,57,86,88,51,40,32
"KQU62_RS05930",3,11,2,6,13,8,8,6,2
"KQU62_RS05935",27,51,43,56,90,82,49,30,31
"KQU62_RS05940",21,44,17,50,67,54,42,18,16
"KQU62_RS05945",61,121,92,171,221,194,138,106,84
"KQU62_RS05950",13,25,22,33,28,37,33,16,23
"KQU62_RS05955",3214,7136,4564,16491,19995,17759,13861,7873,8301
"KQU62_RS05960",7164,14190,9863,27534,33536,27783,20993,13449,15066
"KQU62_RS05965",816,1623,1171,1752,2072,2065,1421,885,763
"KQU62_RS05970",893,1995,1267,2204,2702,2501,1713,971,1046
"KQU62_RS05975",699,1456,898,2115,2648,2492,1632,816,794
"KQU62_RS05980",81,224,117,105,149,132,64,29,49
"KQU62_RS05985",927,1900,1341,5116,5899,5767,4181,2544,2575
"KQU62_RS05990",1824,3765,2567,6838,7519,7132,5036,2691,2919
"KQU62_RS05995",406,835,575,560,706,608,530,397,304
"KQU62_RS06000",2362,5092,3155,2236,2612,2588,2235,1241,1204
"KQU62_RS06005",68,108,77,90,120,103,78,28,23
"KQU62_RS06010",210,464,273,514,522,399,281,162,172
"KQU62_RS06015",1436,3269,1835,3491,4105,3777,2598,1400,1387
"KQU62_RS06020",642,1272,808,1988,2251,1985,890,633,676
"KQU62_RS06025",16914,36666,23067,22564,25342,22580,18545,10623,11681
"KQU62_RS06030",2602,5713,3617,5415,6547,6038,3182,1723,1847
"KQU62_RS06035",846,1759,1239,1953,2724,3240,1496,841,1087
"KQU62_RS06040",429,905,582,2227,2449,2222,2250,1355,1461
"KQU62_RS06045",15,46,32,24,20,23,16,8,6
"KQU62_RS06050",1888,3750,2637,1768,1643,1420,1484,890,985
"KQU62_RS06055",1,6,6,7,15,4,3,1,0
"KQU62_RS06060",313,669,472,629,698,599,373,218,242
"KQU62_RS06065",245,514,403,710,681,672,339,151,167
"KQU62_RS06070",30558,63267,42367,40945,48898,43519,38790,22823,21845
"KQU62_RS06075",741,1531,1012,545,707,645,577,347,337
"KQU62_RS06080",5,14,3,11,21,15,7,2,1
"KQU62_RS06085",5392,11930,7469,5098,6442,5777,4786,2602,2539
"KQU62_RS06090",1533,3206,2242,1394,1723,1599,1108,643,650
"KQU62_RS06095",10865,22600,14790,13949,18123,16096,11084,6668,6916
"KQU62_RS06100",4961,10413,6979,7213,9431,8492,6036,3938,4097
"KQU62_RS06105",4525,9013,6197,6332,7840,7410,5648,3756,3476
"KQU62_RS06110",6330,12950,8586,9841,12320,11150,9012,5530,5337
"KQU62_RS06115",8339,17887,11526,15658,18478,17734,14453,8191,8250
"KQU62_RS06120",1423,3108,2013,3465,4100,3717,2913,1551,1747
"KQU62_RS06125",5588,11580,7550,7997,10016,8656,5864,3458,3430
"KQU62_RS06130",1658,3273,2257,2106,2464,2020,1500,1155,1125
"KQU62_RS06135",10714,22980,15477,16021,20163,17871,12334,6921,7118
"KQU62_RS06140",4244,9233,6155,6604,8141,7296,5486,3208,3368
"KQU62_RS06145",2804,5954,3996,4826,5847,5211,4203,2329,2340
"KQU62_RS06150",13282,27032,18462,17300,21881,19989,13297,7878,7657
"KQU62_RS06155",3437,7109,4885,4314,5677,4759,2506,1604,1566
"KQU62_RS06160",9935,21085,14068,27539,33254,30933,25867,13492,14434
"KQU62_RS06165",2171,4434,2883,3155,3711,3463,2132,1153,1128
"KQU62_RS06170",1219,2659,1651,1090,1332,1148,678,354,408
"KQU62_RS06175",347,872,476,310,373,463,340,114,122
"KQU62_RS06180",1553,3331,2028,3591,4104,3960,2816,1418,1372
"KQU62_RS06185",1926,4500,2578,3390,4117,3968,2575,1260,1431
"KQU62_RS06190",6562,14098,9441,13018,15269,14137,8662,5476,5316
"KQU62_RS06195",5644,11824,8298,9619,11379,10649,6469,4111,4406
"KQU62_RS06200",1273,2820,1823,2235,2533,2565,1646,838,717
